,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
Accumulated time steps,0.0,367.0,541.0,1262.0,1728.0,2013.0,2830.0,3084.0,3353.0,3634.0,3992.0,4260.0,4717.0,4877.0,5050.0,5210.0,5461.0,5725.0,5901.0,6070.0,6339.0,6493.0,7228.0,7395.0,7949.0,8225.0,8506.0,8758.0,9025.0,9291.0,9872.0,10032.0,10288.0,10447.0,10607.0,10980.0,11445.0,11873.0,12040.0,12323.0,12482.0,12641.0,12916.0,13211.0,13471.0,13751.0,13911.0,14071.0,14241.0,14401.0,14658.0,14818.0,14993.0,15462.0,15622.0,15991.0,16151.0,16314.0,16685.0,16963.0,17237.0,17493.0,17851.0,18108.0,18491.0,18651.0,19001.0,19257.0,19606.0,19960.0
Episode reward,0.0,85.0127891129621,90.54553973169709,62.91788283728359,77.09696600953767,84.98849477350157,57.789846893767866,86.438314324938,85.28027609811788,84.27584301994524,80.46772238767943,85.65691021028164,73.84536325306293,90.30498303883886,89.39217725370364,89.76599787137309,86.31013960469218,85.41344425778085,89.03097450683906,90.40088306746385,85.22153364203876,91.79877416266585,58.08830892803427,90.8785478898828,67.97167762298199,82.8684895218286,82.47789617703684,85.00833245709526,83.52971332749695,84.8211552622567,63.69123196334703,90.36708553989142,84.5341231558361,90.24460140410322,90.38379410537652,75.936286653767,69.73278564264825,70.37902751322525,89.8826143394848,81.57392591993455,90.48469806649537,90.59802351842826,83.69716938072266,84.386740487298,84.27962839681032,82.41471060734258,90.31251582280873,90.46683587470753,89.58577020072214,90.16270849135,84.73550245684653,90.28157435013571,89.0734204942419,70.11398601816887,90.30943050545305,76.77205815924475,90.46135358675018,90.27858989919552,76.51698870030133,82.2484857035661,82.47686577458731,84.88299130997369,78.0114279930473,84.7031427562774,75.50921630597982,90.27985500627253,78.97840201356966,84.94880091001546,79.094933732654,78.46785883444856
Episode feedback,0.8,0.4438356152223682,0.10404624217314311,0.18472222196566357,0.11827956963810846,0.13732394317843682,0.0955882351769752,0.055335968160727396,0.04477611923591,0.039285714145408164,0.025210083962996965,0.02621722836622761,0.02192982451331179,0.012578616273090464,0.011627906909140076,0.02515723254618093,0.007999999968,0.0038022813543639494,0.01714285704489796,0.0,0.0111940298089775,0.006535947669699688,0.01089918254645888,0.006024096349252432,0.007233273042977806,0.003636363623140496,0.007142857117346939,0.003984063729147156,0.007518796964215049,0.0037735848914204344,0.001724137928061831,0.0,0.0,0.0,0.0,0.0,0.0021551724091483353,0.002341920369222669,0.0,0.0,0.0,0.0,0.0036496350231765146,0.0034013605326484336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,24.204627990722656,33.5760064125061,74.13235712051392,98.70170450210571,114.44483613967896,156.5592348575592,169.89552855491638,183.3175072669983,197.67615723609924,215.60387992858887,229.50539684295654,252.44269800186157,261.1868715286255,270.652202129364,279.19084119796753,292.5242269039154,306.3420469760895,315.7377345561981,325.0835418701172,339.394065618515,348.02773547172546,385.0361633300781,394.25589966773987,422.3902611732483,436.8879201412201,451.5469539165497,464.9293713569641,479.02986431121826,492.9289035797119,521.5019967556,530.1363537311554,543.2158710956573,551.8934409618378,560.4760653972626,579.4777653217316,602.8489375114441,623.86292552948,632.9058244228363,647.3782541751862,656.0572390556335,664.7061185836792,678.7040183544159,693.7665579319,706.9155004024506,720.9890110492706,729.5108258724213,738.2248601913452,747.5360734462738,756.165153503418,769.55366563797,778.2488157749176,787.8764309883118,811.9098541736603,820.4858644008636,839.1559255123138,847.7138671875,856.8825373649597,875.9885070323944,890.7944731712341,905.0876829624176,918.5344247817993,936.5049035549164,949.5254836082458,968.5678865909576,977.5070188045502,995.7186734676361,1009.4084014892578,1026.8683705329895,1044.3420741558075
total minutes,0.0,0.40341046651204426,0.5596001068751018,1.2355392853418985,1.6450284083684286,1.907413935661316,2.60932058095932,2.8315921425819397,3.055291787783305,3.294602620601654,3.5933979988098144,3.825089947382609,4.207378300031026,4.353114525477092,4.5108700354894005,4.653180686632792,4.875403781731923,5.105700782934824,5.262295575936635,5.41805903116862,5.656567760308584,5.800462257862091,6.417269388834636,6.570931661128998,7.039837686220805,7.281465335687002,7.525782565275828,7.748822855949402,7.983831071853638,8.215481726328532,8.691699945926667,8.835605895519256,9.053597851594288,9.198224016030629,9.341267756621043,9.657962755362194,10.047482291857401,10.397715425491333,10.548430407047272,10.789637569586436,10.934287317593892,11.078435309727986,11.311733639240265,11.562775965531667,11.781925006707509,12.016483517487844,12.158513764540354,12.303747669855754,12.458934557437896,12.6027525583903,12.825894427299499,12.970813596248627,13.131273849805195,13.531830902894338,13.67476440668106,13.985932091871897,14.128564453125,14.281375622749328,14.599808450539907,14.846574552853902,15.084794716040294,15.308907079696656,15.608415059248607,15.825424726804098,16.142798109849295,16.291783646742502,16.595311224460602,16.823473358154295,17.114472842216493,17.405701235930124
cummulative feedback,0.0,162.0,180.0,313.0,368.0,407.0,485.0,499.0,511.0,522.0,531.0,538.0,548.0,550.0,552.0,556.0,558.0,559.0,562.0,562.0,565.0,566.0,574.0,575.0,579.0,580.0,582.0,583.0,585.0,586.0,587.0,587.0,587.0,587.0,587.0,587.0,588.0,589.0,589.0,589.0,589.0,589.0,590.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,365.0,173.0,720.0,465.0,284.0,816.0,253.0,268.0,280.0,357.0,267.0,456.0,159.0,172.0,159.0,250.0,263.0,175.0,168.0,268.0,153.0,734.0,166.0,553.0,275.0,280.0,251.0,266.0,265.0,580.0,159.0,255.0,158.0,159.0,372.0,464.0,427.0,166.0,282.0,158.0,158.0,274.0,294.0,259.0,279.0,159.0,159.0,169.0,159.0,256.0,159.0,174.0,468.0,159.0,368.0,159.0,162.0,370.0,277.0,273.0,255.0,357.0,256.0,382.0,159.0,349.0,255.0,348.0,353.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
