,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Accumulated time steps,0.0,625.0,891.0,1355.0,1985.0,2358.0,3357.0,4356.0,5057.0,5318.0,5570.0,5949.0,6211.0,6466.0,6825.0,7273.0,7707.0,8044.0,8198.0,8371.0,8641.0,8892.0,9154.0,9431.0,9587.0,9745.0,9998.0,10369.0,10538.0,10884.0,11246.0,11499.0,11765.0,11943.0,12231.0,12570.0,12846.0,13365.0,13660.0,13937.0,14188.0,14459.0,14737.0,15009.0,15353.0,15697.0,15868.0,16026.0,16460.0,16805.0,17059.0,17217.0,17600.0,17959.0,18301.0,18656.0,18905.0,19260.0,19694.0,19945.0
Episode reward,0.0,69.96340678232738,87.79602639375973,77.13502840606802,66.3355448420536,80.09268976382046,-65.40738112292163,-61.312397960952104,57.485017953534836,85.3248279658565,84.21796769897746,76.05654516871024,84.81156541394094,85.96675034070684,80.26971746295378,73.47604474180605,75.29946228382266,80.77713367732555,92.61219817511211,91.77221152109684,87.39261640954088,86.39266656179724,85.08526870575764,83.51213766107328,91.24998989909143,91.07650023276344,86.15715677597746,78.64519468670008,90.01830132109662,81.19256294606477,79.4412598160323,86.24139822350097,84.3093290057385,91.17271134660163,86.0035620591502,87.3742218072053,82.62435312651347,80.49528022946974,86.77563999848047,89.8618022775872,86.58933188914618,84.2705725744464,83.23884375366458,84.98030647549048,86.38684706771934,86.43253759763469,92.6829514073861,91.24982663716463,77.33935944334608,81.83790171962517,86.33238407003923,91.2506028854399,77.48968233255533,80.33021639536332,82.18351522671792,80.7399305179703,86.9927505989531,80.74095982584761,77.3405625286298,86.71065627287226
Episode feedback,0.8,0.36757624339072836,0.3132075459878961,0.18358531277843346,0.13990461027042192,0.045698924608336224,0.013026052091156261,0.01703406811920434,0.009999999985714285,0.026923076819526628,0.027888446104030094,0.010582010554015845,0.026819923268889184,0.003937007858515717,0.025139664734246746,0.00447427292063921,0.011547344084186272,0.005952380934665533,0.013071895339399377,0.005813953454570038,0.011152416315418526,0.0,0.0,0.0,0.0,0.0,0.0,0.005405405390796202,0.0,0.0,0.0,0.0,0.0037735848914204344,0.0,0.0,0.00887573961871083,0.003636363623140496,0.0,0.0,0.003623188392669607,0.0,0.0,0.0,0.0036900368867526317,0.0,0.0,0.005882352906574395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,40.30197811126709,56.99995398521423,83.51039505004883,117.24114918708801,136.0933539867401,182.7983431816101,231.57686686515808,265.78623366355896,279.4841754436493,292.8622815608978,312.2102746963501,326.2558262348175,339.62733817100525,358.1748721599579,380.87951850891113,403.13781332969666,420.4878168106079,429.1726520061493,438.580308675766,452.6016945838928,465.6237561702728,479.15161776542664,493.45853543281555,501.9040946960449,510.45268273353577,523.3951487541199,542.1860580444336,551.4443299770355,568.5618867874146,586.417581319809,599.320986032486,612.8818140029907,622.3078482151031,636.8799748420715,653.9217364788055,667.8024373054504,693.9063684940338,708.9379596710205,723.3734319210052,736.4163541793823,750.581068277359,765.2151253223419,779.7386832237244,797.4080903530121,814.7533428668976,823.8530383110046,832.4222047328949,854.0403950214386,871.4777166843414,884.6820247173309,893.2981383800507,912.9500041007996,930.9363505840302,948.6725747585297,966.8765966892242,979.9585616588593,998.4346747398376,1020.4835369586945,1033.8013072013855
total minutes,0.0,0.6716996351877849,0.9499992330869039,1.3918399175008138,1.9540191531181335,2.2682225664456683,3.0466390530268352,3.8596144477526346,4.429770561059316,4.6580695907274885,4.881038026014964,5.203504578272502,5.4375971039136255,5.66045563618342,5.969581202665965,6.347991975148519,6.718963555494944,7.008130280176799,7.152877533435822,7.309671811262766,7.543361576398214,7.760395936171213,7.985860296090444,8.22430892388026,8.365068244934083,8.507544712225597,8.723252479235331,9.03643430074056,9.190738832950592,9.47603144645691,9.77362635533015,9.988683100541433,10.214696900049846,10.37179747025172,10.61466624736786,10.898695607980093,11.130040621757507,11.565106141567231,11.815632661183676,12.056223865350088,12.273605902989706,12.509684471289317,12.753585422039032,12.995644720395406,13.290134839216869,13.57922238111496,13.730883971850078,13.873703412214915,14.234006583690643,14.52462861140569,14.744700411955515,14.888302306334177,15.215833401679992,15.515605843067169,15.811209579308828,16.114609944820405,16.33264269431432,16.640577912330627,17.008058949311575,17.230021786689758
cummulative feedback,0.0,229.0,312.0,397.0,485.0,502.0,515.0,532.0,539.0,546.0,553.0,557.0,564.0,565.0,574.0,576.0,581.0,583.0,585.0,586.0,589.0,589.0,589.0,589.0,589.0,589.0,589.0,591.0,591.0,591.0,591.0,591.0,592.0,592.0,592.0,595.0,596.0,596.0,596.0,597.0,597.0,597.0,597.0,598.0,598.0,598.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,623.0,265.0,463.0,629.0,372.0,998.0,998.0,700.0,260.0,251.0,378.0,261.0,254.0,358.0,447.0,433.0,336.0,153.0,172.0,269.0,250.0,261.0,276.0,155.0,157.0,252.0,370.0,168.0,345.0,361.0,252.0,265.0,177.0,287.0,338.0,275.0,518.0,294.0,276.0,250.0,270.0,277.0,271.0,343.0,343.0,170.0,157.0,433.0,344.0,253.0,157.0,382.0,358.0,341.0,354.0,248.0,354.0,433.0,250.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
