,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
Accumulated time steps,0.0,458.0,825.0,1084.0,1461.0,1736.0,2105.0,3036.0,3486.0,3750.0,3910.0,4352.0,4793.0,5407.0,5796.0,5978.0,6225.0,6413.0,6875.0,7255.0,7554.0,7723.0,7988.0,8255.0,8782.0,9116.0,9474.0,9729.0,10032.0,10325.0,10587.0,10943.0,11188.0,11344.0,11592.0,11946.0,12195.0,12556.0,12818.0,13338.0,13679.0,14127.0,14550.0,14820.0,14984.0,15402.0,15824.0,16068.0,16406.0,16740.0,16903.0,17150.0,17574.0,18025.0,18449.0,18874.0,19389.0,19637.0,19886.0
Episode reward,0.0,81.2911512049551,81.29956269562189,86.68807667048785,80.39355012411875,85.73220002090005,81.25566430067025,44.061662544543836,77.682452977347,86.23161984030611,91.2447940262316,76.39891511794863,77.71427461326624,63.676425576950294,77.10700147971264,89.19080242517911,85.842833332835,89.03038857241177,74.98695802573006,78.52953953829474,80.74171198286801,89.3115349747936,83.37705242856406,84.3642243824476,71.24230426051754,80.17108972465658,78.61785323189085,84.5708679123096,79.90705387319326,80.90786592406744,87.45482640032765,82.9797679152644,85.54603198797464,90.42422839195422,86.69985711683715,79.81474264411115,85.52507824926536,80.40226767235812,88.05251628596815,69.52387671879893,79.77987899067752,72.3858518205626,70.19421806330263,79.67023098105832,87.72865887898651,70.1044040482945,69.23228172006448,82.87872821301087,76.50584998897585,75.91418929881415,87.83717095651247,85.14496412885603,76.02962039444338,73.79263219484707,75.94130407325989,76.000309542668,70.76353456538818,86.17229913809042,86.09041045649862
Episode feedback,0.8,0.4451754376202293,0.18579234921914659,0.1162790693167478,0.18085106334880036,0.11313868571847195,0.09239130409676276,0.04838709672216441,0.04231625825764753,0.04562737625236739,0.07547169763854278,0.013605442146019405,0.018181818140495867,0.016313213676487418,0.01804123706690403,0.022099447391715762,0.008130081267763897,0.021390374217163773,0.008676789569030825,0.005277044840957665,0.006711409373451646,0.011904761833900228,0.011363636320592287,0.015037593928430099,0.007604562723185242,0.003003002993984976,0.002801120440332996,0.0,0.0,0.003424657522518296,0.0,0.002816901400515771,0.0,0.0,0.004048582979560393,0.002832861181776597,0.0,0.0027777777700617283,0.0,0.0019267822698905929,0.0,0.002237136460319605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040650406338819485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,30.359124660491943,51.03841018676758,65.03589129447937,86.16111350059509,100.86799025535583,120.06393051147461,165.40834832191467,187.24830889701843,200.82118225097656,209.46901631355286,231.61284399032593,252.85828518867493,282.84807324409485,302.997576713562,312.88588094711304,325.98567628860474,336.0616981983185,359.2318150997162,378.99884128570557,394.61604046821594,403.536602973938,416.90034222602844,430.5722360610962,456.39632272720337,473.24489855766296,491.6746814250946,505.0707700252533,520.6230070590973,535.6318712234497,548.8493294715881,566.407562494278,578.6085810661316,587.0405011177063,599.6011464595795,617.4946558475494,630.4565277099609,648.8482713699341,661.9940361976624,687.5143394470215,704.5963480472565,726.7925987243652,747.6140367984772,761.6384551525116,770.8332388401031,791.8294153213501,812.8771250247955,825.4956088066101,842.5573282241821,859.7319643497467,868.5598661899567,881.3408164978027,903.197762966156,926.193295955658,947.8563024997711,969.0887494087219,994.2952148914337,1007.1339457035065,1019.965845823288
total minutes,0.0,0.505985411008199,0.8506401697794597,1.083931521574656,1.4360185583432516,1.6811331709225972,2.0010655085245768,2.7568058053652447,3.1208051482836408,3.3470197041829426,3.491150271892548,3.8602140665054323,4.2143047531445825,4.714134554068248,5.0499596118927,5.214764682451884,5.433094604810079,5.601028303305308,5.987196918328603,6.316647354761759,6.576934007803599,6.725610049565633,6.948339037100474,7.176203934351603,7.606605378786723,7.8874149759610495,8.194578023751577,8.417846167087555,8.677050117651621,8.927197853724161,9.14748882452647,9.440126041571299,9.643476351102192,9.784008351961772,9.993352440992991,10.291577597459158,10.507608795166016,10.814137856165567,11.033233936627706,11.458572324117025,11.743272467454274,12.113209978739421,12.460233946641287,12.69397425254186,12.847220647335053,13.197156922022502,13.547952083746592,13.758260146776836,14.042622137069703,14.328866072495778,14.475997769832611,14.689013608296712,15.053296049435934,15.4365549325943,15.797605041662852,16.151479156812034,16.571586914857228,16.785565761725106,16.999430763721467
cummulative feedback,0.0,203.0,271.0,301.0,369.0,400.0,434.0,479.0,498.0,510.0,522.0,528.0,536.0,546.0,553.0,557.0,559.0,563.0,567.0,569.0,571.0,573.0,576.0,580.0,584.0,585.0,586.0,586.0,586.0,587.0,587.0,588.0,588.0,588.0,589.0,590.0,590.0,591.0,591.0,592.0,592.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,456.0,366.0,258.0,376.0,274.0,368.0,930.0,449.0,263.0,159.0,441.0,440.0,613.0,388.0,181.0,246.0,187.0,461.0,379.0,298.0,168.0,264.0,266.0,526.0,333.0,357.0,254.0,302.0,292.0,261.0,355.0,244.0,155.0,247.0,353.0,248.0,360.0,261.0,519.0,340.0,447.0,422.0,269.0,163.0,417.0,421.0,243.0,337.0,333.0,162.0,246.0,423.0,450.0,423.0,424.0,514.0,247.0,248.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
