,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Accumulated time steps,0.0,552.0,948.0,1343.0,2342.0,2629.0,3000.0,3386.0,4385.0,5023.0,5659.0,5997.0,6263.0,6580.0,6933.0,7193.0,7457.0,7713.0,8146.0,8482.0,8674.0,8834.0,9118.0,9369.0,9850.0,10123.0,10382.0,10652.0,11236.0,11571.0,11839.0,12084.0,12504.0,12877.0,13217.0,13552.0,13801.0,14049.0,14397.0,14973.0,15153.0,15403.0,15937.0,16188.0,16445.0,16792.0,17221.0,17388.0,17645.0,18070.0,18320.0,18764.0,19010.0,19345.0,19612.0,19858.0
Episode reward,0.0,74.20328314239654,79.80244974632215,79.84514727615719,-63.53764582762957,84.78131424465381,81.23428239055376,80.96695468392406,-62.82005172906025,65.38823128325528,62.285216014340754,80.56966246259066,85.7092614510776,80.83943814390197,81.57905261773661,85.98217783783718,85.81370368388569,87.44903616404956,77.52315321947768,78.79374712146333,87.21238189187139,91.17566813339997,82.76610081949777,85.6988260726583,73.32518057962267,89.2108053443234,85.40968888519396,84.65890918839202,64.48964474857186,81.79403762938855,86.7102697429731,86.63415030190289,73.7656609956453,78.29772840295581,81.36015554343646,81.56446610866487,85.95687937941395,86.41993913805321,80.65042578846159,65.88154596619758,88.48037397628691,86.24439218639333,69.86218358374853,86.15316223288413,85.59324024027306,80.7442935132558,75.75172167527984,89.77921428625709,85.59017688633104,76.62216269706188,86.24442008885843,75.03047163538646,86.35051492022751,81.58881626304887,84.62984892016722,86.36021141604732
Episode feedback,0.8,0.3672727266049587,0.210126581746515,0.20304568476384344,0.01703406811920434,0.09440559407550492,0.09459459433893352,0.1038961036262439,0.01903807613322838,0.02354788065377099,0.014173228324136648,0.008902077124919652,0.007547169782840869,0.006329113904021791,0.011363636331353306,0.023166023076579063,0.022813688126183694,0.00784313722414456,0.0023148148094564473,0.005970149235910003,0.005235602066829308,0.0,0.0035335688921075306,0.003999999984,0.0020833333289930556,0.0073529411494377165,0.0038759689772249264,0.003717472105139509,0.003430531726534251,0.0029940119670837967,0.0037453183380325157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,34.68306374549866,57.30784726142883,79.93202424049377,127.38280510902405,142.41955494880676,161.702299118042,182.07799983024597,230.78765678405762,261.68780040740967,292.1286609172821,308.74725890159607,321.94494581222534,338.3394637107849,355.8158805370331,368.93605279922485,382.3370327949524,395.783079624176,417.47225737571716,434.4907057285309,444.7404534816742,453.57044410705566,468.203910112381,481.4535994529724,504.8429937362671,518.4818043708801,531.3796410560608,544.8364760875702,573.7765243053436,591.0623016357422,604.890921831131,617.6459722518921,638.9450936317444,657.9643363952637,675.3808076381683,692.7435801029205,705.7801640033722,718.808616399765,736.5784986019135,764.7508952617645,774.156919002533,787.3017780780792,814.6311345100403,827.5812437534332,841.0674185752869,859.0614221096039,880.8308460712433,889.9684247970581,903.340282201767,925.2756562232971,938.5516042709351,961.3027081489563,974.165365934372,991.1666378974915,1004.7399234771729,1017.098304271698
total minutes,0.0,0.5780510624249776,0.9551307876904805,1.3322004040082296,2.1230467518170673,2.373659249146779,2.695038318634033,3.0346333305040996,3.8464609464009603,4.361463340123494,4.868811015288035,5.145787648359934,5.365749096870422,5.638991061846415,5.930264675617218,6.148934213320414,6.372283879915873,6.596384660402934,6.957870956261953,7.241511762142181,7.412340891361237,7.559507401784261,7.8033985018730165,8.02422665754954,8.414049895604451,8.641363406181336,8.856327350934347,9.080607934792836,9.562942071755726,9.851038360595703,10.081515363852183,10.294099537531535,10.649084893862407,10.966072273254394,11.256346793969472,11.545726335048675,11.763002733389536,11.98014360666275,12.27630831003189,12.745848254362743,12.902615316708882,13.12169630130132,13.577185575167338,13.793020729223887,14.017790309588115,14.317690368493398,14.680514101187388,14.83280707995097,15.055671370029449,15.421260937054951,15.642526737848918,16.021711802482606,16.23608943223953,16.519443964958192,16.745665391286213,16.9516384045283
cummulative feedback,0.0,202.0,285.0,365.0,382.0,409.0,444.0,484.0,503.0,518.0,527.0,530.0,532.0,534.0,538.0,544.0,550.0,552.0,553.0,555.0,556.0,556.0,557.0,558.0,559.0,561.0,562.0,563.0,565.0,566.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,550.0,395.0,394.0,998.0,286.0,370.0,385.0,998.0,637.0,635.0,337.0,265.0,316.0,352.0,259.0,263.0,255.0,432.0,335.0,191.0,159.0,283.0,250.0,480.0,272.0,258.0,269.0,583.0,334.0,267.0,244.0,419.0,372.0,339.0,334.0,248.0,247.0,347.0,575.0,179.0,249.0,533.0,250.0,256.0,346.0,428.0,166.0,256.0,424.0,249.0,443.0,245.0,334.0,266.0,245.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
