,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
Accumulated time steps,0.0,819.0,1107.0,1382.0,1744.0,2281.0,2654.0,3653.0,4111.0,4263.0,4630.0,4900.0,5053.0,5211.0,5540.0,5797.0,6201.0,6361.0,6610.0,6952.0,7321.0,7575.0,7856.0,8018.0,8296.0,8637.0,8790.0,9036.0,9408.0,9568.0,9753.0,10020.0,10265.0,10424.0,10703.0,11051.0,11509.0,11667.0,11845.0,12002.0,12173.0,12330.0,12684.0,12843.0,13102.0,13355.0,13550.0,13802.0,14058.0,14328.0,14720.0,15189.0,15350.0,15712.0,15869.0,16030.0,16486.0,16643.0,16800.0,17145.0,17423.0,17769.0,17947.0,18397.0,18760.0,18917.0,19269.0,19614.0,19868.0
Episode reward,0.0,57.688302870547346,85.79217120075593,85.47707186018945,81.64995275748474,72.23367360975922,79.70036615552189,-64.93351983172953,76.46438385379136,90.80279157282816,80.3914963981274,84.07472711883,90.7236863312004,91.15674718169754,81.33818383935574,86.1763694369176,74.41975485260201,90.43404450875244,85.40628363129213,81.25041341757793,79.98696942295948,84.47852981029769,82.80115626359957,89.77398158656757,83.79753462266882,80.41725974163077,91.02830764085749,85.76749893161215,75.3694281006253,90.02954562794663,88.18810998645223,83.54594072630631,86.00787954876127,90.61551990246564,81.77679405396532,75.63776631852139,72.62834351333449,90.93709467880078,88.97935169484073,90.95622852872447,89.6858006959468,90.86155004766596,79.49258964250238,90.86927248119105,84.92213364834063,85.80946796151821,87.27980079076781,85.97060682501746,85.56606696387868,83.49858336412416,75.31892887146974,71.50966587302446,90.68642095704524,78.61608046223773,90.80622135105399,90.68505908723782,73.07255277079878,90.97769086213017,90.9195001110359,80.63212580459448,82.477567212167,80.51500635483399,88.97882864212316,73.70415709144726,78.28963901215188,90.92706124545835,79.72163323992962,80.63063766777947,85.78096548687121
Episode feedback,0.8,0.2839657279266025,0.24738675871990676,0.11313868571847195,0.16066481949954345,0.12313432812848073,0.07526881700196554,0.014028056098168281,0.03938730844773018,0.019867549537300997,0.019125683007853327,0.03717472105139509,0.02631578930055402,0.07643312053227312,0.024390243828078525,0.015624999938964844,0.024813895720064774,0.02515723254618093,0.0,0.011730205244192946,0.010869565187854443,0.007905138308675343,0.010714285676020409,0.006211180085644845,0.007220216580432431,0.0,0.0,0.004081632636401499,0.008086253347476407,0.0,0.0,0.0,0.00819672127788229,0.0,0.0035971222892189846,0.0028818443720984312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,48.68891000747681,66.1171932220459,80.88224673271179,100.89122986793518,129.62276244163513,149.08452796936035,198.95998668670654,222.21304512023926,230.74734354019165,248.83891081809998,262.8262779712677,271.04480266571045,279.70736265182495,295.96653604507446,308.9716923236847,329.11242485046387,337.5966579914093,350.40442276000977,367.5066931247711,385.3990616798401,398.2611207962036,412.2809190750122,420.87926983833313,434.64558506011963,451.44267773628235,459.62940764427185,472.05542278289795,490.1911346912384,498.7239372730255,508.34798645973206,521.6769154071808,534.2332036495209,542.7303352355957,556.8338963985443,574.2191073894501,596.4239284992218,604.772308588028,614.1846401691437,622.5958566665649,631.6574823856354,640.0802481174469,657.5442183017731,666.0511386394501,679.2240719795227,692.0731856822968,702.2186121940613,715.0681736469269,728.1319098472595,741.7128512859344,760.9183256626129,783.8850600719452,792.4447131156921,810.3418064117432,818.6636927127838,827.1692409515381,849.4970800876617,857.8111605644226,866.1020872592926,883.2032001018524,897.1385176181793,914.2319090366364,923.4315793514252,945.3287749290466,963.2432332038879,971.6136660575867,988.3464496135712,1004.7543253898621,1017.1065800189972
total minutes,0.0,0.8114818334579468,1.1019532203674316,1.3480374455451964,1.6815204977989198,2.160379374027252,2.4847421328226726,3.3159997781117756,3.7035507520039874,3.8457890590031942,4.147315180301666,4.380437966187795,4.517413377761841,4.661789377530416,4.932775600751241,5.149528205394745,5.4852070808410645,5.626610966523488,5.84007371266683,6.1251115520795185,6.423317694664002,6.637685346603393,6.871348651250203,7.0146544973055525,7.2440930843353275,7.524044628938039,7.660490127404531,7.867590379714966,8.169852244853974,8.312065621217092,8.472466440995534,8.694615256786346,8.903886727492015,9.045505587259928,9.280564939975738,9.570318456490835,9.940398808320364,10.079538476467132,10.236410669485728,10.376597611109416,10.527624706427256,10.668004135290781,10.95907030502955,11.100852310657501,11.320401199658711,11.534553094704945,11.703643536567688,11.917802894115448,12.13553183078766,12.361880854765575,12.681972094376881,13.064751001199086,13.207411885261536,13.505696773529053,13.644394878546397,13.786154015858967,14.158284668127695,14.29685267607371,14.435034787654876,14.720053335030874,14.952308626969655,15.237198483943938,15.390526322523753,15.755479582150777,16.054053886731467,16.193561100959776,16.472440826892853,16.745905423164366,16.951776333649953
cummulative feedback,0.0,232.0,303.0,334.0,392.0,458.0,486.0,500.0,518.0,521.0,528.0,538.0,542.0,554.0,562.0,566.0,576.0,580.0,580.0,584.0,588.0,590.0,593.0,594.0,596.0,596.0,596.0,597.0,600.0,600.0,600.0,600.0,602.0,602.0,603.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,817.0,287.0,274.0,361.0,536.0,372.0,998.0,457.0,151.0,366.0,269.0,152.0,157.0,328.0,256.0,403.0,159.0,248.0,341.0,368.0,253.0,280.0,161.0,277.0,340.0,152.0,245.0,371.0,159.0,184.0,266.0,244.0,158.0,278.0,347.0,457.0,157.0,177.0,156.0,170.0,156.0,353.0,158.0,258.0,252.0,194.0,251.0,255.0,269.0,391.0,468.0,160.0,361.0,156.0,160.0,455.0,156.0,156.0,344.0,277.0,345.0,177.0,449.0,362.0,156.0,351.0,344.0,253.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
