,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
Accumulated time steps,0.0,333.0,681.0,1243.0,1577.0,1939.0,2213.0,2639.0,3060.0,3215.0,3369.0,3829.0,4171.0,4425.0,4786.0,5241.0,5409.0,5661.0,6005.0,6348.0,6518.0,6684.0,7015.0,7286.0,7664.0,7821.0,8074.0,8358.0,8629.0,8974.0,9243.0,9591.0,9761.0,9918.0,10076.0,10331.0,10773.0,11250.0,11407.0,11857.0,12016.0,12173.0,12511.0,12841.0,12998.0,13156.0,13399.0,13820.0,14166.0,14321.0,14739.0,15011.0,15265.0,15523.0,15871.0,16138.0,16393.0,16550.0,16716.0,16993.0,17154.0,17424.0,17709.0,17876.0,18146.0,18501.0,18942.0,19398.0,19753.0
Episode reward,0.0,83.69390766722594,90.3065124751061,79.52457463794369,89.30489154783889,79.64354534754997,84.5825163023803,71.81078908301363,73.92259247153717,90.2408217998092,90.65092341988289,72.93436459374188,80.98753844864402,86.91050174093978,82.46852439809307,70.67270184651264,90.522322771953,84.99174128197905,79.74783979348271,79.83832833983692,89.56983337497901,89.98153135981431,77.40487527857996,84.29203672749618,76.88721833989752,90.98608300856202,83.91723954684788,85.62101847513276,83.92413356862484,81.32214459672758,84.30690026313047,80.94933890638187,90.26916999428572,91.36248409621524,91.34393254193814,86.35033872593877,76.59752330847601,72.62490268081501,91.41210715369716,75.69337550681514,91.27039878835868,91.37202556005427,79.0769404974334,79.28694293411866,89.666830674236,89.55032359240424,84.65241021330809,73.55463444567614,78.47004816795383,89.90764299360211,73.5855950159638,84.14846108921537,86.70215719193735,86.11956007251081,82.04748897781035,85.04724107297346,86.53575337063015,91.43738005306115,90.72755569866936,84.24990375817556,91.59975236587366,85.30452550385847,83.39915448418301,91.10344975724811,85.31013644796498,82.98873558528558,79.29434894906996,77.42206197926566,82.48615338522242
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,13.51623272895813,28.87548518180847,53.16132664680481,68.00845718383789,84.06935024261475,96.72581577301025,115.19881868362427,133.80849599838257,141.3766005039215,149.10817527770996,169.65199732780457,184.71061944961548,196.55464673042297,212.5755581855774,232.90105533599854,240.86663627624512,252.76882314682007,268.2119734287262,283.6822464466095,291.70172691345215,299.70124220848083,314.5648465156555,327.2214653491974,344.3858013153076,352.1069974899292,363.6692101955414,376.694509267807,389.02179074287415,404.55076599121094,416.86782455444336,432.3653757572174,440.64585185050964,448.1652569770813,455.8325605392456,467.4228558540344,486.5753381252289,507.8573040962219,515.4250645637512,535.439389705658,543.4729392528534,551.0686979293823,566.316507101059,581.1418130397797,588.8275218009949,596.7466361522675,608.0491890907288,627.1587166786194,642.7149708271027,650.4664642810822,669.2377400398254,681.9109101295471,693.6477885246277,705.4170622825623,721.2155077457428,733.489146232605,745.3124618530273,753.0175178050995,760.9771339893341,773.9386191368103,781.755633354187,794.2302973270416,807.1395184993744,815.1869609355927,827.7246146202087,843.17067527771,862.8465337753296,883.054783821106,899.5074656009674
total minutes,0.0,0.2252705454826355,0.4812580863634745,0.8860221107800802,1.1334742863972982,1.4011558373769124,1.6120969295501708,1.9199803113937377,2.230141599973043,2.3562766750653585,2.4851362546284994,2.827533288796743,3.078510324160258,3.275910778840383,3.542925969759623,3.8816842555999758,4.014443937937418,4.212813719113668,4.4701995571454365,4.728037440776825,4.861695448557536,4.9950207034746805,5.242747441927592,5.45369108915329,5.739763355255127,5.8684499581654865,6.061153503259023,6.278241821130117,6.483696512381235,6.742512766520182,6.947797075907389,7.206089595953624,7.344097530841827,7.469420949618022,7.5972093423207605,7.790380930900573,8.109588968753815,8.4642884016037,8.590417742729187,8.923989828427633,9.05788232088089,9.18447829882304,9.438608451684315,9.685696883996327,9.81379203001658,9.945777269204457,10.134153151512146,10.45264527797699,10.711916180451711,10.841107738018035,11.153962333997091,11.365181835492452,11.560796475410461,11.756951038042704,12.020258462429046,12.224819103876749,12.421874364217123,12.550291963418324,12.682952233155568,12.898976985613505,13.029260555903116,13.23717162211736,13.452325308322907,13.586449348926545,13.795410243670146,14.052844587961832,14.38077556292216,14.717579730351765,14.991791093349457
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,331.0,347.0,561.0,333.0,361.0,273.0,425.0,420.0,154.0,153.0,459.0,341.0,253.0,360.0,454.0,167.0,251.0,343.0,342.0,169.0,165.0,330.0,270.0,377.0,156.0,252.0,283.0,270.0,344.0,268.0,347.0,169.0,156.0,157.0,254.0,441.0,476.0,156.0,449.0,158.0,156.0,337.0,329.0,156.0,157.0,242.0,420.0,345.0,154.0,417.0,271.0,253.0,257.0,347.0,266.0,254.0,156.0,165.0,276.0,160.0,269.0,284.0,166.0,269.0,354.0,440.0,455.0,354.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
