,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Accumulated time steps,0.0,504.0,839.0,1397.0,1943.0,2350.0,2585.0,2905.0,3054.0,3400.0,3633.0,3894.0,4244.0,4515.0,4762.0,5016.0,5278.0,5526.0,5854.0,6189.0,6344.0,6503.0,6839.0,6998.0,7273.0,7434.0,7707.0,7878.0,8065.0,8336.0,8601.0,8865.0,9235.0,9476.0,9734.0,10025.0,10409.0,10650.0,10799.0,11039.0,11302.0,11458.0,11702.0,12033.0,12362.0,12692.0,12841.0,12994.0,13155.0,13306.0,13547.0,13884.0,14235.0,14568.0,14808.0,15064.0,15332.0,15483.0,15756.0,16135.0,16292.0,16544.0,16790.0
Episode reward,0.0,66.79471547233997,87.83195363550404,92.90942467169012,77.57437034437748,69.92963694962657,85.34960557536031,82.46040136669916,93.27945648713069,77.01557021899342,89.67555752091668,85.0610922106812,82.27408522851803,83.81648516268247,84.27157437987681,87.0770244343908,85.65543412454147,83.15621669136763,78.22417289051012,78.32871272181434,89.71201614298454,89.25092868993629,78.88967084406853,91.38277298693879,84.42591022865922,90.85465749563718,85.41276922424868,87.89574321788751,89.5035146110284,85.055393948303,86.41605656081748,86.7814332059116,80.60894764630956,84.56017394091205,83.45780725956912,82.39062673445832,73.67234106792304,84.59332689792005,90.73959351746487,84.87191961251521,83.00697855261978,89.63389979618053,84.06817989988858,78.22313354173981,78.64852595820255,78.40647888783923,90.7163053628676,89.99923414949806,89.06028609702223,90.27210954496306,84.58977277596796,78.48865117872427,77.21255405499565,78.81409722648,84.84939532194555,83.68298153874406,82.5322100939358,90.26954917543418,81.97548536460246,74.17892175433308,89.51676726715661,83.0673301710459,83.80569330021186
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,21.833277940750122,36.77468204498291,61.030521869659424,85.76642370223999,104.40002632141113,115.2465751171112,129.8621950149536,137.38660645484924,153.0869016647339,163.85414814949036,175.91398215293884,191.95340156555176,204.45318961143494,215.854106426239,227.49486255645752,240.01518988609314,251.8713812828064,267.1105408668518,282.4215431213379,290.10249948501587,297.7509500980377,312.8677794933319,320.5678036212921,333.5387599468231,341.38962507247925,354.2490727901459,362.76505494117737,371.96105575561523,384.78714895248413,397.28977060317993,409.4465386867523,426.33896112442017,437.5124764442444,449.74631452560425,463.2806980609894,480.3912134170532,491.7817873954773,499.13722801208496,510.7367298603058,522.8285834789276,530.4260127544403,541.8368194103241,556.7061758041382,571.8737666606903,586.9131317138672,594.1439192295074,601.8749318122864,609.7408537864685,617.2553322315216,628.5566773414612,644.3672182559967,660.4971113204956,675.6860342025757,686.8448758125305,698.6141262054443,710.9953992366791,718.3976707458496,731.0961380004883,748.4498987197876,756.2935981750488,768.2445924282074,779.606130361557
total minutes,0.0,0.3638879656791687,0.6129113674163819,1.0171753644943238,1.4294403950373331,1.7400004386901855,1.9207762519518534,2.1643699169158936,2.2897767742474873,2.551448361078898,2.7309024691581727,2.931899702548981,3.199223359425863,3.407553160190582,3.5975684404373167,3.7915810426076253,4.000253164768219,4.19785635471344,4.451842347780864,4.707025718688965,4.835041658083598,4.962515834967295,5.214462991555532,5.342796727021535,5.558979332447052,5.689827084541321,5.904151213169098,6.046084249019623,6.1993509292602536,6.413119149208069,6.621496176719665,6.824108978112538,7.105649352073669,7.291874607404073,7.495771908760071,7.721344967683156,8.006520223617553,8.196363123257955,8.318953800201417,8.512278831005096,8.713809724648794,8.840433545907338,9.030613656838735,9.278436263402304,9.531229444344838,9.781885528564453,9.902398653825124,10.031248863538107,10.162347563107808,10.28758887052536,10.475944622357686,10.739453637599945,11.008285188674927,11.261433903376261,11.44741459687551,11.64356877009074,11.849923320611317,11.973294512430828,12.184935633341471,12.474164978663127,12.60489330291748,12.804076540470124,12.99343550602595
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,502.0,334.0,557.0,545.0,406.0,234.0,319.0,148.0,345.0,232.0,260.0,349.0,270.0,246.0,253.0,261.0,247.0,327.0,334.0,154.0,158.0,335.0,158.0,274.0,160.0,272.0,170.0,186.0,270.0,264.0,263.0,369.0,240.0,257.0,290.0,383.0,240.0,148.0,239.0,262.0,155.0,243.0,330.0,328.0,329.0,148.0,152.0,160.0,150.0,240.0,336.0,350.0,332.0,239.0,255.0,267.0,150.0,272.0,378.0,156.0,251.0,245.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
