,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Accumulated time steps,0.0,912.0,1571.0,2142.0,2804.0,3140.0,3780.0,4038.0,4380.0,4806.0,5163.0,5534.0,5785.0,6318.0,6745.0,6919.0,7075.0,7327.0,7488.0,7830.0,8093.0,8458.0,8803.0,8964.0,9148.0,9440.0,9900.0,10324.0,10569.0,10825.0,10996.0,11252.0,11506.0,12019.0,12414.0,12834.0,13095.0,13545.0,13721.0,14093.0,14543.0,14901.0,15253.0,15649.0,16013.0,16479.0,16932.0,17189.0,17448.0,17615.0,17791.0,18257.0,18477.0,18762.0,19212.0,19663.0,19829.0
Episode reward,0.0,62.51425419288981,83.62849794361728,90.7052531672519,50.28220447305193,79.88453470662901,82.23724695357949,87.07539966272118,88.49375438708054,78.63975151080399,82.52275758284333,81.82383268826518,84.3074021716868,60.05958070186667,74.22640686444589,88.57264707830849,90.91246818170166,85.93235148940065,90.66231064001883,81.28086351816222,84.96777748783495,80.38283170215999,82.47475401029564,91.23947533313827,90.98438022481523,89.10080896276934,74.57728805881624,71.81975261927302,84.19390438104254,87.16796098435704,90.51784301397898,87.15426169087665,83.39785550032127,67.77045032454492,78.59545404507271,73.45572216731306,86.51929179257057,77.91444441008395,90.16253021755618,80.29999845903161,78.26900791679233,82.00854084264326,83.00913912340181,77.55835893843408,81.30984706042995,75.80286712264883,77.97514176394947,87.30202066097331,86.84639710743508,91.00350166637871,90.16486817784488,75.96078355841362,85.87202902814833,84.70246891018641,78.26807030978084,78.17169447605961,91.08754622880156
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,37.106491565704346,65.81069993972778,90.25907635688782,118.58043885231018,133.44637250900269,160.7886598110199,172.1928129196167,187.72196531295776,206.45618152618408,222.4111819267273,238.678293466568,250.25221705436707,272.99661350250244,291.9402747154236,300.07132363319397,307.36284947395325,318.551828622818,326.109831571579,340.86209988594055,352.4770634174347,368.1809630393982,383.03057837486267,390.54825139045715,398.9334683418274,411.8351356983185,431.7702920436859,450.39191246032715,461.36751198768616,472.9598834514618,480.9131679534912,492.95068168640137,504.6894829273224,526.9181535243988,545.499260187149,563.5172235965729,575.1480185985565,594.6251754760742,602.7869341373444,618.7494723796844,638.1515212059021,653.8631138801575,669.292032957077,686.6224648952484,702.5187938213348,722.9225468635559,742.3466849327087,753.9918367862701,765.7579596042633,773.5882122516632,782.0235838890076,802.6727693080902,812.9495074748993,825.956071138382,845.651522397995,865.3771739006042,873.244708776474
total minutes,0.0,0.6184415260950724,1.096844998995463,1.5043179392814636,1.976340647538503,2.224106208483378,2.6798109968503314,2.869880215326945,3.1286994218826294,3.4409363587697346,3.7068530321121216,3.9779715577761334,4.170870284239451,4.54994355837504,4.86567124525706,5.001188727219899,5.122714157899221,5.309197143713633,5.435163859526316,5.681034998099009,5.874617723623912,6.13634938398997,6.383842972914378,6.509137523174286,6.648891139030456,6.863918928305308,7.196171534061432,7.506531874338786,7.689458533128103,7.88266472419103,8.015219465891521,8.215844694773356,8.41149138212204,8.781969225406646,9.091654336452484,9.391953726609549,9.585800309975943,9.910419591267903,10.046448902289074,10.312491206328074,10.635858686765035,10.897718564669292,11.154867215951283,11.44370774825414,11.708646563688914,12.048709114392599,12.372444748878479,12.566530613104502,12.762632660071056,12.893136870861053,13.033726398150126,13.37787948846817,13.549158457914988,13.765934518973033,14.094192039966583,14.422952898343404,14.5540784796079
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,910.0,658.0,570.0,661.0,335.0,639.0,257.0,341.0,425.0,356.0,370.0,250.0,532.0,426.0,173.0,155.0,251.0,160.0,341.0,262.0,364.0,344.0,160.0,183.0,291.0,459.0,423.0,244.0,255.0,170.0,255.0,253.0,512.0,394.0,419.0,260.0,449.0,175.0,371.0,449.0,357.0,351.0,395.0,363.0,465.0,452.0,256.0,258.0,166.0,175.0,465.0,219.0,284.0,449.0,450.0,165.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
