,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Accumulated time steps,0.0,335.0,1095.0,1490.0,1814.0,2213.0,2699.0,2951.0,3456.0,3792.0,4046.0,4302.0,4464.0,4899.0,5152.0,5510.0,5942.0,6462.0,6968.0,7230.0,7403.0,7746.0,7909.0,8071.0,8466.0,8653.0,9008.0,9299.0,9480.0,9777.0,10035.0,10387.0,10735.0,11190.0,11381.0,11655.0,11815.0,12078.0,12239.0,12576.0,13191.0,13440.0,13865.0,14118.0,14468.0,14807.0,15055.0,15326.0,15837.0
Episode reward,0.0,78.99180704197802,91.55857769953218,71.44239119440904,92.5924265912197,86.64624785056412,76.78250915672234,84.04041435366224,64.12929855060068,81.20814780758374,86.16003768186843,85.8092311739091,90.66959854577885,77.75026299670634,86.845047133338,81.3624394485056,71.9251911293566,65.53819947066133,70.51320982465359,86.18040912153803,90.65660327374262,78.2045247502595,89.77150583119156,89.90388080974553,79.93543961951332,87.30998933851798,77.6394241944488,80.6272472462853,87.92324054017581,83.42077611895459,84.2362703535563,78.08634924455616,78.45839664652809,70.74828733377635,89.14738551025539,82.44626795244145,90.23113956459693,83.3655770655912,90.11824360286523,74.84974615923426,53.57077270527144,81.95861563511087,67.76120400241453,81.94181339444073,72.95339247430316,74.37514642604644,81.75499840954001,80.58287162375785,61.05373467617355
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,15.429493188858032,51.5270619392395,70.69466137886047,86.53279280662537,106.03736090660095,129.40032577514648,141.99663591384888,166.39040327072144,182.89277148246765,195.46203351020813,208.03377151489258,216.24464774131775,237.49572563171387,250.11380553245544,267.5676429271698,288.58821177482605,313.3620824813843,337.5270662307739,350.4799699783325,359.45097160339355,376.28485894203186,384.7860383987427,393.1924018859863,412.2741003036499,421.82766366004944,439.03622245788574,453.41098499298096,462.7314269542694,477.43078088760376,490.3621714115143,507.2104127407074,524.1521632671356,546.0948791503906,555.8994343280792,569.580411195755,577.7975811958313,591.0066313743591,599.3561024665833,615.8954784870148,645.3256294727325,657.7628507614136,677.7381501197815,690.4544818401337,707.550094127655,724.2812783718109,736.7840588092804,750.3657736778259,774.9462003707886
total minutes,0.0,0.25715821981430054,0.8587843656539917,1.1782443563143412,1.4422132134437562,1.7672893484433492,2.1566720962524415,2.366610598564148,2.773173387845357,3.0482128580411274,3.2577005585034686,3.4672295252482095,3.604077462355296,3.9582620938618978,4.168563425540924,4.45946071545283,4.809803529580434,5.222701374689738,5.625451103846232,5.841332832972209,5.990849526723226,6.271414315700531,6.413100639979045,6.553206698099772,6.871235005060831,7.030461061000824,7.317270374298095,7.556849749883016,7.7121904492378235,7.957179681460063,8.172702856858571,8.45350687901179,8.735869387785593,9.101581319173176,9.264990572134653,9.493006853262584,9.629959686597187,9.850110522905986,9.989268374443053,10.264924641450246,10.755427157878875,10.962714179356892,11.295635835329692,11.507574697335562,11.79250156879425,12.071354639530181,12.279734313488007,12.506096227963765,12.915770006179809
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,333.0,759.0,394.0,323.0,398.0,485.0,251.0,504.0,335.0,253.0,255.0,161.0,434.0,252.0,357.0,431.0,519.0,505.0,261.0,172.0,342.0,162.0,161.0,394.0,186.0,354.0,290.0,180.0,296.0,257.0,351.0,347.0,454.0,190.0,273.0,159.0,262.0,160.0,336.0,614.0,248.0,424.0,252.0,349.0,338.0,247.0,270.0,510.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
