,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
Accumulated time steps,0.0,1000.0,1999.0,2746.0,2973.0,3307.0,3718.0,4227.0,4397.0,4744.0,4904.0,5274.0,5623.0,5912.0,6178.0,6436.0,6879.0,7216.0,7559.0,7748.0,7940.0,8394.0,8870.0,9125.0,9398.0,9572.0,9759.0,10024.0,10285.0,10575.0,10834.0,11110.0,11371.0,11733.0,12081.0,12542.0,12732.0,12915.0,13074.0,13348.0,13606.0,13765.0,13947.0,14110.0,14375.0,14638.0,14894.0,15054.0,15310.0,15470.0,15630.0,15790.0,16065.0,16331.0,16605.0,16956.0,17138.0,17300.0,17460.0,17620.0,17972.0,18133.0,18404.0,18682.0,19135.0,19295.0,19562.0
Episode reward,0.0,-13.23038654908568,-76.77177438594667,59.261039098864245,89.05292550595325,90.7199013652244,77.53187730950802,72.88130209940596,90.34508121014854,78.74354912567551,91.45407382358131,76.4597625780174,78.87415174774924,81.09267219115856,83.94913459957574,85.4711759498312,75.95942570987,78.77888670598966,82.72400676260601,88.44091741681233,86.07405169408459,77.06482951558166,76.30654989865072,84.92724581213119,82.59210200980723,90.42297925240302,85.25302458545033,83.59742143727632,84.04257878303827,86.9421511981385,84.28673206388737,81.99169515525851,83.84806652643726,77.08876519539277,78.68427443072662,70.26077586648555,85.13986142572197,88.24810975418336,90.60424835265874,82.53103740648386,84.58238087359129,90.26314619319457,90.13767210102026,90.27302281967218,83.67006274508726,84.21464284180587,84.97563173822712,90.48008883785161,84.95837630526555,90.35935950789101,90.42411079097738,90.29777402258497,82.92829294154821,83.55563284188598,82.50582424652546,78.82678146909745,88.36066301340796,90.35312627833498,90.35169766187396,90.18664314866606,78.71190997569346,90.41337119837263,82.9921903041245,82.21471991223308,71.82568564843889,90.16457930981834,83.43301169924406
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,45.53775930404663,92.60481524467468,127.84619235992432,139.21008157730103,155.49791741371155,175.44131684303284,199.9300079345703,208.7085428237915,225.48456406593323,233.86670899391174,251.86159229278564,268.91976046562195,283.2590641975403,296.59449529647827,309.31066846847534,330.63962864875793,347.2870876789093,364.0943033695221,373.80633664131165,383.5945825576782,405.23278546333313,428.21320605278015,441.0474979877472,454.64599227905273,463.6990156173706,473.1975393295288,486.42027163505554,499.41648602485657,513.7992389202118,526.7497563362122,540.379917383194,553.4041867256165,570.7239847183228,586.0764210224152,606.6844239234924,615.8100109100342,624.3294744491577,631.7691917419434,644.4004600048065,656.4447867870331,664.3025150299072,673.2227666378021,681.1610703468323,693.5104627609253,705.6909644603729,717.7698719501495,725.7614507675171,737.5617241859436,745.4364123344421,753.586179971695,761.6677093505859,774.4490177631378,786.782476902008,799.5300552845001,815.0906534194946,823.9522261619568,831.694792509079,839.1418204307556,846.5360589027405,861.7864651679993,869.2363147735596,881.2735600471497,893.8625915050507,913.7872688770294,921.3651812076569,933.3382520675659
total minutes,0.0,0.7589626550674439,1.5434135874112447,2.130769872665405,2.3201680262883504,2.5916319568951924,2.9240219473838804,3.332166798909505,3.4784757137298583,3.7580760677655536,3.8977784832318623,4.19769320487976,4.481996007760366,4.720984403292338,4.943241588274637,5.155177807807922,5.510660477479299,5.7881181279818215,6.068238389492035,6.230105610688527,6.3932430426279705,6.753879757722219,7.136886767546335,7.35079163312912,7.5774332046508786,7.728316926956177,7.886625655492147,8.107004527250925,8.323608100414276,8.563320648670196,8.779162605603537,9.006331956386566,9.223403112093608,9.512066411972047,9.767940350373586,10.11140706539154,10.263500181833903,10.405491240819295,10.52948652903239,10.740007666746775,10.940746446450552,11.071708583831787,11.220379443963369,11.352684505780537,11.558507712682088,11.761516074339548,11.962831199169159,12.096024179458619,12.29269540309906,12.423940205574036,12.559769666194915,12.694461822509766,12.90748362938563,13.113041281700134,13.325500921408336,13.584844223658244,13.732537102699279,13.861579875151316,13.98569700717926,14.108934315045675,14.363107752799987,14.487271912892659,14.687892667452495,14.89770985841751,15.229787814617158,15.356086353460947,15.555637534459432
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,746.0,226.0,333.0,410.0,508.0,169.0,346.0,159.0,369.0,348.0,288.0,265.0,257.0,442.0,336.0,342.0,188.0,191.0,453.0,475.0,254.0,272.0,173.0,186.0,264.0,260.0,289.0,258.0,275.0,260.0,361.0,347.0,460.0,189.0,182.0,158.0,273.0,257.0,158.0,181.0,162.0,264.0,262.0,255.0,159.0,255.0,159.0,159.0,159.0,274.0,265.0,273.0,350.0,181.0,161.0,159.0,159.0,351.0,160.0,270.0,277.0,452.0,159.0,266.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
