,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Accumulated time steps,0.0,1000.0,1332.0,2004.0,2330.0,2750.0,3133.0,4129.0,4381.0,4718.0,4967.0,5314.0,5562.0,5816.0,6068.0,6227.0,6477.0,6726.0,6885.0,7134.0,7420.0,7580.0,7932.0,8189.0,8371.0,8708.0,8878.0,9160.0,9616.0,9877.0,10152.0,10587.0,10923.0,11082.0,11330.0,11770.0,12111.0,12358.0,12604.0,12948.0,13288.0,13537.0,13798.0,14043.0,14292.0,14629.0,14785.0,15221.0,15557.0,15972.0,16398.0,16644.0,16933.0,17101.0,17287.0,17820.0
Episode reward,0.0,-1.9491424188796393,83.45432298438746,65.54445362660078,79.19625827662796,89.50426741300008,92.34901096896512,87.17208239486249,81.60266705386823,79.61901958200744,84.0083253154687,81.47955858234924,86.71721319850441,86.37203468331764,86.23506485571616,91.03186902292667,87.19411123105425,87.11981411980892,89.53097511891707,84.90904786361075,82.63514337629597,91.20415635426299,78.48779237718112,86.7939482571798,90.90609082585729,78.7687439131806,90.65178066236585,82.39041809623339,72.72029060771723,88.3251912411081,83.85739559357177,75.84585844009194,81.62828452315509,90.6145309714,86.42478447995049,75.39920908256096,81.27169108455156,86.19001906301486,86.33602511475816,81.00896339199807,80.81422645669282,86.33317189331119,85.20852107077368,86.59968034720427,86.33596360273908,81.56765096661252,90.94612803605052,75.76113695329884,81.61853609771572,74.25160132457182,76.56922617748492,86.54639334816956,82.51009335869611,89.67632111381003,87.89049615931899,69.95385029101396
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,45.554845571517944,61.69042348861694,93.34447503089905,109.0271430015564,128.99131226539612,147.43503499031067,193.30432152748108,205.77064108848572,222.26509523391724,234.53159999847412,251.3778293132782,263.7866497039795,276.3637866973877,288.6761944293976,296.73445081710815,308.9967453479767,321.10030460357666,329.41706681251526,341.80418133735657,355.9329671859741,364.20907974243164,381.06390380859375,393.8027403354645,402.89669847488403,419.1610050201416,427.7262728214264,441.307000875473,462.7723400592804,475.7316515445709,488.993821144104,509.9072823524475,526.3288497924805,534.5574376583099,546.9113616943359,567.8490304946899,584.5129864215851,596.6539974212646,608.9421815872192,625.699737071991,641.9708440303802,654.1556556224823,667.0436713695526,679.1609971523285,691.4721877574921,707.9700124263763,716.1006803512573,736.9126687049866,752.7815487384796,772.5729703903198,792.652585029602,804.9739515781403,819.2090740203857,827.9020624160767,837.5206849575043,862.5811042785645
total minutes,0.0,0.7592474261919657,1.0281737248102825,1.5557412505149841,1.81711905002594,2.1498552044232686,2.4572505831718443,3.2217386921246844,3.429510684808095,3.704418253898621,3.9088599999745686,4.189630488554637,4.396444161732991,4.606063111623128,4.8112699071566265,4.945574180285136,5.149945755799611,5.351671743392944,5.490284446875254,5.696736355622609,5.9322161197662355,6.070151329040527,6.351065063476563,6.563379005591075,6.7149449745814005,6.986016750335693,7.12877121369044,7.355116681257884,7.71287233432134,7.928860859076182,8.1498970190684,8.498454705874126,8.772147496541342,8.9092906276385,9.115189361572266,9.464150508244833,9.741883107026418,9.944233290354411,10.149036359786987,10.42832895119985,10.699514067173004,10.902594260374705,11.117394522825878,11.319349952538808,11.524536462624868,11.799500207106272,11.935011339187621,12.281877811749776,12.546359145641327,12.876216173171997,13.210876417160033,13.416232526302338,13.653484567006428,13.798367706934611,13.958678082625072,14.376351737976075
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,331.0,671.0,325.0,419.0,382.0,995.0,251.0,336.0,248.0,346.0,247.0,253.0,251.0,158.0,249.0,248.0,158.0,248.0,285.0,159.0,351.0,256.0,181.0,336.0,169.0,281.0,455.0,260.0,274.0,434.0,335.0,158.0,247.0,439.0,340.0,246.0,245.0,343.0,339.0,248.0,260.0,244.0,248.0,336.0,155.0,435.0,335.0,414.0,425.0,245.0,288.0,167.0,185.0,532.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
