,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Accumulated time steps,0.0,744.0,1082.0,1400.0,1633.0,1976.0,2132.0,2641.0,2980.0,3226.0,3394.0,3731.0,3989.0,4326.0,4698.0,4859.0,5146.0,5301.0,5549.0,5889.0,6330.0,6690.0,7108.0,7384.0,7852.0,8012.0,8433.0,8828.0,9188.0,9532.0,9688.0,10032.0,10287.0,10462.0,10835.0,11100.0,11266.0,11537.0,11792.0,12143.0,12582.0,12940.0,13095.0,13456.0,13698.0,13940.0,14182.0,14427.0,14670.0,14917.0,15254.0,15693.0,16061.0,16500.0,16753.0,16912.0,17183.0,17345.0,17693.0,17949.0,18416.0,18773.0,18936.0,19094.0,19348.0,19797.0
Episode reward,0.0,65.05649154375493,92.57212995407401,87.704082809241,92.51145294763535,81.60531856729838,91.72636745789285,66.46302145939126,78.5192359816774,84.86640187374095,89.07274750328439,81.17162977732102,85.35092247561848,83.5153454410737,80.24776903971585,89.76904876657572,83.70760567263525,90.71704864352904,85.87333619992282,80.28432761129847,73.99024770838004,78.44378321467586,70.97387123765228,83.44079335347848,71.76901127302523,90.82322621249725,71.29654309211963,83.24307277851668,79.61303892547994,81.47132151171674,91.25576204392017,81.47209592286,86.35218281763902,89.77881225212522,78.58855335759966,85.12951556571619,90.65698207949424,84.18579923985311,86.6079350564526,81.2789681915812,76.98569373858146,80.48512876740409,89.92607394446836,77.13859464187303,84.9840778647817,85.05625167138236,84.8440485265453,85.00384440258952,84.69237285010367,84.06857125815586,79.16191311260822,77.38234933390291,80.00712853664423,77.3592670484106,86.88431810924553,91.3510538446384,84.61038969285933,91.10078137333696,81.93202595111205,87.64117082220672,75.8390577931749,76.36118527839815,91.44284391885924,91.70754635938523,87.69825631785008,78.20904744605788
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,30.261733531951904,44.58395195007324,58.053322315216064,68.15425133705139,82.59159302711487,89.73033475875854,110.6467273235321,124.91550922393799,135.5675835609436,143.14845657348633,157.3578495979309,168.4716501235962,182.66859006881714,198.2139983177185,205.5431787967682,217.76862287521362,224.85250163078308,235.57486128807068,249.86253213882446,268.1058175563812,283.1875183582306,300.53819942474365,312.32268261909485,331.6429615020752,338.9316875934601,356.4009680747986,372.85900354385376,387.96139693260193,402.41568541526794,409.537228345871,424.223149061203,435.1978175640106,443.03597474098206,458.6165108680725,469.99665546417236,477.4992184638977,489.1059789657593,500.10568618774414,514.8751151561737,533.0755031108856,548.0860385894775,555.1443037986755,570.4039459228516,581.0347356796265,591.8805153369904,602.8704814910889,614.0184624195099,625.0265984535217,635.9386944770813,650.5085895061493,669.5248351097107,685.7611186504364,704.4268617630005,715.6903209686279,723.2233228683472,735.4821648597717,743.0948903560638,758.4524869918823,769.9140527248383,789.8551199436188,805.5663213729858,813.357501745224,820.8241369724274,832.2425792217255,851.6931505203247
total minutes,0.0,0.5043622255325317,0.743065865834554,0.9675553719202677,1.1359041889508565,1.3765265504519144,1.4955055793126424,1.8441121220588683,2.0819251537323,2.2594597260157268,2.3858076095581056,2.622630826632182,2.80786083539327,3.0444765011469523,3.303566638628642,3.4257196466128033,3.629477047920227,3.747541693846385,3.926247688134511,4.164375535647074,4.468430292606354,4.719791972637177,5.008969990412394,5.205378043651581,5.527382691701253,5.648861459891001,5.9400161345799765,6.214316725730896,6.466023282210032,6.706928090254466,6.825620472431183,7.0703858176867165,7.253296959400177,7.383932912349701,7.643608514467875,7.83327759106954,7.958320307731628,8.151766316095989,8.335094769795736,8.581251919269562,8.884591718514761,9.134767309824626,9.25240506331126,9.506732432047526,9.683912261327107,9.864675255616506,10.047841358184815,10.233641040325164,10.417109974225362,10.598978241284689,10.841809825102489,11.158747251828512,11.429351977507274,11.740447696050008,11.9281720161438,12.053722047805786,12.258036080996195,12.384914839267731,12.640874783198038,12.831900878747303,13.164251999060314,13.42610535621643,13.5559583624204,13.68040228287379,13.870709653695425,14.194885842005412
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,742.0,337.0,317.0,232.0,342.0,155.0,508.0,338.0,245.0,167.0,336.0,257.0,336.0,371.0,160.0,286.0,154.0,247.0,339.0,440.0,359.0,417.0,275.0,467.0,159.0,420.0,394.0,359.0,343.0,155.0,343.0,254.0,174.0,372.0,264.0,165.0,270.0,254.0,350.0,438.0,357.0,154.0,360.0,241.0,241.0,241.0,244.0,242.0,246.0,336.0,438.0,367.0,438.0,252.0,158.0,270.0,161.0,347.0,255.0,466.0,356.0,162.0,157.0,253.0,448.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
