,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Accumulated time steps,0.0,628.0,1409.0,1834.0,2430.0,2938.0,3346.0,3586.0,3830.0,4077.0,4340.0,4507.0,4674.0,4939.0,5218.0,5377.0,5632.0,5974.0,6321.0,6578.0,6841.0,7005.0,7187.0,7620.0,7801.0,8082.0,8334.0,8703.0,9104.0,9475.0,9631.0,9881.0,10057.0,10551.0,10713.0,10957.0,11111.0,11267.0,11437.0,11719.0,11875.0,12160.0,12590.0,12870.0,13213.0,13463.0,13617.0,13878.0,14039.0,14378.0,14809.0,15058.0,15219.0,15503.0,15673.0,15951.0,16384.0,16813.0,16968.0,17232.0,17389.0,17637.0,17976.0,18320.0
Episode reward,0.0,58.21124131956204,38.58389420799408,67.80783625841676,86.43950180667699,86.39874498288582,84.42636415837462,86.32214213836356,82.70523323275111,87.30231531554575,86.41454103322077,90.94328169754178,91.00699585067392,87.13611335520784,85.11323531205258,89.95383169328613,83.73239779156427,78.52035430677643,77.80906033950296,83.80489891764938,83.22167212060808,89.74851192982129,87.84926273171511,73.16507385656138,90.11801374850221,81.55015526921036,84.75793049099359,75.81664074721446,80.44326340230268,75.88070897477203,90.61088398198713,85.06904684210478,88.48284183559419,67.40857568693384,89.97688514638998,82.44668418817692,91.1045958773577,90.88597941925588,91.07467894390874,85.41316060641671,90.87419070221897,81.88766553004797,74.95349106566731,82.68519711134184,79.93995726764636,85.78548664959249,91.09075259777904,84.60918996606418,90.31353910499098,80.69074951582503,74.7801090115164,85.88722872486092,90.30965351902405,81.99262667245385,89.36210288622966,82.65697649995595,74.52537694777538,75.24290362827327,90.98146831193932,84.29644431815447,90.75108103670982,85.98546850902447,80.6752670265648,80.22947271066111
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,25.996265649795532,59.19252586364746,77.76873993873596,103.43346238136292,125.29520440101624,142.81785702705383,153.87609219551086,165.06250262260437,176.45086455345154,188.56400966644287,196.6193425655365,204.63897800445557,216.7763123512268,229.50053763389587,237.04488682746887,248.6033787727356,263.86633014678955,279.41264057159424,291.182254076004,302.91564440727234,310.64561009407043,319.3058340549469,338.36922097206116,346.93963980674744,359.6834816932678,371.24063372612,387.6442382335663,405.439994096756,421.3916685581207,428.573269367218,439.52990341186523,447.7029378414154,469.23395228385925,476.8343560695648,487.8980619907379,495.29491424560547,502.8693563938141,510.9939022064209,523.8809008598328,531.3761041164398,544.3687558174133,563.4566464424133,576.2316610813141,591.6538643836975,603.2027649879456,610.5559241771698,622.5529737472534,630.0695972442627,645.3385844230652,664.3257994651794,675.8183093070984,683.5159697532654,696.318282365799,704.1801617145538,716.8008024692535,735.8409175872803,754.7792119979858,762.3150143623352,774.2281606197357,781.7790365219116,792.808269739151,807.378089427948,822.3354032039642
total minutes,0.0,0.4332710941632589,0.9865420977274577,1.2961456656455994,1.7238910396893818,2.088253406683604,2.380297617117564,2.5646015365918475,2.7510417103767395,2.9408477425575255,3.1427334944407144,3.2769890427589417,3.410649633407593,3.6129385391871134,3.825008960564931,3.950748113791148,4.14338964621226,4.397772169113159,4.656877342859904,4.8530375679334,5.048594073454539,5.177426834901174,5.321763900915782,5.639487016201019,5.782327330112457,5.994724694887797,6.187343895435333,6.460737303892771,6.757333234945933,7.023194475968679,7.1428878227869665,7.325498390197754,7.461715630690256,7.820565871397654,7.94723926782608,8.131634366512298,8.254915237426758,8.381155939896901,8.516565036773681,8.731348347663879,8.856268401940664,9.072812596956888,9.390944107373555,9.6038610180219,9.860897739728292,10.05337941646576,10.175932069619497,10.375882895787557,10.501159954071046,10.755643073717753,11.07209665775299,11.26363848845164,11.391932829221089,11.60530470609665,11.736336028575897,11.946680041154226,12.264015293121338,12.579653533299764,12.705250239372253,12.903802676995594,13.029650608698526,13.213471162319184,13.4563014904658,13.705590053399403
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,626.0,780.0,424.0,595.0,507.0,407.0,239.0,243.0,246.0,262.0,166.0,166.0,264.0,278.0,158.0,254.0,341.0,346.0,256.0,262.0,163.0,181.0,432.0,180.0,280.0,251.0,368.0,400.0,370.0,155.0,249.0,175.0,493.0,161.0,243.0,153.0,155.0,169.0,281.0,155.0,284.0,429.0,279.0,342.0,249.0,153.0,260.0,160.0,338.0,430.0,248.0,160.0,283.0,169.0,277.0,432.0,428.0,154.0,263.0,156.0,247.0,338.0,343.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
