,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
Accumulated time steps,0.0,657.0,1015.0,1272.0,1906.0,2065.0,2346.0,2613.0,2878.0,3128.0,3481.0,3677.0,3933.0,4082.0,4481.0,4904.0,5058.0,5309.0,5570.0,5727.0,5900.0,6059.0,6518.0,6785.0,7050.0,7309.0,7469.0,7619.0,7969.0,8217.0,8381.0,8632.0,8791.0,8961.0,9214.0,9392.0,9643.0,9804.0,10063.0,10419.0,10718.0,10995.0,11154.0,11414.0,11570.0,11823.0,12075.0,12244.0,12495.0,12647.0,12906.0,13166.0,13323.0,13675.0,13829.0,14088.0,14360.0,14643.0,14912.0,15068.0,15412.0,15569.0,15832.0,15985.0,16259.0,16507.0,16665.0,16821.0,17090.0,17258.0,17421.0,17578.0,17938.0,18093.0,18250.0,18401.0,18655.0,18817.0,18976.0,19132.0,19288.0,19576.0,19728.0,19981.0,20142.0
Episode reward,0.0,64.35895526209137,81.8082007716818,86.00916125924952,64.00277607475832,90.67162908756865,84.99292909236527,83.65526115071782,84.7776935395728,87.12780434479978,80.53533144380879,88.0701956173979,85.31259178440614,92.13641480320885,79.61855243790129,74.99989727553012,91.0466935654679,86.67797249896473,86.19839227441292,90.54596209705664,89.55670418047899,91.42051167349774,76.48898826036194,84.42530611292565,85.05695152359198,85.26672694410848,91.07177215730887,91.43364008329823,80.85054738516365,85.29840408665893,90.15153478796458,86.00330465512714,90.83642458773193,90.26992448104971,85.80279187753686,88.92816931256407,84.17688034914568,91.09881466537968,85.58054089253173,81.64623432706146,81.94676911239145,84.8848471330404,91.24314949164588,86.15824507861961,91.33893442777439,85.46266544084217,84.52946716410739,88.4189679398518,86.4338632837658,91.23308333537624,84.36585416224945,85.26908723646358,90.76003481997284,78.6215012404281,91.74617189052958,86.20205593361655,84.55822034507443,86.68632019299332,83.51226294162156,91.12135371585006,79.24812231262115,91.31748669837049,84.99195196904583,91.17590741505278,84.71731082197695,86.52156745507179,89.70425457877475,91.48411359281853,83.86738409494582,89.64502974705768,90.5126385723712,90.68600307277195,79.60806785786328,91.11979233415738,91.25265813933326,91.73569881211152,85.36139415481368,91.44011820517872,91.02720471840068,90.55600898989898,90.645019108112,83.0111875661761,90.58983495580475,86.58086913182913,91.14483255673989
Episode feedback,0.8,0.2931297705448401,0.2100840330249747,0.09374999963378906,0.08372827790880209,0.06962025272392246,0.10357142820153062,0.09398496205268811,0.0909090905647383,0.10843373450428219,0.04829545440825155,0.041025640815253124,0.047058823344867357,0.02702702684441198,0.04020100492411808,0.028436018889962042,0.04575163368789782,0.01999999992,0.019230769156804734,0.012820512738330047,0.02906976727285019,0.03164556941996475,0.028384279414008125,0.015037593928430099,0.018939393867653812,0.01162790693167478,0.006289308136545232,0.006711409350930139,0.011461318018735478,0.01214574893868118,0.024539877150062103,0.007999999968,0.00632911388399295,0.01183431945660166,0.0,0.005649717482204986,0.0,0.006249999960937501,0.0038759689772249264,0.0,0.006711409373451646,0.003623188392669607,0.0,0.0,0.012903225723204995,0.0,0.0,0.0,0.0,0.013245033024867332,0.0038759689772249264,0.00772200769219302,0.0,0.0,0.0,0.0038759689772249264,0.0,0.0,0.0,0.0,0.002915451886543872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,48.49367427825928,74.93095850944519,91.59618043899536,131.9788317680359,142.56401109695435,161.30462670326233,178.33517909049988,195.23785400390625,211.79519820213318,232.98743391036987,244.8171889781952,260.1046726703644,269.26313304901123,292.184339761734,316.0657596588135,325.4593873023987,339.66930389404297,354.3713517189026,363.47671270370483,373.7689278125763,383.47486209869385,409.196799993515,424.2552306652069,439.401563167572,453.94839668273926,463.19047236442566,471.9767355918884,490.8247447013855,504.9145383834839,514.798814535141,528.9077446460724,538.1034762859344,547.9570424556732,562.1204545497894,573.4113891124725,588.2431437969208,597.4661734104156,611.9905138015747,631.7700850963593,648.6097567081451,664.1944541931152,673.2988348007202,687.7076694965363,696.9231781959534,711.0524027347565,725.3555648326874,734.9862298965454,748.8371987342834,757.8494784832001,772.1099636554718,786.6830005645752,795.8928945064545,815.0103299617767,823.7989432811737,838.0215773582458,852.8970942497253,868.8196451663971,883.7220945358276,892.7017774581909,911.4659471511841,920.5363738536835,935.2641513347626,944.0656244754791,959.1537175178528,972.8708877563477,981.8366439342499,990.9394912719727,1005.6108310222626,1015.230612039566,1024.7127816677094,1033.6694917678833,1052.8659794330597,1061.9026486873627,1070.8273413181305,1079.560118675232,1093.7034335136414,1103.219616651535,1112.3572359085083,1121.4589972496033,1130.4061946868896,1146.1115663051605,1154.7893176078796,1168.5490760803223,1177.6121356487274
total minutes,0.0,0.8082279046376546,1.2488493084907533,1.5266030073165893,2.1996471961339314,2.3760668516159056,2.688410445054372,2.972252984841665,3.2539642333984373,3.529919970035553,3.8831238985061645,4.08028648296992,4.335077877839407,4.487718884150187,4.8697389960289,5.267762660980225,5.424323121706645,5.661155064900716,5.906189195315043,6.057945211728414,6.229482130209605,6.391247701644898,6.819946666558583,7.070920511086782,7.3233593861262,7.565806611378988,7.719841206073761,7.866278926531474,8.180412411689758,8.415242306391399,8.57998024225235,8.81512907743454,8.96839127143224,9.132617374261221,9.36867424249649,9.556856485207875,9.804052396615345,9.95776955684026,10.199841896692911,10.529501418272654,10.810162611802419,11.069907569885254,11.22164724667867,11.461794491608938,11.61538630326589,11.850873378912608,12.089259413878123,12.249770498275756,12.480619978904723,12.630824641386669,12.868499394257864,13.11138334274292,13.264881575107575,13.583505499362946,13.729982388019561,13.967026289304098,14.214951570828756,14.480327419439952,14.728701575597126,14.878362957636515,15.1910991191864,15.342272897561392,15.587735855579377,15.734427074591318,15.985895291964214,16.214514795939127,16.36394406557083,16.51565818786621,16.76018051703771,16.920510200659432,17.07854636112849,17.227824862798055,17.54776632388433,17.698377478122712,17.847122355302176,17.992668644587198,18.22839055856069,18.386993610858916,18.539287265141805,18.69098328749339,18.840103244781496,19.101859438419343,19.246488626797994,19.475817934672037,19.62686892747879
cummulative feedback,0.0,192.0,267.0,291.0,344.0,355.0,384.0,409.0,433.0,460.0,477.0,485.0,497.0,501.0,517.0,529.0,536.0,541.0,546.0,548.0,553.0,558.0,571.0,575.0,580.0,583.0,584.0,585.0,589.0,592.0,596.0,598.0,599.0,601.0,601.0,602.0,602.0,603.0,604.0,604.0,606.0,607.0,607.0,607.0,609.0,609.0,609.0,609.0,609.0,611.0,612.0,614.0,614.0,614.0,614.0,615.0,615.0,615.0,615.0,615.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,655.0,357.0,256.0,633.0,158.0,280.0,266.0,264.0,249.0,352.0,195.0,255.0,148.0,398.0,422.0,153.0,250.0,260.0,156.0,172.0,158.0,458.0,266.0,264.0,258.0,159.0,149.0,349.0,247.0,163.0,250.0,158.0,169.0,252.0,177.0,250.0,160.0,258.0,355.0,298.0,276.0,158.0,259.0,155.0,252.0,251.0,168.0,250.0,151.0,258.0,259.0,156.0,351.0,153.0,258.0,271.0,282.0,268.0,155.0,343.0,156.0,262.0,152.0,273.0,247.0,157.0,155.0,268.0,167.0,162.0,156.0,359.0,154.0,156.0,150.0,253.0,161.0,158.0,155.0,155.0,287.0,151.0,252.0,160.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
