,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7993.0,8992.0,9991.0,10854.0,11851.0,12228.0,13191.0,13458.0,13654.0,14023.0,14391.0,14758.0,15216.0,15477.0,15910.0,16166.0,16336.0,16506.0,16768.0,17155.0,17441.0,17700.0,18060.0,18334.0,18687.0,19059.0,19517.0,19784.0,20046.0
Episode reward,0.0,-55.660566923427105,-69.36101060234431,-76.48575633655153,-60.71873334914073,-57.922922294305884,-55.348721699719015,-52.54167784605492,-56.39181166805068,-53.45362207259897,-52.63260101786874,57.32559281480414,44.54997115542964,79.66816585018559,48.06171726784894,84.79835424013578,87.26796365846873,77.3579553924831,79.97537225248176,80.1408451726284,73.41956077594145,85.7826573840103,74.62915419365072,84.70273827632128,89.10016053366212,89.8240916886945,85.54751361660196,77.0679722419024,81.93173164253321,84.67640853075865,78.4657969222846,85.43797005647818,79.88530142394717,77.10345880831547,70.7050984453079,84.09011598492194,85.76763747141027
Episode feedback,0.8,0.2785571139493416,0.11422845679937028,0.08817635261705777,0.10921843676431019,0.10420841672925009,0.05110220435761302,0.026052104182312522,0.01102204407713222,0.013026052091156261,0.0050100200350601,0.005800464030393893,0.0020080321264979595,0.0,0.0,0.0,0.0,0.0,0.0,0.002732240429693332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002695417782492135,0.0,0.0,0.0
total seconds,0.0,75.42716860771179,140.14358353614807,202.64775204658508,266.51851773262024,329.0710275173187,386.12707328796387,440.68349146842957,493.7222945690155,546.3976283073425,598.710611820221,644.2315533161163,696.7263743877411,716.9802968502045,767.3711810112,782.0993113517761,793.208832025528,813.5913968086243,833.8993089199066,853.7973573207855,878.9836745262146,893.7082569599152,917.2682864665985,931.4740612506866,941.3549933433533,951.2441403865814,965.4817869663239,986.6603093147278,1002.3601424694061,1016.8153307437897,1036.4449734687805,1051.6293895244598,1071.025869846344,1090.783356666565,1115.19490981102,1129.860439300537,1144.1909053325653
total minutes,0.0,1.2571194767951965,2.3357263922691347,3.3774625341097515,4.441975295543671,5.4845171252886455,6.435451221466065,7.34472485780716,8.228704909483591,9.106627138455709,9.978510197003683,10.737192555268605,11.612106239795684,11.949671614170075,12.78951968352,13.034988522529602,13.220147200425465,13.559856613477072,13.898321815331776,14.229955955346425,14.649727908770243,14.895137615998586,15.287804774443309,15.524567687511444,15.689249889055889,15.854069006443023,16.0913631161054,16.444338488578797,16.7060023744901,16.94692217906316,17.274082891146342,17.52715649207433,17.850431164105732,18.179722611109415,18.586581830183665,18.831007321675617,19.06984842220942
cummulative feedback,0.0,278.0,392.0,480.0,589.0,693.0,744.0,770.0,781.0,794.0,799.0,804.0,806.0,806.0,806.0,806.0,806.0,806.0,806.0,807.0,807.0,807.0,807.0,807.0,807.0,807.0,807.0,807.0,807.0,807.0,807.0,807.0,807.0,808.0,808.0,808.0,808.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,862.0,996.0,376.0,962.0,266.0,195.0,368.0,367.0,366.0,457.0,260.0,432.0,255.0,169.0,169.0,261.0,386.0,285.0,258.0,359.0,273.0,352.0,371.0,457.0,266.0,261.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
