,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3366.0,3618.0,3886.0,4048.0,4411.0,4751.0,5111.0,5265.0,5529.0,5799.0,6093.0,6355.0,6624.0,6806.0,6954.0,7104.0,7357.0,7608.0,7755.0,7947.0,8104.0,8349.0,8612.0,8772.0,9027.0,9177.0,9335.0,9487.0,9735.0,9886.0,10152.0,10342.0,10601.0,10741.0,10886.0,11134.0,11393.0,11751.0,12109.0,12358.0,12692.0,13073.0,13313.0,13562.0,13822.0,14071.0,14341.0,14490.0,14754.0,15003.0,15281.0,15547.0,15916.0,16172.0,16423.0,16580.0,16752.0,17044.0,17389.0,17654.0,17941.0,18664.0,18926.0,19183.0,19439.0,19787.0,20368.0
Episode reward,0.0,-59.061073496901535,-65.19666920302056,-65.77553822374266,78.83906768675301,85.89121232599977,84.98888410307254,90.86230334341657,78.0735278014816,81.58562606251056,78.61014246226256,91.54216846577381,85.04239966344363,83.84440037588257,81.17604769398685,84.83424664678998,82.55593320320875,88.6121366456849,91.06659903254207,91.00013486132706,85.09048993511067,85.62643712079704,90.94446570693758,86.51054601224077,90.57539630086296,84.08681930529461,83.10387301576195,90.83998115764334,86.04461194559244,91.51359253164158,90.8995314439218,90.89460026063688,84.21934474223434,91.69110803411571,84.27290731223832,88.21989734754656,83.49612351137887,92.06900513826102,91.7048906715357,84.73856747651872,84.59837249149003,80.76969698185735,78.9250826482965,85.0111742534834,80.5535802816297,78.23989256820376,85.91805590219921,84.83258590089042,86.32615624984248,85.97634320748767,84.67930098871356,91.00030815174448,85.00570721450512,85.08460483075125,86.66780257526,83.76441905700388,78.30606568272958,84.44590428211218,85.53785419497822,90.86389084083221,89.17720161485411,80.30731039334503,78.8623813078379,86.57491924957603,82.78873593359565,58.604080616824064,83.7962795919785,85.24126713357084,87.0014151689997,81.66561282773893,66.10200928712072
Episode feedback,0.8,0.19539078136734392,0.07615230453291352,0.12124248484845443,0.07901907335417147,0.0637450196663545,0.07865168509868282,0.0559006207708036,0.01933701652116846,0.05604719747478703,0.019498607188026165,0.006535947669699688,0.022813688126183694,0.02973977684111607,0.02730375417302473,0.015325670439365247,0.014925373078636667,0.0276243092396447,0.01360544208431672,0.006711409350930139,0.011904761857520787,0.011999999952,0.0,0.0,0.006410256369165024,0.028688524472588014,0.019083969392809277,0.018867924409635695,0.003937007858515717,0.006711409350930139,0.01273885342204552,0.0,0.01214574893868118,0.0066666666222222224,0.0037735848914204344,0.0,0.0038759689772249264,0.0,0.0,0.0,0.0,0.002801120440332996,0.005602240880665992,0.0,0.003003002993984976,0.002631578940443213,0.0,0.0,0.0,0.004032258048257024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,66.0291748046875,124.3143298625946,186.75223398208618,209.1463975906372,224.3864302635193,240.85661149024963,250.8702986240387,271.5137279033661,292.57493925094604,313.8184006214142,323.4775369167328,339.8146457672119,355.67524695396423,373.1490111351013,388.39653992652893,404.17338609695435,415.71294045448303,425.3287651538849,434.7046911716461,449.98911452293396,464.79836201667786,473.76590180397034,484.9795129299164,494.2712662220001,508.64837980270386,524.1308283805847,533.7363986968994,548.0590260028839,556.9287576675415,566.357563495636,575.1327426433563,589.2419483661652,598.1741948127747,612.9781346321106,623.6910626888275,638.2234904766083,646.393634557724,654.6763525009155,668.3788125514984,682.5240697860718,701.9465389251709,721.6180093288422,735.3240742683411,753.5347390174866,773.9327445030212,787.0339632034302,800.9005522727966,815.2010202407837,829.216272354126,844.1036460399628,852.5684721469879,867.0443708896637,880.8980708122253,896.3508512973785,911.3166975975037,931.22944688797,945.2807321548462,959.1158976554871,968.0659098625183,977.8086593151093,993.9231503009796,1012.6520857810974,1027.395893573761,1042.9385623931885,1081.4133803844452,1095.7424116134644,1109.8783280849457,1124.0429291725159,1142.876937866211,1173.6003625392914
total minutes,0.0,1.1004862467447916,2.0719054977099103,3.11253723303477,3.485773293177287,3.7397738377253216,4.0142768581708275,4.181171643733978,4.525228798389435,4.876248987515767,5.230306677023569,5.391292281945547,5.6635774294535315,5.927920782566071,6.219150185585022,6.473275665442149,6.736223101615906,6.928549007574717,7.088812752564748,7.245078186194102,7.499818575382233,7.746639366944631,7.896098363399505,8.082991882165272,8.237854437033336,8.47747299671173,8.735513806343079,8.895606644948323,9.134317100048065,9.282145961125691,9.439292724927267,9.585545710722606,9.820699139436085,9.969569913546245,10.21630224386851,10.394851044813793,10.637058174610138,10.773227242628733,10.911272541681926,11.139646875858308,11.375401163101197,11.699108982086182,12.026966822147369,12.255401237805684,12.558912316958109,12.898879075050354,13.117232720057169,13.348342537879944,13.586683670679728,13.820271205902099,14.068394100666046,14.209474535783132,14.450739514827728,14.68163451353709,14.939180854956309,15.188611626625061,15.520490781466167,15.754678869247437,15.985264960924784,16.134431831041972,16.296810988585154,16.56538583834966,16.87753476301829,17.123264892896017,17.382309373219808,18.023556339740754,18.26237352689107,18.497972134749094,18.734048819541933,19.04794896443685,19.560006042321522
cummulative feedback,0.0,195.0,271.0,392.0,421.0,437.0,458.0,467.0,474.0,493.0,500.0,501.0,507.0,515.0,523.0,527.0,531.0,536.0,538.0,539.0,542.0,545.0,545.0,545.0,546.0,553.0,558.0,561.0,562.0,563.0,565.0,565.0,568.0,569.0,570.0,570.0,571.0,571.0,571.0,571.0,571.0,572.0,574.0,574.0,575.0,576.0,576.0,576.0,576.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,367.0,251.0,267.0,161.0,362.0,339.0,359.0,153.0,263.0,269.0,293.0,261.0,268.0,181.0,147.0,149.0,252.0,250.0,146.0,191.0,156.0,244.0,262.0,159.0,254.0,149.0,157.0,151.0,247.0,150.0,265.0,189.0,258.0,139.0,144.0,247.0,258.0,357.0,357.0,248.0,333.0,380.0,239.0,248.0,259.0,248.0,269.0,148.0,263.0,248.0,277.0,265.0,368.0,255.0,250.0,156.0,171.0,291.0,344.0,264.0,286.0,722.0,261.0,256.0,255.0,347.0,580.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
