,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4423.0,5422.0,6421.0,7081.0,7342.0,8247.0,8578.0,8929.0,9275.0,9522.0,9666.0,9901.0,10142.0,10530.0,10974.0,11229.0,11482.0,11722.0,12164.0,12438.0,12594.0,12971.0,13311.0,13473.0,13616.0,13972.0,14226.0,14492.0,14766.0,15013.0,15266.0,15649.0,15810.0,15958.0,16245.0,16406.0,16564.0,16716.0,16879.0,17035.0,17287.0,17572.0,17840.0,18105.0,18468.0,18669.0,18932.0,19197.0,19368.0,19730.0,20009.0
Episode reward,0.0,-72.35923554300875,-76.60853478288276,-68.5079990953556,-66.36523436442545,71.34045065571762,-61.72222325479193,-60.51839263314489,62.03090689397371,85.24807749576391,45.67634653238254,79.2913772036286,80.46860819544364,80.76956674733779,84.52204736548408,90.6567140602283,85.66748797485384,85.53761029575482,79.24403466292992,74.15886280408904,85.23647542498203,83.98807202433557,85.97934437239579,73.42840481508783,84.40517295744296,90.24076311338277,76.34191496421491,80.13086640089014,88.97331572184287,91.35322485404845,77.6283112998122,84.72074704919332,84.00139270609743,82.98732428795913,85.58632564257222,83.56890536508541,76.79689163504793,89.30277121887295,90.79534343138411,81.47550185784488,91.17495970496832,90.50031720013557,90.22261362070023,90.49607241971901,90.0446583560255,83.9376244581538,80.79779227931112,82.50174689935324,84.83876396483159,76.9049946097361,87.6238620642749,83.99540931319774,82.97465803868653,89.50543459771988,77.45251344074543,82.96593514031564
Episode feedback,0.8,0.01803607212621636,0.07915831655394959,0.19639278537435592,0.06212424843474524,0.10352941152110727,0.06713426846980534,0.0150300601051803,0.015174506805501507,0.007692307662721894,0.00663716813425092,0.01515151510560147,0.005714285697959184,0.01159420286494434,0.008130081267763897,0.0,0.0,0.008333333298611112,0.0025839793214884254,0.0,0.007874015717031434,0.0,0.0,0.0022675736910032344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,44.098875522613525,99.92003297805786,164.23751616477966,218.51709461212158,243.80142855644226,298.4469196796417,348.904550075531,382.84223556518555,396.70346331596375,442.1710126399994,459.6053047180176,477.797563791275,495.98547410964966,509.1529757976532,517.1425926685333,529.5510249137878,542.4005703926086,562.537974357605,585.3319294452667,598.9522180557251,612.313581943512,624.9575731754303,647.6903505325317,662.042138338089,670.7024617195129,690.1138210296631,707.7917206287384,716.5973303318024,724.5235133171082,742.9881749153137,756.4028215408325,770.398913860321,784.7584583759308,797.8776845932007,811.6267087459564,831.4408807754517,840.3584959506989,848.5912795066833,863.7106292247772,872.6731853485107,881.3587901592255,889.7637884616852,898.7985496520996,907.5136270523071,920.9137914180756,936.0830280780792,950.3406691551208,964.3582787513733,983.1038072109222,993.9062514305115,1007.8462398052216,1021.8018088340759,1031.2701745033264,1050.6666059494019,1065.368070602417
total minutes,0.0,0.7349812587102255,1.665333882967631,2.7372919360796613,3.641951576868693,4.063357142607371,4.974115327994029,5.815075834592183,6.380703926086426,6.611724388599396,7.369516877333323,7.660088411966959,7.963292729854584,8.26642456849416,8.485882929960887,8.619043211142221,8.825850415229798,9.040009506543477,9.375632905960083,9.755532157421111,9.982536967595419,10.2052263657252,10.41595955292384,10.794839175542196,11.03403563896815,11.178374361991882,11.50189701716105,11.79652867714564,11.943288838863372,12.07539188861847,12.383136248588562,12.606713692347208,12.839981897672017,13.079307639598847,13.297961409886678,13.527111812432606,13.857348012924195,14.005974932511647,14.143187991778056,14.395177153746287,14.544553089141846,14.689313169320425,14.82939647436142,14.979975827534993,15.125227117538453,15.34856319030126,15.60138380130132,15.839011152585348,16.072637979189555,16.38506345351537,16.565104190508524,16.797437330087025,17.030030147234598,17.187836241722106,17.5111100991567,17.756134510040283
cummulative feedback,0.0,18.0,97.0,293.0,355.0,399.0,466.0,481.0,491.0,493.0,499.0,504.0,506.0,510.0,512.0,512.0,512.0,514.0,515.0,515.0,517.0,517.0,517.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,425.0,998.0,998.0,659.0,260.0,904.0,330.0,350.0,345.0,246.0,143.0,234.0,240.0,387.0,443.0,254.0,252.0,239.0,441.0,273.0,155.0,376.0,339.0,161.0,142.0,355.0,253.0,265.0,273.0,246.0,252.0,382.0,160.0,147.0,286.0,160.0,157.0,151.0,162.0,155.0,251.0,284.0,267.0,264.0,362.0,200.0,262.0,264.0,170.0,361.0,278.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
