,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3868.0,4328.0,4601.0,5062.0,5513.0,5895.0,6371.0,6650.0,6909.0,7171.0,7327.0,7485.0,7640.0,7804.0,7961.0,8100.0,8249.0,8475.0,8650.0,8800.0,8946.0,9209.0,9363.0,9512.0,9665.0,9921.0,10060.0,10321.0,10559.0,10811.0,10956.0,11115.0,11267.0,11534.0,11697.0,11842.0,11995.0,12144.0,12295.0,12684.0,12948.0,13338.0,13500.0,13654.0,13808.0,14057.0,14217.0,14573.0,14842.0,15107.0,15256.0,15409.0,15612.0,15875.0,16132.0,16297.0,16460.0,16622.0,16883.0,17041.0,17198.0,17360.0,17604.0,17842.0,17992.0,18160.0,18325.0,18505.0,18764.0,18913.0,19166.0,19448.0,19612.0,19772.0,19929.0,20087.0
Episode reward,0.0,-69.46763710673522,-63.44599764820098,-65.75779584779748,47.871281632766,73.02351033236629,85.56586472628928,73.8973067746444,75.82638183701745,77.8579708252605,74.05043473441776,82.71450741258013,84.69396213608563,85.00314138884679,91.40841863549625,90.00032843704933,91.06845158205664,90.61979124457119,91.52002489171241,91.543975422907,92.26241397704983,87.72230757748662,89.82230927717022,91.33044378641468,91.39037551975443,84.06490310032767,91.7600937941197,91.36100701208444,89.68463373058287,86.94854227081662,92.15880393023359,86.48042981947631,85.67970314141928,85.41053005890353,91.37885492392789,90.59496655479933,91.76013725631778,83.68469522827738,89.37641236646336,91.4374394773414,90.95555181581695,90.65141080924386,91.07314654697244,79.66748699786596,85.52102207716284,76.76662185728831,89.9628518359645,89.39945524935618,91.81164666734931,86.53019538948915,89.72658346042421,78.79638582961428,86.32047575215988,84.37485202331936,90.95789682254227,90.38400128576136,88.37343835729712,84.03037920796632,85.74737608987525,90.54994739346537,91.81759877138555,91.13577222206055,84.93016928519584,89.8842872314526,91.46473546972608,90.97567567197822,84.75935634393227,87.07069252491428,91.66771153146072,88.08655426753974,89.7676050386929,88.75545985232904,85.01817232344935,91.68482489005461,87.01755347107942,83.37851312320107,90.15122808320609,92.16477801630475,92.09568224802233,89.97468002424759
Episode feedback,0.8,0.06212424843474524,0.12625250488351453,0.05110220435761302,0.1058688146077459,0.03485838772362007,0.036764705747188584,0.02173913038752363,0.04222222212839506,0.020997375272972768,0.023157894688088643,0.017985611446094923,0.007751937954449853,0.011494252829523936,0.03225806430801249,0.01910828013306828,0.03246753225670434,0.0,0.012820512738330047,0.007246376759084227,0.0,0.013333333274074075,0.0,0.0,0.006896551676575506,0.007633587757123711,0.0,0.0,0.0,0.00784313722414456,0.007246376759084227,0.0,0.012658227794691022,0.003984063729147156,0.0,0.0,0.013245033024867332,0.0037593984821075246,0.0,0.006944444396219137,0.006578947325138505,0.006756756711102995,0.0,0.0,0.0038022813543639494,0.0,0.006211180085644845,0.0,0.0,0.004032258048257024,0.006289308136545232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,57.54556703567505,128.83086681365967,188.78941583633423,245.34311151504517,272.21385526657104,288.90841698646545,315.2614824771881,342.23624086380005,364.4146296977997,391.8843660354614,408.12750697135925,423.2528963088989,438.3449378013611,448.02348160743713,457.70982336997986,467.21605038642883,476.9967050552368,486.56031584739685,494.885395526886,503.5974450111389,517.1968052387238,527.2585709095001,536.1990933418274,544.8417999744415,559.821884393692,568.8671455383301,577.684900522232,586.9204659461975,601.7125656604767,610.2440898418427,625.0201952457428,638.7444214820862,653.3551228046417,661.9278819561005,671.3320968151093,680.574645280838,695.7113180160522,705.2667899131775,714.2687809467316,723.5586695671082,732.3501513004303,741.2780351638794,762.8731303215027,777.7994439601898,799.2276751995087,808.7403652667999,817.8699145317078,826.9062893390656,841.6639814376831,852.2553822994232,873.2283113002777,889.6591627597809,905.6253068447113,915.2544250488281,925.1536178588867,937.7114081382751,953.5856218338013,968.8820223808289,978.5531756877899,988.3523812294006,998.5691032409668,1014.1110627651215,1023.4049649238586,1032.834004163742,1042.5482294559479,1056.6410796642303,1070.4255440235138,1079.24893784523,1089.053269147873,1098.8559520244598,1109.2964224815369,1124.0731854438782,1132.9393434524536,1147.1462903022766,1162.847856760025,1172.2951521873474,1181.8519442081451,1191.2698194980621,1200.501404762268
total minutes,0.0,0.9590927839279175,2.1471811135609946,3.1464902639389036,4.089051858584086,4.536897587776184,4.815140283107757,5.254358041286468,5.703937347730001,6.073577161629995,6.531406100591024,6.802125116189321,7.054214938481649,7.305748963356018,7.467058026790619,7.628497056166331,7.786934173107147,7.9499450842539465,8.109338597456615,8.2480899254481,8.393290750185649,8.619946753978729,8.787642848491668,8.936651555697123,9.080696666240692,9.330364739894867,9.481119092305502,9.628081675370534,9.782007765769958,10.028542761007945,10.170734830697377,10.417003254095713,10.64574035803477,10.889252046744028,11.032131365935008,11.188868280251821,11.342910754680634,11.595188633600872,11.754446498552959,11.904479682445526,12.059311159451802,12.205835855007171,12.35463391939799,12.714552172025044,12.963324066003164,13.320461253325144,13.479006087779998,13.631165242195129,13.781771488984425,14.027733023961385,14.204256371657054,14.553805188337963,14.827652712663015,15.093755114078522,15.254240417480469,15.41922696431478,15.628523468971252,15.893093697230022,16.148033706347146,16.3092195947965,16.472539687156676,16.642818387349447,16.90185104608536,17.056749415397643,17.213900069395702,17.375803824265798,17.610684661070504,17.84042573372523,17.987482297420502,18.150887819131217,18.31426586707433,18.488273708025613,18.734553090731303,18.882322390874226,19.11910483837128,19.380797612667084,19.53825253645579,19.697532403469086,19.85449699163437,20.0083567460378
cummulative feedback,0.0,62.0,188.0,239.0,331.0,347.0,357.0,367.0,386.0,394.0,405.0,410.0,412.0,415.0,420.0,423.0,428.0,428.0,430.0,431.0,431.0,434.0,434.0,434.0,435.0,437.0,437.0,437.0,437.0,439.0,440.0,440.0,443.0,444.0,444.0,444.0,446.0,447.0,447.0,448.0,449.0,450.0,450.0,450.0,451.0,451.0,452.0,452.0,452.0,453.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0,454.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,869.0,459.0,272.0,460.0,450.0,381.0,475.0,278.0,258.0,261.0,155.0,157.0,154.0,163.0,156.0,138.0,148.0,225.0,174.0,149.0,145.0,262.0,153.0,148.0,152.0,255.0,138.0,260.0,237.0,251.0,144.0,158.0,151.0,266.0,162.0,144.0,152.0,148.0,150.0,388.0,263.0,389.0,161.0,153.0,153.0,248.0,159.0,355.0,268.0,264.0,148.0,152.0,202.0,262.0,256.0,164.0,162.0,161.0,260.0,157.0,156.0,161.0,243.0,237.0,149.0,167.0,164.0,179.0,258.0,148.0,252.0,281.0,163.0,159.0,156.0,157.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
