,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4806.0,5188.0,5655.0,6046.0,6431.0,6916.0,7182.0,7470.0,7730.0,7899.0,8255.0,8534.0,8795.0,9088.0,9602.0,9760.0,10023.0,10301.0,10449.0,10603.0,10762.0,11120.0,11282.0,11445.0,11608.0,11752.0,11906.0,12074.0,12248.0,12509.0,12762.0,13031.0,13187.0,13351.0,13512.0,13671.0,13833.0,14012.0,14169.0,14332.0,14540.0,14702.0,14866.0,15129.0,15420.0,15580.0,15845.0,16005.0,16338.0,16521.0,16674.0,16946.0,17106.0,17476.0,17940.0,18215.0,18398.0,18856.0,19108.0,19266.0,19420.0,19573.0,19905.0,20071.0
Episode reward,0.0,-59.17446161667094,-55.77563917329581,-55.885317955266444,-63.80930315270341,54.986160829978466,82.01884308712113,79.67731350725659,79.20376136121297,78.37548469118192,80.61028667201872,84.37672002060292,83.98345307149572,86.30679602416137,89.76249878294033,81.340317952694,83.17664946437112,84.2933308284483,81.54283455576723,69.82229334972351,89.3811399264409,84.0757876979681,83.6086883689155,89.3200887636814,88.87985223771324,89.28994830227612,77.14274456980237,88.49557890477926,89.91704062496015,88.75331119226101,90.20503763206173,89.0566961387768,89.81811957314159,87.961652505571,82.78450734809402,82.44551764521493,84.09272161807294,91.02779158598359,91.44959304270347,89.28716303843572,90.18134233405884,89.93977843503379,88.84910268093651,89.64189072645138,89.12228370180262,85.66374118235717,88.37994509025728,90.27577437398976,83.42611373987913,81.18078977698949,88.35367722728682,82.3517245930658,89.03304553827928,77.99917484391248,89.38625256357216,91.22923885523156,82.94602743539,90.66943779583774,75.71919839300115,71.44878920825958,83.90058460547074,88.09987445726466,71.9282893793954,84.94705017493169,90.48709246240306,90.89376131912589,90.69726773089313,80.12038305424844,89.15563105791955
Episode feedback,0.8,0.16833667317801937,0.2454909817179449,0.14529058101674291,0.05110220435761302,0.07178217812898245,0.07611548536452628,0.04291845484352263,0.03333333324786325,0.015624999959309896,0.02685950407673656,0.0037735848914204344,0.013937282181403199,0.011583011538289532,0.005952380916950114,0.005633802801031542,0.0035971222892189846,0.015384615325443787,0.006849315045036592,0.0038986354699831667,0.01910828013306828,0.0,0.0,0.00680272104215836,0.0,0.00632911388399295,0.005602240880665992,0.0,0.012345678936137784,0.0,0.006993006944104847,0.006535947669699688,0.0,0.0,0.0,0.0,0.0037313432696591668,0.0,0.0,0.0,0.0,0.0,0.0,0.006410256369165024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006289308136545232,0.0030120481836986503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,65.92046236991882,151.01783394813538,225.50273394584656,288.1528670787811,341.17223596572876,365.93280029296875,393.9165680408478,416.8822886943817,438.5756905078888,466.4564571380615,481.59869718551636,497.8385102748871,513.74511551857,524.2218236923218,544.2451150417328,559.9766726493835,575.2184715270996,591.8711907863617,620.4081516265869,629.8411273956299,644.7898137569427,660.2343013286591,669.05100274086,678.1830599308014,687.7216374874115,707.4409501552582,716.9761021137238,726.7256710529327,736.2745213508606,745.1221537590027,754.5861134529114,764.6567404270172,775.1544122695923,791.5767710208893,808.0698823928833,824.2645087242126,834.2158374786377,844.4398822784424,854.8629651069641,864.4201700687408,874.2523465156555,884.9393768310547,894.5378203392029,904.0865421295166,916.5810716152191,926.4502816200256,936.1508622169495,951.1741368770599,967.6496098041534,977.0543539524078,992.3025045394897,1001.9807548522949,1020.7824623584747,1031.5074443817139,1040.544911623001,1056.0784239768982,1065.484102010727,1085.9985024929047,1111.4010503292084,1126.970606803894,1137.6722996234894,1162.880487203598,1177.319518327713,1186.605276107788,1195.64097738266,1204.77059674263,1222.8180673122406,1232.75830245018
total minutes,0.0,1.0986743728319803,2.5169638991355896,3.7583788990974427,4.802547784646352,5.686203932762146,6.098880004882813,6.5652761340141295,6.948038144906362,7.3095948417981464,7.774274285634359,8.026644953091939,8.297308504581451,8.562418591976165,8.73703039487203,9.070751917362212,9.332944544156392,9.58697452545166,9.86451984643936,10.340135860443116,10.497352123260498,10.746496895949045,11.003905022144318,11.150850045681,11.30305099884669,11.462027291456858,11.790682502587636,11.949601701895396,12.11209451754888,12.271242022514343,12.418702562650045,12.57643522421519,12.744279007116953,12.919240204493205,13.192946183681489,13.467831373214722,13.73774181207021,13.903597291310628,14.07399803797404,14.24771608511607,14.407002834479014,14.570872441927593,14.748989613850911,14.908963672320048,15.068109035491943,15.276351193586985,15.440838027000428,15.60251437028249,15.852902281284333,16.12749349673589,16.28423923254013,16.538375075658163,16.69967924753825,17.01304103930791,17.191790739695232,17.342415193716686,17.601307066281638,17.75806836684545,18.09997504154841,18.52335083882014,18.78284344673157,18.961204993724824,19.3813414533933,19.62199197212855,19.77675460179647,19.927349623044332,20.0795099457105,20.380301121870676,20.545971707503
cummulative feedback,0.0,168.0,413.0,558.0,609.0,667.0,696.0,716.0,729.0,735.0,748.0,749.0,753.0,756.0,757.0,759.0,760.0,764.0,766.0,768.0,771.0,771.0,771.0,772.0,772.0,773.0,775.0,775.0,777.0,777.0,778.0,779.0,779.0,779.0,779.0,779.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,782.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,808.0,381.0,466.0,390.0,384.0,484.0,265.0,287.0,259.0,168.0,355.0,278.0,260.0,292.0,513.0,157.0,262.0,277.0,147.0,153.0,158.0,357.0,161.0,162.0,162.0,143.0,153.0,167.0,173.0,260.0,252.0,268.0,155.0,163.0,160.0,158.0,161.0,178.0,156.0,162.0,207.0,161.0,163.0,262.0,290.0,159.0,264.0,159.0,332.0,182.0,152.0,271.0,159.0,369.0,463.0,274.0,182.0,457.0,251.0,157.0,153.0,152.0,331.0,165.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
