,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
Accumulated time steps,0.0,766.0,1029.0,1291.0,1543.0,1687.0,2051.0,2211.0,2454.0,2612.0,2872.0,3017.0,3167.0,3319.0,3470.0,3996.0,4181.0,4434.0,4697.0,4853.0,5156.0,5305.0,5458.0,5610.0,5998.0,6146.0,6398.0,6656.0,6811.0,6959.0,7211.0,7407.0,7670.0,7827.0,8092.0,8248.0,8404.0,8571.0,8737.0,9093.0,9246.0,9402.0,9548.0,9715.0,9875.0,10124.0,10274.0,10623.0,10772.0,10926.0,11171.0,11317.0,11574.0,11725.0,11887.0,12043.0,12193.0,12354.0,12516.0,12766.0,12926.0,13183.0,13333.0,13479.0,13636.0,13793.0,13951.0,14108.0,14264.0,14437.0,14686.0,15127.0,15306.0,15457.0,15705.0,15855.0,16105.0,16257.0,16409.0,16656.0,16918.0,17193.0,17347.0,17514.0,17666.0,18058.0,18197.0,18347.0,18498.0,18751.0,18903.0,19252.0,19509.0,19671.0,19916.0,20061.0
Episode reward,0.0,60.52804535651454,86.54475197026208,86.72972224224702,85.93576108993597,92.46834501070369,79.42744493100969,91.13051336934767,85.59302507825997,89.61541786058918,84.42218298418801,90.85314393732047,91.6247723687955,91.01968453889738,90.48412342260397,70.11292455915347,87.53309288708772,85.48920057764175,85.3942245187595,91.60752779586868,85.10422470953151,91.2598622882546,90.46054702194914,91.33948892466493,78.55138514790073,91.3163709943575,84.32766054069505,85.5343737170082,91.06893766735146,90.73224685221251,86.73604422625228,89.41267987789308,84.70480019161467,91.05191340090386,83.99916401142094,90.26883381505034,91.20794614958905,90.0358386843173,90.28684072309443,79.0206093000269,91.21303663650927,91.68871307834321,91.58186593897054,89.9762078870854,92.81392884978565,86.19468499364932,90.95936949260091,78.88326055941096,91.28085069499132,90.85642634446317,84.79739466257936,91.46414992169017,85.28798087051219,91.0440637318607,90.71553778364803,91.97236580616382,91.10162032294281,91.13182754918395,90.00889198468172,83.90833791184437,90.56318177826854,84.07039591914075,90.46889568381239,91.20233203737499,90.58607761583382,90.780602942272,90.0226906148236,90.34344662107311,90.35983852931136,88.11753566200062,84.12808197859405,72.81334491787251,88.80047924252995,91.15802166072162,85.56527066158176,90.94721734359875,85.25422779261446,90.75076719087538,90.36564097895882,88.40103560248399,84.16382042402988,83.54530427722874,90.66376798623935,90.54567011690449,90.49656778335837,79.2487477296091,91.76892392085654,90.78213098738712,91.31796078693993,83.75563402427834,90.89619422479815,78.6429705816247,83.95589711712456,89.13844108144023,85.33024826619513,91.0385909996159
Episode feedback,0.8,0.31151832419958336,0.15648854902103607,0.16858237483301772,0.203187250186505,0.2377622360995648,0.1652892557430048,0.13207547086744986,0.1322314044122669,0.17197452119761453,0.1119691115367988,0.10416666594328704,0.10067114026395207,0.09933774768650498,0.07333333284444445,0.0723809522430839,0.0543478257915879,0.05158730138259007,0.030534351028494843,0.019354838584807493,0.04304635747335643,0.04054054026661797,0.01315789465027701,0.04635761558703566,0.018087855250418977,0.04081632625295016,0.003984063729147156,0.035019455116655815,0.025974025805363468,0.00680272104215836,0.01195219118744147,0.0051282051019066405,0.015267175514247422,0.012820512738330047,0.007575757547061524,0.0064516128616024975,0.0,0.0,0.006060606023875115,0.011267605602063083,0.0,0.0,0.0,0.006024096349252432,0.0,0.004032258048257024,0.006711409350930139,0.008620689630400318,0.006756756711102995,0.0,0.012295081916823434,0.0,0.003906249984741211,0.0,0.0,0.0,0.006711409350930139,0.006249999960937501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00636942671102276,0.0,0.0,0.0,0.008064516096514047,0.0,0.0,0.0,0.0,0.006711409350930139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,61.07845497131348,79.77888250350952,98.7987916469574,118.39516091346741,130.56319046020508,157.58378648757935,169.92740154266357,189.9157998561859,203.95696187019348,223.79603123664856,234.87016701698303,246.26603150367737,257.29971385002136,267.70362734794617,302.2059414386749,314.5060565471649,330.4091947078705,346.47211933135986,356.1344246864319,374.6449728012085,384.3149902820587,393.7777199745178,403.3851730823517,426.0608229637146,435.76083540916443,450.35939621925354,466.9143934249878,477.5210380554199,487.1927559375763,504.08306074142456,516.8668587207794,533.7115728855133,543.7267713546753,560.3278410434723,570.4596123695374,580.181544303894,591.180947303772,601.5777127742767,623.475474357605,632.9073224067688,642.3357374668121,651.248349905014,661.9453871250153,671.729213476181,686.092583656311,695.1824886798859,715.4545514583588,724.6052777767181,733.8956062793732,748.3137676715851,756.937563419342,771.6486563682556,780.7192769050598,790.3048119544983,799.4980120658875,808.4721517562866,817.8950111865997,827.5121665000916,841.6491031646729,851.0641210079193,865.807610988617,874.5792133808136,883.2735126018524,892.5892152786255,901.8506002426147,911.5377125740051,921.0259776115417,930.2480964660645,940.2929594516754,954.5916306972504,978.6476197242737,989.226181268692,998.1757798194885,1012.1907098293304,1021.0813145637512,1035.2909607887268,1044.4601578712463,1053.4470629692078,1067.3204126358032,1081.8057270050049,1097.3534684181213,1106.492336988449,1116.0656986236572,1125.1044609546661,1146.896362066269,1155.387437582016,1164.3596477508545,1173.4637858867645,1187.7695310115814,1196.7236280441284,1215.8988482952118,1230.6212992668152,1240.0111644268036,1253.8325865268707,1262.438377380371
total minutes,0.0,1.0179742495218913,1.3296480417251586,1.6466465274492899,1.9732526818911234,2.1760531743367513,2.6263964414596557,2.832123359044393,3.165263330936432,3.3992826978365582,3.7299338539441425,3.914502783616384,4.104433858394623,4.288328564167022,4.46172712246577,5.036765690644582,5.241767609119416,5.506819911797842,5.774535322189331,5.935573744773865,6.244082880020142,6.405249838034312,6.562961999575297,6.723086218039195,7.10101371606191,7.2626805901527405,7.505989936987559,7.78190655708313,7.958683967590332,8.119879265626272,8.40138434569041,8.614447645346324,8.895192881425222,9.062112855911256,9.338797350724539,9.507660206158956,9.6696924050649,9.853015788396199,10.026295212904612,10.391257905960083,10.548455373446147,10.705595624446868,10.854139165083568,11.032423118750254,11.195486891269685,11.43487639427185,11.586374811331432,11.92424252430598,12.076754629611969,12.231593437989552,12.471896127859752,12.615626056989035,12.860810939470927,13.011987948417664,13.171746865908306,13.324966867764791,13.474535862604776,13.631583519776662,13.791869441668192,14.027485052744547,14.184402016798655,14.430126849810282,14.57632022301356,14.721225210030873,14.876486921310425,15.030843337376913,15.192295209566753,15.350432960192363,15.504134941101075,15.67154932419459,15.90986051162084,16.310793662071227,16.48710302114487,16.636262996991476,16.869845163822173,17.018021909395852,17.25484934647878,17.407669297854106,17.557451049486797,17.788673543930052,18.030095450083415,18.289224473635354,18.441538949807484,18.601094977060953,18.7517410159111,19.11493936777115,19.2564572930336,19.405994129180907,19.55772976477941,19.796158850193024,19.945393800735474,20.264980804920196,20.510354987780254,20.666852740446725,20.897209775447845,21.040639623006186
cummulative feedback,0.0,238.0,279.0,323.0,374.0,408.0,468.0,489.0,521.0,548.0,577.0,592.0,607.0,622.0,633.0,671.0,681.0,694.0,702.0,705.0,718.0,724.0,726.0,733.0,740.0,746.0,747.0,756.0,760.0,761.0,764.0,765.0,769.0,771.0,773.0,774.0,774.0,774.0,775.0,779.0,779.0,779.0,779.0,780.0,780.0,781.0,782.0,785.0,786.0,786.0,789.0,789.0,790.0,790.0,790.0,790.0,791.0,792.0,792.0,792.0,792.0,792.0,792.0,792.0,792.0,792.0,793.0,793.0,793.0,793.0,795.0,795.0,795.0,795.0,795.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,764.0,262.0,261.0,251.0,143.0,363.0,159.0,242.0,157.0,259.0,144.0,149.0,151.0,150.0,525.0,184.0,252.0,262.0,155.0,302.0,148.0,152.0,151.0,387.0,147.0,251.0,257.0,154.0,147.0,251.0,195.0,262.0,156.0,264.0,155.0,155.0,166.0,165.0,355.0,152.0,155.0,145.0,166.0,159.0,248.0,149.0,348.0,148.0,153.0,244.0,145.0,256.0,150.0,161.0,155.0,149.0,160.0,161.0,249.0,159.0,256.0,149.0,145.0,156.0,156.0,157.0,156.0,155.0,172.0,248.0,440.0,178.0,150.0,247.0,149.0,249.0,151.0,151.0,246.0,261.0,274.0,153.0,166.0,151.0,391.0,138.0,149.0,150.0,252.0,151.0,348.0,256.0,161.0,244.0,144.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
