,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Accumulated time steps,0.0,767.0,1130.0,1605.0,2013.0,3012.0,4011.0,5010.0,6009.0,7008.0,8007.0,9006.0,9902.0,10305.0,10720.0,10969.0,11296.0,11486.0,11984.0,12227.0,12384.0,12524.0,12866.0,13022.0,13501.0,13802.0,13964.0,14119.0,14373.0,14523.0,14709.0,14856.0,15006.0,15253.0,15436.0,15685.0,15849.0,16000.0,16241.0,16559.0,16708.0,16861.0,17011.0,17154.0,17343.0,17581.0,17824.0,18287.0,18486.0,18756.0,19011.0,19174.0,19322.0,19468.0,19815.0,19985.0,20242.0
Episode reward,0.0,59.65504253700451,81.44958400418412,73.35145812303625,78.46672399669538,-76.08576397363503,-58.338261746143935,-66.07135340314103,-87.9260680706237,-46.97365376993724,-18.964798520656025,-65.53901598040116,35.47324362877147,73.17289593899673,72.73754457846509,86.55988309725059,84.66231488682877,89.45501115750969,74.16431939238487,87.41007672491446,90.78772034740336,92.7765521525896,84.00705170769777,91.49518647954817,77.3535430831622,86.35364587483029,91.11816686520268,91.24321488531335,87.21577956450733,92.75973798659471,88.8080477118321,92.21148411877103,91.19761081072004,84.4174617055353,88.97375264211563,86.01347454202535,91.95890963814593,91.56957888376834,86.9572943533893,83.59479977346098,92.47088050550919,91.829123770078,91.23990616469817,91.4749741450764,91.74721455079646,88.0518378909299,89.91917094163034,75.70358963342466,87.11786849946145,85.29423876025675,87.21129216812544,89.98118360552724,91.89557645131873,91.39629380234837,83.67601903470919,90.20529011284164,86.66156989418148
Episode feedback,0.8,0.3019607839190055,0.17403314869051617,0.20042194050543893,0.17690417646952292,0.08717434861004575,0.06713426846980534,0.0801603205609616,0.04308617230151686,0.03607214425243272,0.037074148259444745,0.013026052091156261,0.0033519553035173686,0.004975124365733522,0.0024154589313636256,0.004032258048257024,0.00613496930633445,0.0,0.004024144861118421,0.004132231387883341,0.0,0.0,0.0029325513110482365,0.0,0.0,0.0033333333222222224,0.006211180085644845,0.006493506451340867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,60.26951026916504,86.83754825592041,122.52376365661621,152.18423080444336,217.46214032173157,283.7726581096649,357.75941824913025,424.1019744873047,487.3234398365021,547.2879812717438,603.4191493988037,652.4440472126007,675.3966410160065,698.6899781227112,713.2953679561615,731.7483546733856,742.3812019824982,769.3426446914673,783.5499210357666,792.8107304573059,801.2202839851379,820.0344378948212,829.353734254837,855.3125643730164,872.2278413772583,881.6885240077972,890.898472070694,905.3217163085938,914.1438336372375,924.8363847732544,933.6245408058167,942.451509475708,956.4813013076782,967.1595239639282,981.1946504116058,990.8525776863098,999.5814926624298,1013.5026061534882,1031.0624208450317,1040.1477766036987,1049.0217480659485,1057.86443734169,1066.1536207199097,1076.7946197986603,1090.0864963531494,1103.7732303142548,1128.9780540466309,1140.3984375,1155.3246443271637,1169.8072519302368,1179.4290707111359,1188.1210629940033,1196.9319806098938,1216.6661252975464,1226.6294186115265,1241.0676045417786
total minutes,0.0,1.0044918378194174,1.4472924709320067,2.0420627276102703,2.536403846740723,3.6243690053621926,4.729544301827748,5.962656970818838,7.068366241455078,8.122057330608367,9.121466354529064,10.056985823313395,10.874067453543345,11.256610683600108,11.644832968711853,11.888256132602692,12.195805911223093,12.373020033041636,12.822377411524455,13.05916535059611,13.213512174288432,13.353671399752299,13.667240631580352,13.822562237580618,14.25520940621694,14.537130689620971,14.694808733463287,14.8483078678449,15.088695271809895,15.235730560620626,15.413939746220906,15.560409013430277,15.707525157928467,15.941355021794637,16.119325399398804,16.353244173526765,16.514209628105164,16.659691544373832,16.891710102558136,17.18437368075053,17.335796276728313,17.48369580109914,17.631073955694834,17.769227011998495,17.94657699664434,18.16810827255249,18.39622050523758,18.816300900777183,19.006640625,19.25541073878606,19.496787532170615,19.65715117851893,19.80201771656672,19.94886634349823,20.277768754959105,20.44382364352544,20.68446007569631
cummulative feedback,0.0,231.0,294.0,389.0,461.0,548.0,615.0,695.0,738.0,774.0,811.0,824.0,827.0,829.0,830.0,831.0,833.0,833.0,835.0,836.0,836.0,836.0,837.0,837.0,837.0,838.0,839.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,765.0,362.0,474.0,407.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,895.0,402.0,414.0,248.0,326.0,189.0,497.0,242.0,156.0,139.0,341.0,155.0,478.0,300.0,161.0,154.0,253.0,149.0,185.0,146.0,149.0,246.0,182.0,248.0,163.0,150.0,240.0,317.0,148.0,152.0,149.0,142.0,188.0,237.0,242.0,462.0,198.0,269.0,254.0,162.0,147.0,145.0,346.0,169.0,256.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
