,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
Accumulated time steps,0.0,1000.0,1999.0,2677.0,2941.0,3483.0,3749.0,4137.0,4564.0,4737.0,5008.0,5343.0,5611.0,5958.0,6210.0,6395.0,6774.0,6925.0,7070.0,7220.0,7486.0,7732.0,8074.0,8226.0,8376.0,8620.0,8902.0,9172.0,9441.0,9693.0,9966.0,10321.0,10594.0,10848.0,11106.0,11455.0,11711.0,11867.0,12150.0,12315.0,12471.0,12634.0,12783.0,13051.0,13320.0,13489.0,13744.0,14020.0,14274.0,14427.0,14583.0,14830.0,14987.0,15145.0,15397.0,15663.0,15939.0,16090.0,16255.0,16514.0,16827.0,16989.0,17143.0,17519.0,17791.0,18163.0,18414.0,18699.0,18874.0,19031.0,19189.0,19374.0,19644.0,20020.0
Episode reward,0.0,-50.20073281967981,-58.97838648839467,61.67717754272008,85.61446698183292,69.99653120536816,85.59280023407624,78.45219281915014,75.80959085759562,89.97986549377636,84.50419754868025,81.61595406083848,83.56113951025748,80.03583449993425,85.13076112828819,88.05539433447713,79.58149191947132,91.46915242748734,91.50536393734878,90.21195707222465,84.6060297494566,84.54817483185845,80.18404289056343,90.89098192569483,91.63597032928932,86.49166795498478,85.72428169488751,86.03464296542428,83.662748099777,84.82059592955812,83.06904526214855,79.62957992371398,83.09056904932675,83.70104346526021,83.75981379234322,79.76009843903446,86.00666672790683,89.98889012543458,82.08882635707008,90.75751226491084,90.8817107543542,90.27217165656099,91.33399259867468,85.13582042281139,84.73553484904738,89.91966731446932,86.10031421466462,84.23801540247851,85.78529493035003,90.86526905916973,91.27235266321257,86.04017178702367,90.55001327993695,91.26004058854494,86.04759620885136,85.22439581818136,82.9044878578428,91.34276011229515,88.91670137678697,86.1421268147158,81.11987091581679,91.43593714082871,90.86552368589773,75.76052842243143,84.69044113962177,78.59716887924023,85.34938570204756,82.14209467765562,89.42157482221563,90.44963682309836,91.22151608878485,88.26041773074522,83.18582189327738,78.33341227250716
Episode feedback,0.8,0.3116232461807382,0.1703406811920434,0.1358936482483107,0.06463878302418714,0.07948243977914521,0.056603773371306516,0.06976744168018749,0.049295774532169545,0.05813953454570038,0.025925925829903978,0.038922155572089355,0.03370786504229264,0.023121387216412177,0.015936254916588625,0.00543478257915879,0.02116402110803169,0.013333333244444445,0.013888888792438273,0.0,0.011320754674261304,0.008163265272802998,0.00879765393314471,0.006622516512433666,0.0,0.008230452641026944,0.010676156545636454,0.007434944210279018,0.0037313432696591668,0.003984063729147156,0.0036764705747188583,0.0,0.0,0.0,0.003891050568517313,0.0,0.00392156861207228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006578947325138505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005747126403752147,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,90.34638595581055,164.68099236488342,215.60967111587524,233.8043873310089,271.44896054267883,289.4879939556122,315.9743649959564,342.9307107925415,354.5083603858948,370.96023297309875,391.261234998703,407.39302825927734,427.7179229259491,442.34476590156555,453.22356152534485,474.7782793045044,484.0810809135437,493.04480385780334,501.90995621681213,517.2884519100189,531.8382551670074,551.1775619983673,560.4234449863434,569.5086789131165,583.3405654430389,599.5885834693909,615.1043879985809,630.3696637153625,644.8396005630493,660.2199623584747,679.785694360733,695.0370786190033,709.4664072990417,724.2869579792023,743.8061509132385,758.2580304145813,767.598489522934,783.4317455291748,793.0485956668854,802.4058840274811,811.9535093307495,820.6378390789032,835.635989189148,850.8454394340515,860.846141576767,875.1354775428772,890.3060116767883,904.9601953029633,913.9899635314941,923.1693222522736,937.0772309303284,946.2279107570648,955.4907298088074,969.7580609321594,985.0462779998779,1000.5339472293854,1009.3801460266113,1019.2636485099792,1034.4024050235748,1052.4144446849823,1061.9768233299255,1071.1317665576935,1093.3254544734955,1109.536712884903,1130.694883108139,1145.2480895519257,1161.7647912502289,1172.5040361881256,1181.914660692215,1191.3110721111298,1202.4175918102264,1217.723308801651,1238.585957288742
total minutes,0.0,1.5057730992635092,2.7446832060813904,3.593494518597921,3.8967397888501485,4.524149342377981,4.824799899260203,5.266239416599274,5.715511846542358,5.908472673098246,6.182670549551646,6.521020583311716,6.789883804321289,7.128632048765819,7.372412765026093,7.553726025422415,7.91297132174174,8.068018015225729,8.217413397630056,8.36516593694687,8.621474198500316,8.863970919450123,9.186292699972789,9.34039074977239,9.491811315218607,9.722342757383982,9.99314305782318,10.251739799976349,10.50616106192271,10.747326676050822,11.003666039307912,11.329761572678883,11.583951310316722,11.824440121650696,12.071449299653372,12.39676918188731,12.637633840243021,12.793308158715567,13.05719575881958,13.21747659444809,13.373431400458019,13.532558488845826,13.67729731798172,13.927266486485799,14.180757323900858,14.347435692946116,14.585591292381286,14.838433527946473,15.082669921716054,15.233166058858236,15.386155370871226,15.617953848838805,15.770465179284413,15.924845496813456,16.162634348869325,16.417437966664632,16.675565787156422,16.823002433776857,16.98772747516632,17.240040083726246,17.540240744749706,17.699613722165427,17.85219610929489,18.22209090789159,18.492278548081718,18.844914718468985,19.08746815919876,19.36274652083715,19.54173393646876,19.698577678203584,19.855184535185497,20.04029319683711,20.295388480027515,20.643099288145702
cummulative feedback,0.0,311.0,481.0,573.0,590.0,633.0,648.0,675.0,696.0,706.0,713.0,726.0,735.0,743.0,747.0,748.0,756.0,758.0,760.0,760.0,763.0,765.0,768.0,769.0,769.0,771.0,774.0,776.0,777.0,778.0,779.0,779.0,779.0,779.0,780.0,780.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,782.0,782.0,782.0,782.0,782.0,782.0,782.0,782.0,782.0,782.0,782.0,782.0,782.0,782.0,782.0,782.0,782.0,782.0,782.0,783.0,783.0,783.0,783.0,783.0,783.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,677.0,263.0,541.0,265.0,387.0,426.0,172.0,270.0,334.0,267.0,346.0,251.0,184.0,378.0,150.0,144.0,149.0,265.0,245.0,341.0,151.0,149.0,243.0,281.0,269.0,268.0,251.0,272.0,354.0,272.0,253.0,257.0,348.0,255.0,155.0,282.0,164.0,155.0,162.0,148.0,267.0,268.0,168.0,254.0,275.0,253.0,152.0,155.0,246.0,156.0,157.0,251.0,265.0,275.0,150.0,164.0,258.0,312.0,161.0,153.0,375.0,271.0,371.0,250.0,284.0,174.0,156.0,157.0,184.0,269.0,375.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
