,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Accumulated time steps,0.0,674.0,1347.0,1696.0,2695.0,3218.0,3460.0,3702.0,4701.0,5700.0,6699.0,7698.0,8697.0,9696.0,10189.0,10427.0,11040.0,11558.0,11818.0,12577.0,13105.0,13456.0,13733.0,14056.0,14321.0,14483.0,14725.0,14996.0,15228.0,15384.0,15533.0,15683.0,16092.0,16254.0,16405.0,16697.0,16850.0,16996.0,17145.0,17289.0,17450.0,17697.0,17908.0,18158.0,18416.0,18569.0,18820.0,19058.0,19321.0,19568.0,19732.0,19895.0,20178.0
Episode reward,0.0,65.07100531557779,61.47115290148,81.82993465918624,-73.55612982719589,67.0019297797761,90.16365499844315,93.33569631435348,-81.12332571288023,-52.649691216288005,-18.249354980263593,-56.657215013083494,-99.71554345997355,-87.14929922815665,74.24285962423886,82.05302557409922,65.39948037420174,68.39734627670745,85.83623788533274,61.32271145058915,73.3909028843699,85.84127915143065,84.90521556810188,86.79162390735463,86.75973789765477,91.43395978094163,88.65346380595899,89.36977277687235,89.57850237056819,91.44719278156829,93.11155154882229,92.82194264148136,81.21947346535777,91.62657728291956,92.65891259343186,86.76269210733876,92.2113248485491,93.77928457138171,93.56997937062782,92.57080046035233,91.52536860100608,86.52936819822136,86.77456248397144,87.73065131646024,86.00610357595806,91.6700178594158,87.71491806586236,87.71485337756862,85.11756003331959,86.07006437533155,91.35442169140245,91.75599975943868,85.05439762018712
Episode feedback,0.8,0.3630952375549178,0.17410714259805485,0.17528735581813978,0.07314629251187746,0.13026819898416053,0.16597510304574647,0.12033194970816619,0.07114228449785343,0.0551102203856611,0.050100200350601004,0.0200400801402404,0.012024048084144241,0.0100200400701202,0.0020325203210721132,0.0042194092648970075,0.00816993462717331,0.0,0.00386100384609651,0.006596306059899333,0.0,0.002857142848979592,0.0,0.0031055900524671115,0.0,0.0,0.0041493775761436615,0.0,0.004329004310264051,0.0,0.0,0.0,0.0,0.0,0.0,0.0034364261050294637,0.0,0.0,0.006756756711102995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,58.80469512939453,107.40938973426819,132.95301842689514,194.74207019805908,230.4377999305725,248.79803657531738,265.7741231918335,329.6862380504608,390.39554166793823,449.87512707710266,506.2229714393616,561.3570871353149,616.2707767486572,643.0390110015869,656.626966714859,689.9938962459564,717.9556972980499,732.8996253013611,775.0067827701569,804.0790197849274,823.4981849193573,839.0537722110748,857.534585237503,873.4861788749695,883.9536023139954,899.1816596984863,915.1766922473907,929.3197531700134,939.0819709300995,948.460667848587,957.5498549938202,980.5920920372009,990.2924318313599,999.4623012542725,1016.4230725765228,1025.502888917923,1034.2735946178436,1043.268476486206,1051.9700286388397,1061.7731866836548,1076.182157278061,1088.1300864219666,1102.2657885551453,1116.8417565822601,1125.8516421318054,1140.0975260734558,1154.0446689128876,1169.0463671684265,1182.9923424720764,1192.6302547454834,1202.0384776592255,1217.8935964107513
total minutes,0.0,0.9800782521565755,1.7901564955711364,2.2158836404482525,3.2457011699676515,3.8406299988428754,4.146633942921956,4.429568719863892,5.494770634174347,6.506592361132304,7.497918784618378,8.43704952398936,9.35595145225525,10.27117961247762,10.717316850026448,10.943782778580983,11.499898270765941,11.965928288300832,12.214993755022684,12.916779712835949,13.401316996415456,13.724969748655955,13.984229536851247,14.292243087291718,14.558102981249492,14.73256003856659,14.986360994974772,15.252944870789845,15.488662552833556,15.651366182168324,15.807677797476451,15.959164249897004,16.343201533953348,16.504873863855998,16.65770502090454,16.94038454294205,17.091714815298715,17.237893243630726,17.38780794143677,17.53283381064733,17.696219778060915,17.936369287967683,18.13550144036611,18.37109647591909,18.614029276371003,18.76419403553009,19.001625434557596,19.234077815214793,19.484106119473775,19.716539041201273,19.877170912424724,20.03397462765376,20.298226606845855
cummulative feedback,0.0,244.0,361.0,422.0,495.0,563.0,603.0,632.0,703.0,758.0,808.0,828.0,840.0,850.0,851.0,852.0,857.0,857.0,858.0,863.0,863.0,864.0,864.0,865.0,865.0,865.0,866.0,866.0,867.0,867.0,867.0,867.0,867.0,867.0,867.0,868.0,868.0,868.0,869.0,869.0,869.0,869.0,869.0,869.0,869.0,869.0,869.0,869.0,869.0,869.0,869.0,869.0,869.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,672.0,672.0,348.0,998.0,522.0,241.0,241.0,998.0,998.0,998.0,998.0,998.0,998.0,492.0,237.0,612.0,517.0,259.0,758.0,527.0,350.0,276.0,322.0,264.0,161.0,241.0,270.0,231.0,155.0,148.0,149.0,408.0,161.0,150.0,291.0,152.0,145.0,148.0,143.0,160.0,246.0,210.0,249.0,257.0,152.0,250.0,237.0,262.0,246.0,163.0,162.0,282.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
