,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
Accumulated time steps,0.0,1000.0,1726.0,2245.0,2504.0,2877.0,3130.0,3416.0,3571.0,3809.0,3990.0,4138.0,4290.0,4721.0,4976.0,5243.0,5507.0,5749.0,5908.0,6066.0,6325.0,6661.0,6812.0,6968.0,7143.0,7285.0,7618.0,7931.0,8176.0,8487.0,8637.0,8781.0,9304.0,9455.0,9696.0,9955.0,10201.0,10453.0,10702.0,11062.0,11331.0,11513.0,11771.0,11933.0,12281.0,12451.0,12612.0,12758.0,12905.0,13376.0,13628.0,13779.0,14026.0,14181.0,14440.0,14799.0,15054.0,15300.0,15448.0,15600.0,15874.0,16045.0,16190.0,16607.0,16872.0,17053.0,17293.0,17636.0,17885.0,18120.0,18387.0,18569.0,18918.0,19182.0,19361.0,19529.0,19777.0,19923.0,20074.0
Episode reward,0.0,-58.04220532394842,60.05330569808443,71.31335815034964,86.0057879656839,78.13137890011305,85.43715317271845,82.12681243120602,91.37141787430699,86.25613446196436,89.43423127164283,91.9372594652045,91.36258450193215,75.1863039440675,86.10139801444154,86.26296073809257,83.7978874772734,88.05553320523586,91.3298780232697,90.02121724545701,83.85500416847299,80.08389640214277,90.9504669371574,91.1358872764598,89.87764024665685,91.80624466364873,80.34532676731446,84.25524454605798,86.13268640046381,83.05134703823923,93.44725404896596,92.30816986425513,76.31818303473607,91.45994413132968,85.89758815611432,85.85387457473492,87.89824739630701,86.24824187611833,86.12855071098362,79.6213101760472,86.0552302502369,91.56350864362034,88.39429338351641,90.78305562729034,81.03042978874319,91.12637011909311,90.03335294133421,91.35760351226672,92.70954155698696,75.02378655025538,86.09599239451752,91.74510936360767,88.02413728000725,91.8177461680941,86.18618327415646,83.46853428122154,89.0632402399286,88.81546798042166,92.48173850472605,92.58543106821513,85.83393456315537,91.4897621847768,92.66438454489364,78.50835212489653,83.79966810545513,87.69511675053259,91.24436924300777,84.16948090874511,89.5548354931096,88.97563374873629,86.61069858495839,88.57709048452955,79.84413004063653,87.76159411473705,90.42448051946556,90.16746412434925,85.58941827340547,92.31929391753756,91.99644842911613
Episode feedback,0.8,0.3296593183069546,0.12413793086325803,0.12355212331360595,0.0581395346583739,0.09408602125245694,0.10714285671768707,0.09122806985534011,0.07142857096474954,0.07594936676814613,0.044444444197530866,0.047619047295108526,0.03311258256216833,0.037209302239048135,0.04330708644367289,0.04887218026739782,0.022813688126183694,0.037344398185292955,0.0379746833039577,0.01273885342204552,0.007751937954449853,0.011940298471820005,0.013333333244444445,0.0064516128616024975,0.04022988482626503,0.014184397062522006,0.00903614455109595,0.006410256389710716,0.01639344255576458,0.025806451529656608,0.0,0.006993006944104847,0.0057471264257717885,0.0,0.008333333298611112,0.0038759689772249264,0.008163265272802998,0.0,0.016129032193028095,0.0,0.014925373078636667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068493150215800346,0.0,0.0,0.0,0.0,0.006493506451340867,0.0,0.0,0.0,0.0,0.0,0.0,0.0036630036495860674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,82.61439251899719,130.60296320915222,165.50729322433472,181.59357357025146,206.54992818832397,225.30161046981812,245.05196142196655,255.50023317337036,271.3265233039856,283.0213656425476,292.71612191200256,302.29243683815,327.93988132476807,344.124121427536,360.8949565887451,376.7301607131958,391.6576428413391,401.9400985240936,412.0007209777832,427.5909447669983,447.306111574173,456.6590633392334,466.29911828041077,477.929811000824,487.2070894241333,507.5304775238037,527.3600635528564,542.5845537185669,562.1107404232025,571.6527915000916,580.7296605110168,610.5923376083374,619.7476887702942,633.874329328537,648.8504729270935,663.687554359436,678.5555214881897,693.7535495758057,714.2533769607544,729.8576679229736,740.635178565979,755.2649822235107,764.7125375270844,783.8869035243988,793.7890648841858,803.1589593887329,811.7599589824677,820.5215833187103,846.1029200553894,860.2961621284485,869.3641655445099,883.2273519039154,892.6481113433838,906.9820177555084,926.8776788711548,941.2491748332977,955.0570778846741,963.8152592182159,972.6109807491302,987.9515092372894,997.9533970355988,1006.5728857517242,1029.1722865104675,1044.128249168396,1054.8164839744568,1068.3016188144684,1087.3608758449554,1101.3852491378784,1114.7975475788116,1129.9156272411346,1140.5564200878143,1159.7382140159607,1174.5739505290985,1184.9307169914246,1194.7464096546173,1208.7378206253052,1217.448813199997,1226.2980325222015
total minutes,0.0,1.3769065419832864,2.1767160534858703,2.7584548870722454,3.026559559504191,3.442498803138733,3.755026841163635,4.084199357032776,4.258337219556172,4.522108721733093,4.717022760709127,4.878602031866709,5.038207280635834,5.465664688746134,5.7354020237922665,6.014915943145752,6.278836011886597,6.527627380688985,6.699001642068227,6.8666786829630535,7.126515746116638,7.45510185956955,7.610984388987223,7.771651971340179,7.965496850013733,8.12011815706889,8.458841292063395,8.789334392547607,9.043075895309448,9.368512340386708,9.527546525001526,9.678827675183614,10.176538960138958,10.32912814617157,10.564572155475616,10.814174548784893,11.061459239323934,11.309258691469829,11.562559159596761,11.904222949345906,12.164294465382893,12.343919642766316,12.587749703725178,12.745208958784739,13.064781725406647,13.229817748069763,13.385982656478882,13.529332649707793,13.675359721978506,14.10171533425649,14.338269368807476,14.489402759075166,14.720455865065256,14.87746852238973,15.116366962591806,15.447961314519246,15.68748624722163,15.917617964744569,16.063587653636933,16.210183012485505,16.465858487288155,16.63255661725998,16.77621476252874,17.152871441841125,17.40213748613993,17.580274732907615,17.80502698024114,18.12268126408259,18.35642081896464,18.57995912631353,18.831927120685577,19.009273668130238,19.328970233599346,19.576232508818308,19.74884528319041,19.91244016091029,20.145630343755087,20.290813553333283,20.438300542036693
cummulative feedback,0.0,329.0,419.0,483.0,498.0,533.0,560.0,586.0,597.0,615.0,623.0,630.0,635.0,651.0,662.0,675.0,681.0,690.0,696.0,698.0,700.0,704.0,706.0,707.0,714.0,716.0,719.0,721.0,725.0,733.0,733.0,734.0,737.0,737.0,739.0,740.0,742.0,742.0,746.0,746.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,751.0,751.0,751.0,751.0,751.0,752.0,752.0,752.0,752.0,752.0,752.0,752.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,725.0,518.0,258.0,372.0,252.0,285.0,154.0,237.0,180.0,147.0,151.0,430.0,254.0,266.0,263.0,241.0,158.0,157.0,258.0,335.0,150.0,155.0,174.0,141.0,332.0,312.0,244.0,310.0,149.0,143.0,522.0,150.0,240.0,258.0,245.0,251.0,248.0,359.0,268.0,181.0,257.0,161.0,347.0,169.0,160.0,145.0,146.0,470.0,251.0,150.0,246.0,154.0,258.0,358.0,254.0,245.0,147.0,151.0,273.0,170.0,144.0,416.0,264.0,180.0,239.0,342.0,248.0,234.0,266.0,181.0,348.0,263.0,178.0,167.0,247.0,145.0,150.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
