,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7993.0,8992.0,9737.0,10736.0,11374.0,12373.0,13334.0,14129.0,14480.0,15096.0,15711.0,16332.0,16866.0,17218.0,18098.0,18465.0,18835.0,19296.0
Episode reward,0.0,-67.49672697527807,-63.39479946548301,-66.6309670415956,-67.55785367063679,-67.0813522180602,-64.37316169147914,-56.07842045612379,-55.34748418459678,-59.74167499359895,63.91315138548392,-53.308733182314995,62.54311841983664,-60.981067845548,43.13637483158261,52.51532677419537,79.17046395692876,63.7464155593645,63.637134165249,62.85074956842343,68.58016996779426,78.8773466590422,50.929431845939966,85.21370053440992,85.35064134332642,82.5158496116795
Episode feedback,0.8,0.09218436864510585,0.22745490959172854,0.0050100200350601,0.00200400801402404,0.007014028049084141,0.01102204407713222,0.026052104182312522,0.0150300601051803,0.00400801602804808,0.013440860196988091,0.00200400801402404,0.006279434841005597,0.0030060120210360602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011376564264645548,0.0,0.0,0.0
total seconds,0.0,57.994229793548584,127.68116736412048,177.8961741924286,226.69225215911865,274.9626410007477,321.7654068470001,372.54303216934204,419.05515336990356,465.7476303577423,501.6871392726898,549.7842729091644,580.6043212413788,629.4554407596588,677.3034434318542,717.1210939884186,735.2358758449554,766.5452027320862,797.6663706302643,828.9649577140808,855.9468669891357,874.3635194301605,918.7564136981964,937.6672215461731,956.8974766731262,980.6180505752563
total minutes,0.0,0.9665704965591431,2.128019456068675,2.9649362365404763,3.7782042026519775,4.582710683345795,5.362756780783335,6.209050536155701,6.9842525561650595,7.7624605059623715,8.361452321211496,9.16307121515274,9.676738687356313,10.49092401266098,11.288390723864238,11.95201823314031,12.25393126408259,12.775753378868103,13.294439510504406,13.816082628568013,14.265781116485595,14.572725323836009,15.31260689496994,15.627787025769551,15.948291277885437,16.343634176254273
cummulative feedback,0.0,92.0,319.0,324.0,326.0,333.0,344.0,370.0,385.0,389.0,399.0,401.0,405.0,408.0,408.0,408.0,408.0,408.0,408.0,408.0,408.0,408.0,409.0,409.0,409.0,409.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,744.0,998.0,637.0,998.0,960.0,794.0,350.0,615.0,614.0,620.0,533.0,351.0,879.0,366.0,369.0,460.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
