,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Accumulated time steps,0.0,654.0,927.0,1926.0,2193.0,2936.0,3219.0,3579.0,3761.0,4576.0,5022.0,5475.0,5737.0,5901.0,6625.0,6996.0,7388.0,7945.0,8205.0,8726.0,9002.0,9305.0,9993.0,10244.0,10600.0,10951.0,11409.0,11772.0,12231.0,13078.0,13261.0,13780.0,14214.0,14499.0,14860.0,15031.0,15387.0,15854.0,16034.0,16298.0,16751.0,17013.0,17365.0,17618.0,17868.0,18212.0,18464.0,18807.0,18972.0,19496.0,19748.0
Episode reward,0.0,66.35976747722168,85.97941396468894,-61.855997148093195,86.42854504977215,59.57976798409964,85.44407897994401,80.02029094002202,88.99395725361515,55.18396545606012,74.61293520695504,75.25330090701188,84.75360093464359,91.31505796929318,58.55805120508265,78.34904611283022,80.05442102029933,65.18707256577024,88.15297874337614,70.68998465231412,83.78694100511065,81.57134672224228,59.60606289065335,85.55209346109275,81.91063180050222,79.7616653192346,71.88963000774956,78.81577864069305,75.43607256147655,51.37585992316858,87.98320035834068,69.84474578448693,75.26196193816747,82.93585471338966,83.8030230609747,91.08028835571906,84.05615185874461,78.05250953748549,90.25693163930394,87.71825063210562,80.18482960966226,87.44562355941319,81.87694190688495,85.6812277858243,85.79974011746731,80.48157727121306,85.44098456772659,80.53306380789078,89.87749371667857,69.81702874780228,85.47806967563685
Episode feedback,0.8,0.2852760731820919,0.16544117586234863,0.0100200400701202,0.09774436053479564,0.05390835572249548,0.05319148917307982,0.05292479093892816,0.044198894783431524,0.030712530674800332,0.0179775280494887,0.015486725629454147,0.011494252829523936,0.018404907862546577,0.012448132762865653,0.008108108086194303,0.010230179001968851,0.008992805739221572,0.011583011538289532,0.007692307677514793,0.010909090869421488,0.009933774801543793,0.007278020367863143,0.0,0.002816901400515771,0.002857142848979592,0.0,0.0,0.0021834061087698557,0.0011820330955295117,0.0,0.0,0.0,0.0035211267481650467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028490028408860316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,46.78973388671875,63.59835171699524,113.74216914176941,128.55105686187744,168.88722205162048,183.831609249115,201.96849942207336,211.47675347328186,252.10452103614807,274.4178292751312,297.35893654823303,310.9821264743805,319.80194759368896,355.3809406757355,373.11800956726074,392.218239068985,419.9692475795746,433.28868675231934,457.98951601982117,471.42650604248047,485.95646023750305,518.7834255695343,531.2220780849457,548.4632706642151,565.1435062885284,587.1823163032532,605.2086682319641,627.7228519916534,668.9740052223206,678.8747401237488,704.6311841011047,726.821028470993,741.8789007663727,760.4407608509064,769.8589067459106,788.3367161750793,812.0507452487946,821.7484755516052,835.6835713386536,858.765068769455,872.6601629257202,890.646693944931,903.8733870983124,917.139068365097,935.1316690444946,948.5556237697601,966.4099707603455,975.3366830348969,1001.903480052948,1015.3411290645599
total minutes,0.0,0.7798288981119792,1.0599725286165873,1.8957028190294902,2.142517614364624,2.814787034193675,3.0638601541519166,3.366141657034556,3.524612557888031,4.201742017269135,4.573630487918853,4.955982275803884,5.183035441239675,5.330032459894816,5.923015677928925,6.218633492787679,6.536970651149749,6.999487459659576,7.221478112538656,7.633158600330352,7.857108434041341,8.099274337291718,8.646390426158906,8.85370130141576,9.141054511070251,9.419058438142141,9.786371938387553,10.086811137199401,10.462047533194225,11.149566753705342,11.31457900206248,11.743853068351745,12.113683807849885,12.364648346106211,12.67401268084844,12.830981779098511,13.138945269584656,13.53417908747991,13.695807925860088,13.928059522310893,14.312751146157582,14.544336048762004,14.84411156574885,15.06455645163854,15.285651139418285,15.585527817408243,15.809260396162669,16.10683284600576,16.255611383914946,16.6983913342158,16.922352151075998
cummulative feedback,0.0,186.0,231.0,241.0,267.0,307.0,322.0,341.0,349.0,374.0,382.0,389.0,392.0,395.0,404.0,407.0,411.0,416.0,419.0,423.0,426.0,429.0,434.0,434.0,435.0,436.0,436.0,436.0,437.0,438.0,438.0,438.0,438.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,652.0,272.0,998.0,266.0,742.0,282.0,359.0,181.0,814.0,445.0,452.0,261.0,163.0,723.0,370.0,391.0,556.0,259.0,520.0,275.0,302.0,687.0,250.0,355.0,350.0,457.0,362.0,458.0,846.0,182.0,518.0,433.0,284.0,360.0,170.0,355.0,466.0,179.0,263.0,452.0,261.0,351.0,252.0,249.0,343.0,251.0,342.0,164.0,523.0,251.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
