,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7993.0,8992.0,9991.0,10990.0,11989.0,12809.0,13808.0,14807.0,15806.0,16805.0,17705.0,18704.0,19703.0
Episode reward,0.0,-59.83175958350707,-68.70438844593058,-69.49921638363938,-66.54937857500416,-67.7562351374184,-68.40105280267983,-58.15112263575243,-65.22068952845513,-70.6643293291159,-76.25998389818876,-71.10169480970542,-62.13867595255335,43.41540601200452,-70.17636264980842,-63.28450481002608,-56.194965932354684,-57.257779095041876,46.56043723655981,-56.54475294463908,-56.12840655632974
Episode feedback,0.8,0.20941883746551218,0.007014028049084141,0.0060120240420721205,0.01603206411219232,0.06112224442773322,0.0060120240420721205,0.0200400801402404,0.0060120240420721205,0.012024048084144241,0.0050100200350601,0.0,0.00100200400701202,0.001221001219510377,0.0,0.00100200400701202,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,67.04470753669739,117.24503922462463,167.2277684211731,215.3434157371521,271.2765357494354,320.1594891548157,370.3705270290375,419.5050904750824,466.91933608055115,513.8353395462036,560.9989733695984,607.4306619167328,645.9877617359161,694.2159812450409,743.0283470153809,793.0558829307556,842.4882674217224,887.4484887123108,936.9705300331116,985.8075530529022
total minutes,0.0,1.1174117922782898,1.9540839870770772,2.7871294736862184,3.589056928952535,4.521275595823924,5.335991485913595,6.1728421171506245,6.99175150791804,7.781988934675852,8.56392232577006,9.349982889493306,10.12384436527888,10.766462695598602,11.570266354084016,12.38380578358968,13.217598048845927,14.041471123695374,14.79080814520518,15.61617550055186,16.430125884215038
cummulative feedback,0.0,209.0,216.0,222.0,238.0,299.0,305.0,325.0,331.0,343.0,348.0,348.0,349.0,350.0,350.0,351.0,351.0,351.0,351.0,351.0,351.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,819.0,998.0,998.0,998.0,998.0,899.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
