,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7993.0,8992.0,9991.0,10990.0,11989.0,12988.0,13987.0,14953.0,15952.0,16951.0,17950.0,18949.0,19948.0
Episode reward,0.0,-56.56287946413379,-64.1452701863803,-65.52544315084306,-59.84430942624315,-71.48851118331584,-63.13605112401039,-65.20405059734519,-65.83830571939806,-76.29720394072996,-67.92300042764857,-26.194126206370733,-21.731694159963762,-37.558135006371764,-51.209494207727495,38.49397284182434,-50.90085891820902,-50.84016711677423,-64.16928811000237,-63.87242789411409,-64.1647602103858
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,42.78912305831909,86.03786849975586,129.35709071159363,172.76249051094055,216.41198468208313,259.8704710006714,304.1855733394623,347.7774078845978,391.21772503852844,435.2207622528076,478.3252444267273,522.4488136768341,566.1622262001038,610.5548741817474,652.8152687549591,696.5594348907471,740.8939492702484,785.3891575336456,829.6693959236145,873.9247624874115
total minutes,0.0,0.7131520509719849,1.433964474995931,2.155951511859894,2.879374841849009,3.606866411368052,4.331174516677857,5.069759555657705,5.796290131409963,6.520295417308807,7.253679370880127,7.972087407112122,8.707480227947235,9.436037103335062,10.17591456969579,10.880254479249318,11.609323914845785,12.348232487837473,13.089819292227427,13.827823265393574,14.565412708123525
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,965.0,998.0,998.0,998.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
