,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Accumulated time steps,0.0,812.0,1332.0,2126.0,2554.0,2929.0,3358.0,3693.0,4027.0,4625.0,5216.0,5649.0,6129.0,6563.0,6822.0,7104.0,7353.0,7613.0,7952.0,8215.0,8473.0,8723.0,9080.0,9505.0,9765.0,10105.0,10354.0,10612.0,11058.0,11403.0,11655.0,11906.0,12164.0,12637.0,12899.0,13465.0,13728.0,14091.0,14353.0,14641.0,14908.0,15170.0,15532.0,15886.0,16072.0,16415.0,16775.0,17026.0,17476.0,17909.0,18430.0
Episode reward,0.0,41.809480081909534,76.09960043543464,43.115237547314685,89.21181849824306,82.37705386128756,76.39480743517026,77.98144229393819,78.67898089434252,61.933526961766475,62.27392222785936,78.60820861993047,84.11625187969443,79.48836419245154,85.06181013472643,84.79560309671933,84.55714670564844,87.27247821126802,80.11517507353618,85.52380755438779,89.15374454582728,87.54808038244252,79.07999417032217,75.0200618179056,87.1860591771065,80.7252405921792,85.67405858898418,85.21725368134209,80.37968014950872,80.46344347584392,85.7685250679389,85.80009127180924,84.63885066595216,77.07056070500795,87.86247811732406,74.65721787913691,87.26021324117973,83.63309710517564,87.45947879877498,83.760405781705,86.64583109764283,87.39664615148247,77.99760638415275,78.84063916498216,87.7314729516613,80.5443552232538,79.09701428192935,85.63342556109444,72.82895224316343,74.77999967862442,69.99477665094724
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,33.65660309791565,56.1239538192749,90.07368016242981,108.5578384399414,124.90780854225159,143.36913132667542,157.98572707176208,172.50548386573792,197.453754901886,222.72953033447266,241.87913823127747,262.5246834754944,281.2208364009857,293.43938302993774,306.2194652557373,317.53240418434143,329.3374273777008,345.3894467353821,357.3215799331665,368.7642924785614,380.09201169013977,395.66203594207764,413.9977614879608,425.57610154151917,440.703786611557,451.86360478401184,463.50642681121826,482.76464772224426,498.0002591609955,509.4216048717499,520.863178730011,532.3857336044312,552.9063103199005,564.6865866184235,588.980774641037,601.0511825084686,616.9641270637512,628.8287811279297,641.5386145114899,653.6173846721649,665.3204362392426,680.9698915481567,696.5300831794739,705.2755179405212,720.4233794212341,736.2992811203003,747.6262817382812,767.2007081508636,786.0852544307709,808.8553376197815
total minutes,0.0,0.5609433849652609,0.9353992303212484,1.5012280027071634,1.8092973073323568,2.0817968090375265,2.389485522111257,2.6330954511960347,2.8750913977622985,3.290895915031433,3.7121588389078775,4.0313189705212915,4.37541139125824,4.687013940016429,4.890656383832296,5.103657754262288,5.29220673640569,5.48895712296168,5.756490778923035,5.955359665552775,6.1460715413093565,6.33486686150233,6.594367265701294,6.899962691466014,7.092935025691986,7.3450631101926165,7.531060079733531,7.725107113520305,8.046077462037404,8.300004319349926,8.490360081195831,8.681052978833517,8.873095560073853,9.215105171998342,9.411443110307058,9.816346244017284,10.017519708474477,10.28273545106252,10.480479685465495,10.692310241858165,10.893623077869416,11.08867393732071,11.349498192469278,11.608834719657898,11.754591965675354,12.007056323687236,12.271654685338339,12.460438028971355,12.78667846918106,13.101420907179515,13.480922293663024
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,810.0,519.0,793.0,427.0,374.0,428.0,334.0,333.0,597.0,590.0,432.0,479.0,433.0,258.0,281.0,248.0,259.0,338.0,262.0,257.0,249.0,356.0,424.0,259.0,339.0,248.0,257.0,445.0,344.0,251.0,250.0,257.0,472.0,261.0,565.0,262.0,362.0,261.0,287.0,266.0,261.0,361.0,353.0,185.0,342.0,359.0,250.0,449.0,432.0,520.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
