,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3823.0,4539.0,4992.0,5349.0,6053.0,6304.0,6914.0,7251.0,7863.0,8289.0,8810.0,9165.0,9428.0,9699.0,10042.0,10552.0,10975.0,11225.0,11469.0,11802.0,12483.0,12916.0,13687.0,14037.0,14475.0,14813.0,15412.0,15838.0,16435.0,17116.0,17365.0,17703.0,17957.0
Episode reward,0.0,-73.26842455858976,-60.51607225292619,-67.21279453443132,66.30714047344387,65.54925102959987,71.44666047210558,79.83343469610301,65.27200810181279,87.85808356097114,63.0675166283724,79.95481349483944,75.44121389494667,74.3063022329478,78.5815167745368,85.67626766995672,84.04160915162446,83.64263162770408,80.57143274373153,64.49179266021241,77.15067303086255,86.49535896018354,86.8608073616616,82.1603517147814,53.09957071283334,70.53157029328767,46.859131540759016,76.17742918254977,70.14074249632017,76.91980998884577,58.95304921945028,70.95785878674903,58.99737673810851,53.09650673139241,82.9570785417059,76.96015824954512,82.12507347969944
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,43.20446038246155,88.52893257141113,133.493586063385,171.00111770629883,203.93349742889404,224.08974075317383,240.71681952476501,271.8886845111847,283.80581426620483,310.8033375740051,326.20864510536194,353.2333743572235,372.05811381340027,395.1383578777313,411.24724674224854,423.6221480369568,435.9739263057709,452.05687379837036,475.97441029548645,496.0310683250427,508.115051984787,519.7505171298981,535.0686566829681,563.8223090171814,584.2487881183624,619.2874367237091,635.4331829547882,655.7403824329376,671.832044839859,698.7110664844513,717.7311792373657,743.9208979606628,773.5445847511292,785.1061563491821,800.2039749622345,812.1721501350403
total minutes,0.0,0.7200743397076924,1.475482209523519,2.224893101056417,2.8500186284383138,3.3988916238149005,3.7348290125528973,4.011946992079417,4.531478075186412,4.730096904436747,5.180055626233419,5.436810751756032,5.887222905953725,6.200968563556671,6.585639297962189,6.854120779037475,7.06036913394928,7.266232105096181,7.534281229972839,7.932906838258107,8.267184472084045,8.46858419974645,8.662508618831634,8.917810944716136,9.39703848361969,9.737479801972707,10.321457278728484,10.59055304924647,10.929006373882293,11.197200747330983,11.64518444140752,11.962186320622761,12.398681632677715,12.892409745852152,13.085102605819703,13.336732916037242,13.53620250225067
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,824.0,715.0,452.0,356.0,703.0,250.0,609.0,336.0,611.0,425.0,520.0,354.0,262.0,270.0,342.0,509.0,422.0,249.0,243.0,332.0,680.0,432.0,770.0,349.0,437.0,337.0,598.0,425.0,596.0,680.0,248.0,337.0,253.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
