,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
Accumulated time steps,0.0,458.0,981.0,1319.0,1683.0,2014.0,2354.0,2706.0,3127.0,3480.0,3724.0,3976.0,4346.0,4618.0,4900.0,5155.0,5412.0,5854.0,6310.0,6687.0,6849.0,7103.0,7444.0,7827.0,8290.0,8790.0,9170.0,9430.0,9963.0,10495.0,10971.0,11138.0,11299.0,11586.0,11842.0,12097.0,12446.0,12609.0,12984.0,13261.0,13793.0,14178.0,14823.0,15217.0,15389.0,15673.0,16026.0,16282.0,16684.0,16969.0,17256.0,17536.0,17791.0,17953.0,18304.0,18475.0,18918.0,19080.0
Episode reward,0.0,78.94962394925828,63.21041318930519,79.69915021759616,88.76032449358885,78.74345836268193,81.15242572310535,81.4005473482895,80.32308322715862,79.91408962194568,87.16343752888599,87.21289985039388,81.32545421809625,87.16021748394328,82.64153336975619,85.47010443174774,85.38054864956167,74.8348869401182,81.85761460857736,78.156613731099,90.7787709379708,86.30446444520814,81.94861380342302,81.83740059548359,74.82104230536154,71.19232928417858,78.3341121868492,86.1624567385701,72.41199184527663,72.52012200310352,73.25957213184564,90.54068608912193,91.12591959346423,85.75599753694449,86.53457500885611,86.5985352610162,81.78656868176265,90.91626907384173,78.87470152490275,88.56617359676969,81.23436940513537,82.96998300744039,75.14334867945384,81.44168138436889,91.4122711894328,85.06776556487952,81.34274713563511,86.45767238703134,75.83984389716952,83.0660468818775,82.59265124657932,83.5903527115963,86.58612839798,90.99958240420759,81.52000393728015,90.13904554526485,76.75448565635539,91.0057075647566
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,20.890516757965088,45.76632261276245,62.00731372833252,79.59125113487244,95.68236374855042,112.28156113624573,129.1324553489685,149.2117850780487,166.3733115196228,178.49392127990723,191.10238027572632,209.1048023700714,222.44137287139893,236.28318405151367,248.94207739830017,261.71708130836487,282.8934152126312,304.8303961753845,322.9203267097473,331.17427349090576,343.7292206287384,360.08162450790405,378.49935126304626,400.73500537872314,424.45558404922485,442.9160351753235,455.6322591304779,480.8730182647705,506.00699949264526,528.5514671802521,537.075261592865,545.2700669765472,559.1757156848907,571.7992799282074,584.2299203872681,601.2191030979156,609.5624821186066,627.567551612854,640.9557790756226,665.6701366901398,684.0935640335083,714.2103929519653,733.1113181114197,741.8451452255249,755.8581318855286,773.0140299797058,785.6429531574249,804.9757776260376,819.0118505954742,833.0993163585663,846.8464362621307,859.4426064491272,867.7986538410187,884.5723609924316,893.1043305397034,912.4873235225677,920.3301033973694
total minutes,0.0,0.3481752792994181,0.7627720435460409,1.033455228805542,1.326520852247874,1.5947060624758402,1.871359352270762,2.152207589149475,2.486863084634145,2.7728885253270468,2.974898687998454,3.185039671262105,3.4850800395011903,3.7073562145233154,3.9380530675252277,4.149034623305003,4.361951355139414,4.714890253543854,5.080506602923076,5.382005445162455,5.51957122484843,5.728820343812306,6.001360408465067,6.308322521050771,6.678916756312052,7.074259734153747,7.381933919588724,7.593870985507965,8.014550304412841,8.433449991544087,8.809191119670867,8.951254359881084,9.08783444960912,9.319595261414845,9.529987998803456,9.7371653397878,10.020318384965261,10.159374701976777,10.459459193547566,10.682596317927043,11.094502278168996,11.401559400558472,11.903506549199422,12.218521968523662,12.364085753758749,12.597635531425476,12.88356716632843,13.094049219290415,13.41626296043396,13.65019750992457,13.884988605976105,14.114107271035513,14.324043440818787,14.463310897350311,14.742872683207194,14.885072175661723,15.208122058709462,15.338835056622823
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,456.0,522.0,337.0,363.0,330.0,339.0,351.0,420.0,352.0,243.0,251.0,369.0,271.0,281.0,254.0,256.0,441.0,455.0,376.0,161.0,253.0,340.0,382.0,462.0,499.0,379.0,259.0,532.0,531.0,475.0,166.0,160.0,286.0,255.0,254.0,348.0,162.0,374.0,276.0,531.0,384.0,644.0,393.0,171.0,283.0,352.0,255.0,401.0,284.0,286.0,279.0,254.0,161.0,350.0,170.0,442.0,161.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
