,0,1,2,3,4,5
Accumulated time steps,0.0,51.0,101.0,151.0,201.0,251.0
Episode reward,0.0,-2.817546220806187,-3.7844447026427863,-4.400705479794145,-4.083429430742592,-3.703385427480857
Episode feedback,0.8,0.16326530279050402,0.3061224427321951,0.24489795418575605,0.3877550941274471,0.2653061170345691
total seconds,0.0,2.4261772632598877,6.269210338592529,10.452454566955566,15.108611583709717,19.41935682296753
total minutes,0.0,0.04043628772099813,0.10448683897654215,0.1742075761159261,0.2518101930618286,0.3236559470494588
cummulative feedback,0.0,8.0,23.0,35.0,54.0,67.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,49.0,49.0,49.0,49.0,49.0
e,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0
human model,1.0,1.0,1.0,1.0,1.0,1.0
