,0,1,2,3,4,5,6,7
Accumulated time steps,0.0,51.0,101.0,151.0,201.0,251.0,301.0,351.0
Episode reward,0.0,-2.70778011212856,-3.608061078064679,-3.7703261653142626,-4.323751122945566,-4.367688643991684,-3.8285353250217753,-3.8994789784022967
Episode feedback,0.8,0.18367346563931702,0.16326530279050402,0.3061224427321951,0.36734693127863405,0.24489795418575605,0.24489795418575605,0.32653060558100805
total seconds,0.0,2.368065595626831,5.592468023300171,9.96904993057251,14.576040029525757,17.76852583885193,20.982808589935303,24.44521141052246
total minutes,0.0,0.03946775992711385,0.09320780038833618,0.1661508321762085,0.24293400049209596,0.2961420973141988,0.3497134764989217,0.40742019017537434
cummulative feedback,0.0,9.0,17.0,32.0,50.0,62.0,74.0,90.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
