,0,1,2,3,4
Accumulated time steps,0.0,51.0,101.0,151.0,201.0
Episode reward,0.0,-2.792821728006548,-3.5506096887844447,-3.9879730947896403,-3.9844331967660658
Episode feedback,0.8,0.14285713994169102,0.22448979133694305,0.18367346563931702,0.36734693127863405
total seconds,0.0,2.326981544494629,5.598954439163208,9.571576356887817,14.144040584564209
total minutes,0.0,0.038783025741577146,0.0933159073193868,0.15952627261479696,0.2357340097427368
cummulative feedback,0.0,7.0,18.0,27.0,45.0
Ph,0.8,0.9,0.9,0.9,0.9
steps_that_episode,0.0,49.0,49.0,49.0,49.0
e,0.001,0.001,0.001,0.001,0.001
buffer size,1010.0,1010.0,1010.0,1010.0,1010.0
human model,1.0,1.0,1.0,1.0,1.0
