,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3887.0,4491.0,4910.0,5274.0,5533.0,5686.0,5967.0,6133.0,6432.0,6728.0,6904.0,7161.0,7509.0,7668.0,7828.0,8100.0,8610.0,8778.0,9133.0,9399.0,9569.0,9724.0,10071.0,10232.0,10493.0,10661.0,10923.0,11172.0,11311.0,11459.0,11615.0,11762.0,12103.0,12530.0,12687.0,13062.0,13214.0,13452.0,13696.0,13849.0,13993.0,14269.0,14536.0,14794.0,14940.0,15222.0,15462.0,15624.0,15880.0,16149.0,16407.0,16563.0,16861.0,17122.0,17399.0,17583.0,17743.0,17999.0,18170.0,18329.0,18525.0,18859.0,19025.0,19183.0,19346.0,19629.0,19986.0,20347.0
Episode reward,0.0,-72.43148300260015,-68.77441297498417,-67.52709323469995,42.43910434351934,62.7560587975512,74.96398936339384,78.16905210910764,84.15911616936526,91.46156395128963,81.3461645844403,89.95788668323604,78.92920158535387,81.89876058968429,89.81233394118838,85.89634235535347,79.98922883931117,90.13348320536879,89.4096255776012,82.89194136089114,69.68281457939804,89.12450565543902,76.83556153075483,82.45903796733913,87.34605624810253,90.74749208305145,79.94856744339882,90.82608984564246,83.23302511776403,90.20099298845403,84.00333530402042,85.75997605751934,91.04127584915908,90.22364421382588,88.85018262892764,90.52553003615242,78.73482313502168,71.81219597291347,91.18357893993004,79.61646139764058,90.48991889640646,85.31364409242518,85.36550170205768,90.23760955566881,91.17930784205676,84.5351587867072,84.15061906291933,84.95896984501701,91.81020229549758,82.22979546807993,86.11432413591169,91.07412380087352,85.79548363459361,82.6859867771107,85.06216264600769,90.46282357394834,83.18703971972401,83.98480873920488,82.8214282022295,87.49397558147896,90.63002020162396,83.50303333670075,88.50878924799076,90.60306550626942,88.83579730302473,80.06980244634629,89.95596333271901,90.14218619582076,91.49669065908813,83.2151372643966,79.14980081416209,76.8096566663146
Episode feedback,0.8,0.01102204407713222,0.11422845679937028,0.11222444878534625,0.08558558548920542,0.06965174117802364,0.038277511870149494,0.03581267207765104,0.015503875908899706,0.03947368395083103,0.035714285586734694,0.030303030119375577,0.02013422812035494,0.010169491490950876,0.01714285704489796,0.019531249923706057,0.02017291060468902,0.0126582277679859,0.006289308136545232,0.007380073773505263,0.003929273076759778,0.005988023916239378,0.00564971749816464,0.0,0.01183431945660166,0.012987012902681734,0.005780346804103044,0.006249999960937501,0.0,0.0,0.0038314176098413117,0.004032258048257024,0.0,0.0,0.0064516128616024975,0.0,0.002941176461937716,0.0,0.0,0.0,0.0,0.0,0.004115226320513472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,45.12329339981079,110.70256996154785,175.0809624195099,229.36284518241882,265.4050211906433,289.03595900535583,310.08360528945923,324.741486787796,334.0721688270569,350.4106628894806,360.29148030281067,377.06994009017944,393.2312219142914,403.41658186912537,418.01884388923645,437.20445799827576,446.5739440917969,455.75045800209045,470.72922706604004,498.32522654533386,507.8973882198334,527.2088963985443,541.9843900203705,551.9735631942749,561.1296482086182,579.8702895641327,589.157957315445,603.4509625434875,612.9219086170197,627.2532539367676,641.0562767982483,649.3695142269135,657.9642786979675,666.8599960803986,675.3065938949585,693.7587218284607,716.5034482479095,725.6936228275299,745.48135638237,754.2492454051971,767.4003126621246,780.9190015792847,789.6056566238403,797.9904012680054,813.4470257759094,828.1886339187622,842.7072012424469,851.2762277126312,866.6673405170441,880.1773908138275,889.6439483165741,903.9565150737762,918.80109167099,933.4172780513763,942.266331911087,958.6589541435242,972.9363760948181,987.9559445381165,998.3046350479126,1007.6026742458344,1021.7675666809082,1031.6233942508698,1040.5592710971832,1051.5700261592865,1069.6104488372803,1079.4146399497986,1088.5565462112427,1097.8780691623688,1113.663434267044,1133.0422704219818,1152.823725938797
total minutes,0.0,0.7520548899968466,1.8450428326924642,2.9180160403251647,3.822714086373647,4.423417019844055,4.8172659834225975,5.168060088157654,5.412358113129934,5.567869480450948,5.8401777148246765,6.004858005046844,6.284499001502991,6.5538536985715234,6.723609697818756,6.966980731487274,7.28674096663793,7.442899068196614,7.595840966701507,7.845487117767334,8.30542044242223,8.464956470330556,8.786814939975738,9.033073167006174,9.199559386571249,9.35216080347697,9.664504826068878,9.819299288590749,10.057516042391459,10.215365143616994,10.454220898946126,10.684271279970805,10.822825237115223,10.966071311632792,11.114333268006643,11.255109898249309,11.562645363807679,11.94172413746516,12.094893713792166,12.4246892730395,12.570820756753285,12.79000521103541,13.015316692988078,13.160094277064006,13.299840021133424,13.557450429598491,13.803143898646036,14.045120020707449,14.187937128543854,14.444455675284068,14.669623180230458,14.827399138609568,15.065941917896271,15.313351527849834,15.556954634189605,15.704438865184784,15.977649235725403,16.21560626824697,16.46593240896861,16.638410584131876,16.793377904097238,17.0294594446818,17.193723237514497,17.342654518286388,17.526167102654775,17.82684081395467,17.990243999163308,18.142609103520712,18.29796781937281,18.561057237784066,18.884037840366364,19.213728765646618
cummulative feedback,0.0,11.0,125.0,237.0,313.0,355.0,371.0,384.0,388.0,394.0,404.0,409.0,415.0,418.0,421.0,426.0,433.0,435.0,436.0,438.0,440.0,441.0,443.0,443.0,445.0,447.0,449.0,450.0,450.0,450.0,451.0,452.0,452.0,452.0,453.0,453.0,454.0,454.0,454.0,454.0,454.0,454.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,888.0,603.0,418.0,363.0,258.0,152.0,280.0,165.0,298.0,295.0,175.0,256.0,347.0,158.0,159.0,271.0,509.0,167.0,354.0,265.0,169.0,154.0,346.0,160.0,260.0,167.0,261.0,248.0,138.0,147.0,155.0,146.0,340.0,426.0,156.0,374.0,151.0,237.0,243.0,152.0,143.0,275.0,266.0,257.0,145.0,281.0,239.0,161.0,255.0,268.0,257.0,155.0,297.0,260.0,276.0,183.0,159.0,255.0,170.0,158.0,195.0,333.0,165.0,157.0,162.0,282.0,356.0,360.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
