,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
Accumulated time steps,0.0,1000.0,1999.0,2232.0,3231.0,3942.0,4311.0,4670.0,5147.0,5399.0,5753.0,6129.0,6413.0,6803.0,6968.0,7344.0,7576.0,7844.0,8009.0,8159.0,8416.0,8570.0,8729.0,8984.0,9332.0,9487.0,9638.0,9792.0,9943.0,10105.0,10345.0,10488.0,10734.0,10886.0,11046.0,11207.0,11466.0,11704.0,11851.0,12130.0,12281.0,12734.0,12887.0,13067.0,13211.0,13481.0,13624.0,13864.0,14135.0,14385.0,14635.0,14792.0,15100.0,15358.0,15616.0,15970.0,16246.0,16498.0,16928.0,17503.0,17647.0,17863.0,18105.0,18464.0,18722.0,18875.0,19030.0,19172.0,19344.0,19498.0,19662.0,19913.0,20064.0
Episode reward,0.0,-58.490931090658165,-72.35559330693923,90.71190373951339,-65.96968590808171,66.73746583323151,83.16972201465128,81.67031792799223,75.84752333669495,88.34370415390484,84.230260528113,79.18684663933736,84.44984965060141,78.81802786891059,90.89536822693651,81.17800305392704,88.47158463921076,84.96748846543984,91.25266574197494,92.31468483583822,87.69112756324526,91.03366376279102,91.40073751098873,87.10906075249666,84.30558516445221,91.96799517444026,92.92654226129581,91.91986620609808,92.6770386948451,90.67716481392362,90.72559918925346,93.93505503024258,88.76235799722892,92.08040154012815,91.41888318283915,91.61288970674296,86.90378380757237,89.90236743365259,93.26558397227824,88.25862081621469,92.64086092639006,79.61695640470506,92.67786560901784,90.31043564285922,92.41582701830926,86.04583179405526,92.6151333022404,87.33674545875805,84.35500779187464,84.90099146164938,86.06006887320515,91.64324041148653,82.43547255513114,86.77118839594328,86.21173331895143,85.1441428813316,85.00966335071442,88.1183387371736,80.89284939621493,72.12020712787915,92.57639337310972,90.08402535933061,87.0826662892881,80.79384317153176,88.29701221669154,92.30302243218068,91.10680714766448,92.72127717340558,90.72755252758373,91.36919784923958,91.92986717379279,86.31325890645513,92.02875784828407
Episode feedback,0.8,0.22344689356368047,0.2304609216127646,0.2543103437314209,0.14228456899570685,0.12394366179726245,0.08967391279979915,0.02793296081582972,0.05882352928818586,0.04780876474976588,0.03966005654487236,0.034666666574222224,0.024734982244752714,0.03084832896954157,0.01829268281528852,0.015999999957333335,0.025974025861584305,0.007490636676065031,0.024390243753718028,0.0,0.007812499969482422,0.019607843009099065,0.00632911388399295,0.007874015717031434,0.0,0.012987012902681734,0.0,0.0,0.0066666666222222224,0.006211180085644845,0.004184100400903346,0.0,0.008163265272802998,0.0,0.0,0.0,0.0038759689772249264,0.0042194092648970075,0.0,0.0035971222892189846,0.0066666666222222224,0.0022123893756363067,0.0,0.0,0.0,0.003717472105139509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001742160275710522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,70.52421474456787,147.4155843257904,166.6332142353058,231.82200360298157,277.3939218521118,300.1313614845276,320.1870470046997,348.03653740882874,362.6804826259613,383.04380679130554,404.01416516304016,419.8004746437073,441.68103647232056,451.3595759868622,472.28769636154175,485.52095460891724,500.4647970199585,510.17492842674255,518.8692133426666,533.38671875,542.6361923217773,552.0792191028595,566.6697442531586,585.7941515445709,594.7749338150024,603.5654466152191,612.503960609436,621.261974811554,630.6865980625153,643.9460332393646,652.1322584152222,665.8630223274231,674.6099803447723,683.8465883731842,693.1676349639893,707.9627134799957,721.2556324005127,729.7713716030121,745.0639686584473,754.0490243434906,779.1022164821625,787.8463730812073,798.1969730854034,806.5724041461945,821.1443808078766,829.5161011219025,842.8813707828522,857.8647117614746,871.5109310150146,885.2491431236267,894.513286113739,911.3922343254089,925.6024842262268,939.8186986446381,958.7993271350861,974.063583612442,987.8574392795563,1011.0861201286316,1041.7785522937775,1050.0348629951477,1062.2626066207886,1075.7962963581085,1095.6697406768799,1109.9086117744446,1118.7033352851868,1127.4289412498474,1135.8001487255096,1145.5304832458496,1154.429058790207,1164.0866878032684,1178.0367906093597,1186.7475092411041
total minutes,0.0,1.1754035790761312,2.45692640542984,2.7772202372550963,3.863700060049693,4.623232030868531,5.0021893580754595,5.336450783411662,5.800608956813813,6.044674710432688,6.384063446521759,6.733569419384002,6.9966745773951216,7.3613506078720095,7.522659599781036,7.8714616060256954,8.092015910148621,8.341079950332642,8.502915473779042,8.647820222377778,8.889778645833333,9.04393653869629,9.201320318380992,9.444495737552643,9.763235859076183,9.912915563583374,10.059424110253651,10.208399343490601,10.354366246859232,10.51144330104192,10.732433887322744,10.868870973587036,11.097717038790385,11.243499672412872,11.39744313955307,11.552793916066488,11.799378557999928,12.020927206675212,12.162856193383535,12.41773281097412,12.567483739058178,12.985036941369374,13.130772884686788,13.303282884756724,13.442873402436573,13.685739680131276,13.825268352031708,14.048022846380869,14.297745196024577,14.525182183583578,14.754152385393779,14.908554768562317,15.189870572090149,15.426708070437114,15.663644977410634,15.979988785584768,16.234393060207367,16.464290654659273,16.851435335477195,17.36297587156296,17.500581049919127,17.70437677701314,17.92993827263514,18.261162344614664,18.49847686290741,18.645055588086446,18.790482354164123,18.930002478758492,19.09217472076416,19.240484313170114,19.40144479672114,19.633946510155997,19.779125154018402
cummulative feedback,0.0,223.0,453.0,512.0,654.0,742.0,775.0,785.0,813.0,825.0,839.0,852.0,859.0,871.0,874.0,880.0,886.0,888.0,892.0,892.0,894.0,897.0,898.0,900.0,900.0,902.0,902.0,902.0,903.0,904.0,905.0,905.0,907.0,907.0,907.0,907.0,908.0,909.0,909.0,910.0,911.0,912.0,912.0,912.0,912.0,913.0,913.0,913.0,913.0,913.0,913.0,913.0,913.0,913.0,913.0,913.0,913.0,913.0,913.0,914.0,914.0,914.0,914.0,914.0,914.0,914.0,914.0,914.0,914.0,914.0,914.0,914.0,914.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,232.0,998.0,710.0,368.0,358.0,476.0,251.0,353.0,375.0,283.0,389.0,164.0,375.0,231.0,267.0,164.0,149.0,256.0,153.0,158.0,254.0,347.0,154.0,150.0,153.0,150.0,161.0,239.0,142.0,245.0,151.0,159.0,160.0,258.0,237.0,146.0,278.0,150.0,452.0,152.0,179.0,143.0,269.0,142.0,239.0,270.0,249.0,249.0,156.0,307.0,257.0,257.0,353.0,275.0,251.0,429.0,574.0,143.0,215.0,241.0,358.0,257.0,152.0,154.0,141.0,171.0,153.0,163.0,250.0,150.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
