,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
Accumulated time steps,0.0,699.0,1050.0,1314.0,1669.0,2107.0,2354.0,2613.0,2863.0,3215.0,3367.0,3518.0,3871.0,4129.0,4397.0,4550.0,4821.0,5072.0,5245.0,5504.0,5878.0,6031.0,6279.0,6443.0,6708.0,6859.0,7263.0,7518.0,7800.0,7981.0,8242.0,8495.0,8745.0,9005.0,9155.0,9456.0,9738.0,10001.0,10259.0,10530.0,10679.0,10835.0,11094.0,11249.0,11402.0,11554.0,11816.0,12180.0,12444.0,12599.0,12757.0,13010.0,13176.0,13435.0,13695.0,13843.0,13993.0,14145.0,14309.0,14655.0,14817.0,15071.0,15222.0,15487.0,15641.0,15909.0,16164.0,16321.0,16479.0,16747.0,17027.0,17289.0,17459.0,17620.0,17770.0,18026.0,18180.0,18338.0,18515.0,18777.0,18934.0,19217.0,19368.0,19615.0,19878.0,20041.0
Episode reward,0.0,68.7609497002704,78.73250582133215,85.93438011624127,80.15953211248616,76.66967961064015,86.89475367078043,85.93856932026947,86.63817313527204,80.55547480026516,91.65596055902628,92.24839205627669,79.8372250458756,84.70575670436496,84.95714064696628,91.17069722300876,84.04115471811241,85.94465713557587,90.33343870126387,85.74965006980712,79.64500365184051,90.76902333053815,86.72110360577159,90.17141167639289,84.91160767071413,91.73362926823411,77.62332268701793,85.25068657982526,83.32344616867637,88.82531812818101,84.02162796840652,87.1934846708967,85.49927752504331,86.84990299356043,91.41899844888948,84.02536429795352,85.08576366213498,83.85807453451679,87.40999994076985,84.37458146571898,91.65150027246428,91.48063984072066,86.39842284343003,91.36723560049178,91.24011364329435,90.88858419722871,86.6691840298446,79.49547857937833,83.87262366890307,91.20689313516203,91.07339740771515,85.35003738839788,89.88019252687708,84.56637624104006,83.61065535238419,90.86908247170842,91.67324208428785,90.02452540645055,90.02472697341024,78.19983135487851,89.48031643550742,85.0744465729484,90.51242783294488,84.48841910294472,90.62894288209456,85.65699268064674,84.98195502833588,91.0015121396695,90.40151472473949,82.86691211486578,84.37562164659377,83.79017684507109,89.7418319674807,89.71647364675508,91.3475575194029,85.10570399710463,90.27031036223373,89.9799391463983,88.48692969686336,84.00415749071638,90.81964440366136,82.90949393359483,91.0880488364673,83.53821074564769,84.69471071793659,89.90233692258667
Episode feedback,0.8,0.44619799075150934,0.1714285709387755,0.14068441011146612,0.11016949121421048,0.1075514871680744,0.11382113774869457,0.08914728647617332,0.09638554178158416,0.07977207954480889,0.06622516512433665,0.06666666622222223,0.0539772725739282,0.031128404548138505,0.029962546704260126,0.03289473662569252,0.025925925829903978,0.031999999872,0.023255813818280152,0.027131782840574485,0.018766755981858563,0.01315789465027701,0.01214574893868118,0.018404907862546577,0.018939393867653812,0.013333333244444445,0.014888337432038865,0.007874015717031434,0.0035587188485454845,0.022222222098765433,0.003846153831360947,0.011904761857520787,0.01606425696359736,0.0,0.0,0.0,0.007117437697090969,0.0038167938785618554,0.007782101137034626,0.0037037036899862825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008264462787150241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039525691543376715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,64.26297926902771,89.36069416999817,107.73161840438843,130.64721512794495,159.08608436584473,175.5763123035431,192.26952457427979,209.1928951740265,232.38430285453796,242.39257192611694,252.42098665237427,274.1483793258667,289.50258779525757,305.44746947288513,314.8202590942383,330.65134263038635,345.3377342224121,355.64515495300293,370.69604086875916,391.36572670936584,400.4730350971222,414.49962162971497,424.18596720695496,439.03493642807007,448.0685691833496,470.1909818649292,484.63146924972534,500.3770966529846,511.0958185195923,525.3228011131287,539.4272310733795,553.3908035755157,567.5512619018555,576.1637406349182,592.3851201534271,607.9720833301544,622.5105624198914,636.6026329994202,651.3521988391876,660.1435379981995,669.1411986351013,683.1327486038208,692.0942063331604,700.8865218162537,709.6193857192993,724.0172207355499,743.9020624160767,758.4106769561768,767.5256142616272,776.5656614303589,790.7253751754761,800.397744178772,814.6236629486084,829.0372493267059,837.7900059223175,846.4618978500366,855.1602795124054,864.581396818161,883.4467916488647,892.8142056465149,906.7721197605133,915.3989086151123,929.8264186382294,938.6248018741608,953.2444202899933,967.247151851654,976.227579832077,985.2061426639557,999.9002175331116,1015.0978851318359,1029.4960958957672,1038.935929775238,1048.1747975349426,1056.8403673171997,1070.9287610054016,1079.6253213882446,1088.919383764267,1099.1619358062744,1113.894236087799,1122.960281610489,1138.5533602237701,1147.3728985786438,1161.114696264267,1175.4676039218903,1184.7916731834412
total minutes,0.0,1.071049654483795,1.4893449028333028,1.7955269734064738,2.177453585465749,2.6514347394307456,2.926271871725718,3.2044920762379965,3.4865482529004415,3.8730717142422995,4.039876198768615,4.207016444206237,4.569139655431112,4.825043129920959,5.0907911578814184,5.2470043182373045,5.510855710506439,5.755628903706868,5.927419249216715,6.178267347812652,6.522762111822764,6.674550584952036,6.908327027161916,7.069766120115916,7.3172489404678345,7.46780948638916,7.836516364415487,8.077191154162088,8.339618277549743,8.518263641993205,8.755380018552144,8.990453851222991,9.223180059591929,9.459187698364257,9.602729010581971,9.873085335890453,10.132868055502573,10.375176040331523,10.61004388332367,10.855869980653127,11.00239229996999,11.152353310585022,11.38554581006368,11.534903438886007,11.681442030270894,11.826989761988322,12.066953678925833,12.39836770693461,12.640177949269612,12.79209357102712,12.942761023839315,13.178756252924602,13.339962402979532,13.577061049143474,13.817287488778431,13.963166765371959,14.10769829750061,14.252671325206757,14.40968994696935,14.724113194147746,14.880236760775249,15.112868662675222,15.256648476918539,15.497106977303822,15.64374669790268,15.887407004833221,16.120785864194236,16.27045966386795,16.420102377732594,16.665003625551858,16.918298085530598,17.158268264929454,17.3155988295873,17.46957995891571,17.614006121953327,17.84881268342336,17.993755356470743,18.148656396071114,18.31936559677124,18.56490393479665,18.716004693508147,18.975889337062835,19.122881642977397,19.35191160440445,19.591126732031505,19.746527886390687
cummulative feedback,0.0,311.0,371.0,408.0,447.0,494.0,522.0,545.0,569.0,597.0,607.0,617.0,636.0,644.0,652.0,657.0,664.0,672.0,676.0,683.0,690.0,692.0,695.0,698.0,703.0,705.0,711.0,713.0,714.0,718.0,719.0,722.0,726.0,726.0,726.0,726.0,728.0,729.0,731.0,732.0,732.0,732.0,732.0,732.0,732.0,732.0,732.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,697.0,350.0,263.0,354.0,437.0,246.0,258.0,249.0,351.0,151.0,150.0,352.0,257.0,267.0,152.0,270.0,250.0,172.0,258.0,373.0,152.0,247.0,163.0,264.0,150.0,403.0,254.0,281.0,180.0,260.0,252.0,249.0,259.0,149.0,300.0,281.0,262.0,257.0,270.0,148.0,155.0,258.0,154.0,152.0,151.0,261.0,363.0,263.0,154.0,157.0,252.0,165.0,258.0,259.0,147.0,149.0,151.0,163.0,345.0,161.0,253.0,150.0,264.0,153.0,267.0,254.0,156.0,157.0,267.0,279.0,261.0,169.0,160.0,149.0,255.0,153.0,157.0,176.0,261.0,156.0,282.0,150.0,246.0,262.0,162.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
