,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
Accumulated time steps,0.0,1000.0,1292.0,1673.0,1947.0,2307.0,2480.0,2642.0,2793.0,2946.0,3249.0,3409.0,3667.0,3922.0,4079.0,4473.0,4736.0,4900.0,5051.0,5208.0,5361.0,5512.0,5867.0,6387.0,6544.0,6699.0,6854.0,7015.0,7165.0,7320.0,7467.0,7620.0,7774.0,8038.0,8195.0,8778.0,8931.0,9083.0,9361.0,9630.0,9801.0,10073.0,10231.0,10394.0,10551.0,10705.0,10863.0,11124.0,11278.0,11544.0,11700.0,11856.0,12008.0,12168.0,12322.0,12583.0,12731.0,12909.0,13172.0,13337.0,13489.0,13675.0,13940.0,14218.0,14597.0,14752.0,15137.0,15288.0,15442.0,15596.0,15780.0,15957.0,16113.0,16382.0,16537.0,16704.0,16968.0,17140.0,17439.0,17700.0,17863.0,18022.0,18180.0,18337.0,18502.0,18659.0,18814.0,18967.0,19124.0,19277.0,19452.0,19711.0,19866.0,20017.0
Episode reward,0.0,-57.04866398446911,84.24693498968276,79.58926140152681,85.0625578479013,81.83096314598225,90.20427006558756,91.2877229885708,91.89806959608595,91.58849543435781,81.61768981618242,91.35993473874584,85.97559371963102,86.35435355630092,90.71083556416733,75.67859710179073,86.29371760115245,90.59881116679422,91.55536387497715,91.1868769029192,91.77975237813601,91.3280056337003,79.65742570833063,70.07252271037822,89.919155791842,91.62879517401322,91.15712615818067,91.1060130144063,91.53134165053882,90.29466194879186,91.49472948644555,91.01923392723528,90.46045351377607,84.4957747621939,91.3185077580201,67.08382702652833,91.28763619852754,90.890758610391,83.3823827904715,85.95402837679549,90.789706582591,82.93712515562102,90.62111763450389,88.62663281244868,89.78841169726537,90.63527847323377,90.94803154079972,84.47702845978465,90.90544683191357,84.6902233031117,90.87150116040276,90.75537666548945,90.2535677399885,90.03532171120854,90.65655466321503,85.17388694029404,91.37791527781769,88.46828222669765,83.91981657536452,89.99283926674642,91.40735152956583,87.9877459896545,84.33162202141547,84.1345656586618,75.74649088385243,90.7540403043304,77.26225415216149,90.85774969688158,90.3330847568158,90.57963917696368,89.52144166629625,88.35306408609694,90.61544494228727,83.96767085771484,91.22477260247446,89.5613943941614,83.58204862765402,88.84397529207808,80.6110065709367,84.81256697424146,89.92786420995799,90.11885726893624,89.93881036849797,90.79240101041624,89.35556408209736,90.69324420438309,90.96265869270034,90.39352218753125,89.86445190165811,90.69478083639952,88.48451548932704,84.61859948282817,90.51797790385882,90.40253716457778
Episode feedback,0.8,0.35771543050329113,0.17525773135650263,0.13157894702216066,0.09523809488923775,0.1253481890658825,0.09883720872769065,0.06832298094209328,0.09999999933333334,0.05263157860110804,0.06622516534362528,0.06289308136545232,0.07003891023331163,0.07874015717031434,0.01923076910749507,0.038167938834178274,0.038167938785618555,0.018404907862546577,0.02666666648888889,0.012820512738330047,0.03289473662569252,0.02666666648888889,0.03672316373807016,0.01348747588923415,0.006410256369165024,0.0194805193540226,0.012987012902681734,0.006249999960937501,0.013422818701860278,0.025974025805363468,0.0068493150215800346,0.01315789465027701,0.0,0.0038022813543639494,0.006410256369165024,0.00859106527733494,0.006578947325138505,0.0,0.007220216580432431,0.0037313432696591668,0.005882352906574395,0.0,0.0,0.0,0.0,0.0,0.0,0.003846153831360947,0.0,0.0037735848914204344,0.0,0.0,0.0,0.012578616273090464,0.0,0.0,0.0,0.005649717482204986,0.0,0.0,0.006622516512433666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,92.31779646873474,113.83438038825989,139.95541310310364,158.52714943885803,182.7838499546051,194.7163529396057,205.38379096984863,216.03336453437805,225.84581351280212,244.64776825904846,254.98380756378174,271.5480422973633,288.0153396129608,297.63936614990234,321.26271080970764,337.24628925323486,347.2845678329468,356.79040718078613,366.29234552383423,375.8986840248108,385.4188916683197,406.4739646911621,435.7546684741974,445.0588188171387,454.266197681427,463.6323597431183,473.2647407054901,482.3255410194397,492.0368950366974,500.70362091064453,509.8170087337494,518.7613711357117,533.5748188495636,542.846497297287,574.905834197998,584.0910167694092,593.0203347206116,609.0331528186798,624.1299753189087,634.281585931778,649.4236657619476,658.8299465179443,668.2675523757935,677.6604609489441,686.7321915626526,696.107203245163,710.8657426834106,719.9089248180389,735.1147518157959,744.4473829269409,753.6444125175476,762.5798470973969,772.288866519928,781.2569673061371,796.0413854122162,804.8065583705902,815.4343068599701,831.7490670681,841.8533024787903,851.5982885360718,863.2116327285767,879.1395215988159,896.0174391269684,918.8726470470428,928.9544634819031,951.133139371872,960.1276338100433,969.6098928451538,979.1796872615814,990.4701542854309,1000.8310930728912,1010.4577040672302,1026.1046266555786,1035.4839069843292,1045.606464624405,1060.3107569217682,1070.38521027565,1087.0470719337463,1101.8431935310364,1111.6331405639648,1120.912364244461,1130.238837480545,1139.3525841236115,1148.8550724983215,1158.3195338249207,1167.635514497757,1176.7628438472748,1186.0636749267578,1195.1156966686249,1205.2768805027008,1220.1090822219849,1229.1628365516663,1237.94083070755
total minutes,0.0,1.538629941145579,1.8972396731376648,2.3325902183850604,2.6421191573143004,3.0463974992434184,3.2452725489934284,3.4230631828308105,3.6005560755729675,3.7640968918800355,4.0774628043174745,4.249730126063029,4.525800704956055,4.800255660216013,4.960656102498373,5.354378513495127,5.620771487553914,5.788076130549113,5.946506786346435,6.104872425397237,6.26497806708018,6.423648194471995,6.7745660781860355,7.262577807903289,7.417646980285644,7.57110329469045,7.727205995718638,7.887745678424835,8.038759016990662,8.20061491727829,8.345060348510742,8.49695014556249,8.646022852261861,8.892913647492726,9.04744162162145,9.581763903299967,9.734850279490153,9.883672245343526,10.150552546977996,10.402166255315144,10.571359765529632,10.823727762699127,10.980499108632406,11.137792539596557,11.294341015815736,11.44553652604421,11.601786720752717,11.847762378056844,11.998482080300649,12.251912530263265,12.407456382115681,12.560740208625793,12.709664118289947,12.871481108665467,13.020949455102285,13.267356423536937,13.413442639509837,13.590571780999502,13.862484451135,14.030888374646505,14.19330480893453,14.386860545476278,14.652325359980265,14.933623985449474,15.314544117450714,15.482574391365052,15.852218989531199,16.00212723016739,16.160164880752564,16.31966145435969,16.507835904757183,16.68051821788152,16.84096173445384,17.101743777592976,17.258065116405486,17.426774410406747,17.671845948696138,17.839753504594167,18.117451198895772,18.364053225517274,18.527219009399413,18.681872737407684,18.837313958009084,18.989209735393523,19.147584541638693,19.305325563748678,19.46059190829595,19.612714064121246,19.767727915445963,19.918594944477082,20.087948008378348,20.335151370366415,20.486047275861104,20.632347178459167
cummulative feedback,0.0,357.0,408.0,458.0,484.0,529.0,546.0,557.0,572.0,580.0,600.0,610.0,628.0,648.0,651.0,666.0,676.0,679.0,683.0,685.0,690.0,694.0,707.0,714.0,715.0,718.0,720.0,721.0,723.0,727.0,728.0,730.0,730.0,731.0,732.0,737.0,738.0,738.0,740.0,741.0,742.0,742.0,742.0,742.0,742.0,742.0,742.0,743.0,743.0,744.0,744.0,744.0,744.0,746.0,746.0,746.0,746.0,747.0,747.0,747.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,291.0,380.0,273.0,359.0,172.0,161.0,150.0,152.0,302.0,159.0,257.0,254.0,156.0,393.0,262.0,163.0,150.0,156.0,152.0,150.0,354.0,519.0,156.0,154.0,154.0,160.0,149.0,154.0,146.0,152.0,153.0,263.0,156.0,582.0,152.0,151.0,277.0,268.0,170.0,271.0,157.0,162.0,156.0,153.0,157.0,260.0,153.0,265.0,155.0,155.0,151.0,159.0,153.0,260.0,147.0,177.0,262.0,164.0,151.0,185.0,264.0,277.0,378.0,154.0,384.0,150.0,153.0,153.0,183.0,176.0,155.0,268.0,154.0,166.0,263.0,171.0,298.0,260.0,162.0,158.0,157.0,156.0,164.0,156.0,154.0,152.0,156.0,152.0,174.0,258.0,154.0,150.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
