,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Accumulated time steps,0.0,1000.0,1252.0,1990.0,2147.0,3146.0,3926.0,4474.0,4831.0,5087.0,5369.0,5642.0,5914.0,6065.0,6337.0,6601.0,6862.0,7017.0,7173.0,7342.0,7605.0,7858.0,8010.0,8168.0,8327.0,8491.0,8745.0,9005.0,9370.0,9704.0,9855.0,10007.0,10288.0,10441.0,10704.0,10863.0,11124.0,11287.0,11452.0,11605.0,11848.0,12006.0,12254.0,12405.0,12561.0,12719.0,12984.0,13337.0,13594.0,13843.0,14004.0,14169.0,14341.0,14682.0,14925.0,15191.0,15357.0,15620.0,15870.0,16021.0,16379.0,16624.0,16866.0,17120.0,17267.0,17536.0,17691.0,17964.0,18115.0,18379.0,18625.0,18881.0,19049.0,19201.0,19454.0,19720.0,20091.0
Episode reward,0.0,-57.36334657300655,85.89017899769925,63.73923851249127,90.90022088419659,-37.83067043522988,55.12932445614099,69.28564853866209,79.42518221760318,85.84000939770712,82.6300636737829,83.7249099217118,83.87797437939923,91.51473727404291,84.0903402577572,83.90466034928505,85.81002838264317,90.19632245568604,90.55544476084181,89.83880302768374,84.19050706468265,86.68423333067953,91.94475110769953,91.37640788175425,90.53838333744625,90.42551326956952,85.38208029866875,85.53980166860886,78.57633787099557,80.18421392765458,91.39033683694001,90.76986764220732,82.45852886634341,91.0046660454078,83.84759414155354,90.68070542987819,85.21776935819585,90.88967016582617,90.62694810401993,90.95308058932083,85.74357754120366,90.15831485463269,85.56544244316335,91.34771841541459,90.0699000102452,91.25067858218495,83.17335330353667,79.37335150333263,84.58433609677154,85.37172883942321,91.48615855618692,90.41777789272018,89.88381698479192,77.75079542392442,85.82667360610637,85.69860286777303,91.28849483555226,82.38903339058032,85.24179735907174,90.81186440398983,77.13688981538147,86.26123664365264,85.48439317470714,85.19492907403678,92.14175261105521,83.97903717486624,90.82764805382968,83.68533750052757,91.64862204850724,86.64079558779873,86.29499432298917,85.71070019948127,90.72134387835476,91.31724057944865,85.43886923583375,83.92582807440522,76.53516468902527
Episode feedback,0.8,0.31863727422982235,0.22709163256138792,0.23609226562266994,0.15384615285996056,0.14328657300271885,0.06546854933829455,0.036563071231146126,0.016853932536927158,0.0196078430603614,0.007117437697090969,0.02205882344831315,0.02583025820726842,0.03333333311111111,0.014760147547010527,0.007604562708727899,0.015384615325443787,0.012987012902681734,0.0064516128616024975,0.005952380916950114,0.02290076327137113,0.011904761857520787,0.006622516512433666,0.0,0.00632911388399295,0.006134969287515526,0.0039525691543376715,0.0,0.0027472527397053494,0.006006005987969952,0.013333333244444445,0.013245033024867332,0.010714285676020409,0.0,0.007633587757123711,0.0,0.0,0.006172839468068892,0.012195121876859014,0.01315789465027701,0.004132231387883341,0.00636942671102276,0.004048582979560393,0.0066666666222222224,0.0,0.0,0.0,0.0028409090828383264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00401606424089934,0.0,0.0,0.0,0.0041493775761436615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,85.26303124427795,109.05289602279663,170.99165511131287,183.37852454185486,252.73879528045654,300.62079191207886,332.5285518169403,353.04035472869873,368.16993165016174,384.1243522167206,400.1748731136322,416.60928535461426,426.016074180603,441.85131430625916,456.9013104438782,471.8827905654907,481.22484278678894,490.7696180343628,501.42332220077515,517.3271851539612,532.6986556053162,542.0851266384125,552.234105348587,562.1942915916443,572.2552380561829,587.7488358020782,604.1486675739288,625.9507021903992,645.9648673534393,655.39910197258,664.6873309612274,680.9451978206635,690.9089179039001,706.2061216831207,715.571825504303,730.3106067180634,740.0690944194794,749.9372324943542,759.0220820903778,772.8143954277039,782.3403205871582,796.7394790649414,805.898707151413,814.9445469379425,823.9400041103363,838.8744490146637,858.2571017742157,873.0058088302612,887.1685738563538,896.7002658843994,906.1646409034729,916.1371471881866,935.0530867576599,949.0097975730896,964.4596936702728,974.4173111915588,989.4151113033295,1003.4405977725983,1012.2644731998444,1031.7389085292816,1045.9412803649902,1060.0627064704895,1074.8951926231384,1083.7619829177856,1098.8359611034393,1107.8738055229187,1123.1311874389648,1132.2440588474274,1147.390368461609,1161.2004568576813,1175.8700745105743,1185.5788445472717,1194.4199340343475,1208.6415803432465,1223.5490505695343,1243.9487872123718
total minutes,0.0,1.421050520737966,1.8175482670466105,2.8498609185218813,3.0563087423642474,4.212313254674275,5.010346531867981,5.542142530282338,5.884005912144979,6.136165527502696,6.402072536945343,6.669581218560537,6.943488089243571,7.10026790301005,7.364188571770986,7.615021840731303,7.864713176091512,8.020414046446483,8.179493633906047,8.357055370012919,8.62211975256602,8.878310926755269,9.034752110640207,9.203901755809785,9.369904859860737,9.537587300936382,9.795813930034637,10.06914445956548,10.43251170317332,10.766081122557322,10.923318366209665,11.078122182687123,11.349086630344392,11.51514863173167,11.770102028052012,11.926197091738382,12.171843445301056,12.334484906991323,12.498953874905904,12.65036803483963,12.880239923795065,13.039005343119303,13.278991317749023,13.431645119190216,13.582409115632375,13.732333401838938,13.981240816911061,14.304285029570261,14.550096813837687,14.786142897605895,14.945004431406657,15.102744015057882,15.268952453136444,15.584218112627665,15.816829959551493,16.07432822783788,16.240288519859313,16.49025185505549,16.72400996287664,16.87107455333074,17.195648475488028,17.432354672749838,17.66771177450816,17.914919877052306,18.06269971529643,18.31393268505732,18.46456342538198,18.718853123982747,18.87073431412379,19.123172807693482,19.35334094762802,19.59783457517624,19.759647409121197,19.906998900572457,20.144026339054108,20.392484176158906,20.732479786872865
cummulative feedback,0.0,318.0,375.0,549.0,573.0,716.0,767.0,787.0,793.0,798.0,800.0,806.0,813.0,818.0,822.0,824.0,828.0,830.0,831.0,832.0,838.0,841.0,842.0,842.0,843.0,844.0,845.0,845.0,846.0,848.0,850.0,852.0,855.0,855.0,857.0,857.0,857.0,858.0,860.0,862.0,863.0,864.0,865.0,866.0,866.0,866.0,866.0,867.0,867.0,867.0,867.0,867.0,867.0,867.0,867.0,867.0,867.0,867.0,868.0,868.0,868.0,868.0,869.0,869.0,869.0,869.0,869.0,869.0,869.0,869.0,869.0,869.0,869.0,869.0,869.0,869.0,869.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,251.0,737.0,156.0,998.0,779.0,547.0,356.0,255.0,281.0,272.0,271.0,150.0,271.0,263.0,260.0,154.0,155.0,168.0,262.0,252.0,151.0,157.0,158.0,163.0,253.0,259.0,364.0,333.0,150.0,151.0,280.0,152.0,262.0,158.0,260.0,162.0,164.0,152.0,242.0,157.0,247.0,150.0,155.0,157.0,264.0,352.0,256.0,248.0,160.0,164.0,171.0,340.0,242.0,265.0,165.0,262.0,249.0,150.0,357.0,244.0,241.0,253.0,146.0,268.0,154.0,272.0,150.0,263.0,245.0,255.0,167.0,151.0,252.0,265.0,370.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
