,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
Accumulated time steps,0.0,1000.0,1996.0,2317.0,2768.0,3012.0,3283.0,3570.0,3842.0,4003.0,4165.0,4442.0,4598.0,4767.0,5018.0,5456.0,5607.0,5949.0,6214.0,6463.0,6628.0,6964.0,7382.0,7528.0,7776.0,8018.0,8430.0,8579.0,8752.0,9108.0,9362.0,9523.0,9786.0,10039.0,10292.0,10558.0,10943.0,11295.0,11569.0,11725.0,12078.0,12648.0,12999.0,13370.0,13836.0,14134.0,14535.0,14964.0,15213.0,15601.0,15969.0,16126.0,16291.0,16576.0,16935.0,17087.0,17348.0,17602.0,17859.0,18108.0,18276.0,18435.0,18690.0,18842.0,19045.0,19220.0,19398.0,19677.0,19830.0,20103.0
Episode reward,0.0,-66.44376678150618,38.525821602131224,82.20567169632166,73.84690711840715,85.17131601873653,86.86781420124423,81.85395999855432,85.0961399536082,91.98898999656639,90.77504221078853,84.85152977260763,91.85869186965184,89.67240819417928,87.00793363252848,75.89434712373439,91.6567769581305,80.7403423490563,86.0685570947182,86.5466105506697,88.56273078627973,81.93816855101404,76.12341223059448,91.94590270541988,85.22525796727471,86.35288834323185,78.20174841785304,91.23488750305002,89.12372717724487,81.19037448740492,83.82120674976076,90.86106697897502,84.8232847507577,86.2646265416262,85.06842674315271,84.06059754382096,82.06891438867636,80.83045125965359,84.57655029520038,91.5886837644631,79.8527936068648,67.43287822105401,79.81212467626234,81.07613540634104,73.65346826556511,82.18125458337114,79.85867680489477,76.50503983248412,85.94008248708802,77.88255436093064,78.50394533954643,89.94364516250603,89.09136987078912,81.97512464414079,80.19901130909747,91.02065418920958,85.30214230774023,83.86808823516327,86.0333390528058,85.85155512229903,90.32723442043749,90.64000047619005,84.70231357103688,90.8995319972131,87.89750960766312,89.30803899738898,91.19206133340714,85.59921223570856,91.79748528921357,85.6324477222188
Episode feedback,0.8,0.13226452892558666,0.2432160801575718,0.16874999947265626,0.11111111086419753,0.09053497905129639,0.11481481438957476,0.08041958013839308,0.06642066396154736,0.037499999765625,0.0559006207708036,0.025362318748687253,0.06451612861602497,0.04761904733560091,0.031999999872,0.034324942713215234,0.019999999866666666,0.029325513110482367,0.018939393867653812,0.012096774144771073,0.012195121876859014,0.011940298471820005,0.014388489174128324,0.013793103353151011,0.01214574893868118,0.016597510304574646,0.01459854011046584,0.006756756711102995,0.0,0.0,0.0,0.006249999960937501,0.007633587757123711,0.003968253952506929,0.007936507905013858,0.0037735848914204344,0.0,0.005698005681772063,0.0036630036495860674,0.0,0.0,0.0,0.0,0.0,0.00215053762978379,0.0,0.0,0.002336448592671849,0.004032258048257024,0.0,0.0,0.0,0.0,0.0035211267481650467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,63.494996786117554,144.17734932899475,168.7133026123047,199.7673523426056,216.05589175224304,234.97090983390808,253.4351019859314,270.509991645813,280.69702410697937,291.2147743701935,307.6676197052002,317.652281999588,328.521977186203,343.9751031398773,369.7102999687195,379.0088584423065,399.20924186706543,414.9283244609833,429.21899151802063,438.9583041667938,458.47119665145874,482.0528120994568,490.81275820732117,505.45306301116943,519.4425051212311,543.1202349662781,552.0500965118408,562.2868304252625,581.8605024814606,596.3437960147858,605.8648521900177,621.2605154514313,636.2274169921875,651.343591928482,667.3784034252167,689.7488267421722,710.1248140335083,726.0547649860382,735.3669385910034,755.6002397537231,786.833872795105,806.9420251846313,827.6387419700623,853.60067486763,870.5332143306732,892.6288709640503,916.1674778461456,930.1960809230804,951.752584695816,972.3504350185394,981.676507472992,991.4074580669403,1007.5146176815033,1027.5809378623962,1036.3760211467743,1051.1624653339386,1065.2992742061615,1079.9080052375793,1094.0950281620026,1104.0665781497955,1113.2822122573853,1127.4297606945038,1136.3758807182312,1148.101125717163,1158.4379534721375,1168.7178270816803,1184.357966184616,1193.529965877533,1209.0475664138794
total minutes,0.0,1.0582499464352926,2.4029558221499125,2.8118883768717446,3.32945587237676,3.600931529204051,3.916181830565135,4.22391836643219,4.50849986076355,4.678283735116323,4.853579572836558,5.127793661753336,5.294204699993133,5.475366286436716,5.732918385664622,6.161838332811992,6.316814307371775,6.653487364451091,6.915472074349721,7.153649858633677,7.31597173611323,7.641186610857646,8.034213534990947,8.180212636788687,8.424217716852825,8.657375085353852,9.052003916104635,9.200834941864013,9.371447173754374,9.697675041357677,9.939063266913097,10.097747536500295,10.354341924190521,10.603790283203125,10.855726532141368,11.122973390420277,11.495813779036204,11.835413567225139,12.100912749767303,12.25611564318339,12.593337329228719,13.113897879918417,13.44903375307719,13.79397903283437,14.2266779144605,14.50888690551122,14.877147849400838,15.269457964102427,15.503268015384673,15.8625430782636,16.205840583642324,16.361275124549866,16.523457634449006,16.79191029469172,17.12634896437327,17.27293368577957,17.51937442223231,17.754987903436025,17.998466753959654,18.234917136033378,18.401109635829926,18.554703537623087,18.790496011575062,18.93959801197052,19.13501876195272,19.307299224535623,19.478630451361337,19.739299436410267,19.89216609795888,20.150792773564657
cummulative feedback,0.0,132.0,374.0,428.0,478.0,500.0,531.0,554.0,572.0,578.0,587.0,594.0,604.0,612.0,620.0,635.0,638.0,648.0,653.0,656.0,658.0,662.0,668.0,670.0,673.0,677.0,683.0,684.0,684.0,684.0,684.0,685.0,687.0,688.0,690.0,691.0,691.0,693.0,694.0,694.0,694.0,694.0,694.0,694.0,695.0,695.0,695.0,696.0,697.0,697.0,697.0,697.0,697.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,995.0,320.0,450.0,243.0,270.0,286.0,271.0,160.0,161.0,276.0,155.0,168.0,250.0,437.0,150.0,341.0,264.0,248.0,164.0,335.0,417.0,145.0,247.0,241.0,411.0,148.0,172.0,355.0,253.0,160.0,262.0,252.0,252.0,265.0,384.0,351.0,273.0,155.0,352.0,569.0,350.0,370.0,465.0,297.0,400.0,428.0,248.0,387.0,367.0,156.0,164.0,284.0,358.0,151.0,260.0,253.0,256.0,248.0,167.0,158.0,254.0,151.0,202.0,174.0,177.0,278.0,152.0,272.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
