,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5525.0,5863.0,6537.0,7128.0,7480.0,7803.0,8051.0,8416.0,8648.0,8803.0,8980.0,9233.0,9579.0,9816.0,10055.0,10395.0,10661.0,10809.0,11046.0,11286.0,11620.0,11804.0,12046.0,12206.0,12567.0,12810.0,13232.0,13481.0,13744.0,13904.0,14049.0,14285.0,14540.0,14682.0,14828.0,14973.0,15111.0,15429.0,15567.0,15891.0,16034.0,16201.0,16653.0,16887.0,17223.0,17365.0,17602.0,17750.0,18101.0,18445.0,18599.0,18946.0,19191.0,19345.0,19586.0,20006.0
Episode reward,0.0,-63.404597148856865,-67.1819608959709,-75.25380496077189,-58.04372608326838,-62.69408497881178,69.64981606173485,79.79022153633925,59.48884850051761,63.6097005376856,79.34737620647853,80.72875139206113,83.70508968091109,79.36798087729335,87.07304470966655,89.36554209386982,87.87054757975883,84.48370660105195,79.33065559734088,85.97219525628228,84.54536611882223,80.3645464618208,81.15555181822927,91.40900837978776,85.24056873636697,88.01278430267993,80.59840431113483,86.8187597827294,86.63693027395591,90.77001508124359,79.04337059731643,85.55766258307935,78.25154377284218,85.35034189964966,85.27643195117012,89.32445698736149,91.343653889455,85.76219349258172,84.67842372261029,90.63815836360335,91.99419145180802,90.89767157840241,92.24476117420902,80.70127365669269,91.88144126419667,80.9304679528066,91.92272625107216,88.64573238447053,72.89838573139161,87.40346477471702,80.4111719243428,91.27250514227165,86.50893437510346,90.48099874857635,78.6066679326856,80.33810223252452,90.16395969109895,78.48496622525847,85.85916985545165,90.66629602864674,85.31663376589049,72.56995656660771
Episode feedback,0.8,0.18837675331825976,0.0801603205609616,0.0851703405960217,0.14128256498869482,0.07915831655394959,0.03787878780704775,0.04747774466623814,0.010401188691825871,0.016949152513645503,0.011396011363544126,0.01863354031480267,0.0,0.016483516438232097,0.012987012930792153,0.012987012902681734,0.0,0.003968253952506929,0.008695652148708254,0.0042372881176386094,0.0,0.0029498524986730015,0.007547169782840869,0.0,0.008474576235277219,0.004184100400903346,0.003003002993984976,0.0,0.0041493775761436615,0.0,0.0,0.0,0.002375296906471979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,63.59331655502319,120.91656637191772,178.5980405807495,240.49531865119934,297.64606165885925,326.593003988266,345.74170994758606,380.62703561782837,411.89500188827515,430.78399991989136,448.5495750904083,461.8010046482086,481.4765169620514,494.2850868701935,503.24290585517883,513.0587787628174,526.7927544116974,545.3161194324493,558.1858816146851,571.1332812309265,589.2173907756805,603.7967798709869,612.1401717662811,625.2821807861328,638.5632755756378,656.2940938472748,666.5266380310059,679.7353491783142,688.8695623874664,707.8673760890961,721.0039086341858,743.2297673225403,756.7488095760345,771.277284860611,780.4720439910889,788.7334182262421,801.499000787735,815.1933200359344,823.3360540866852,831.5923125743866,839.8616147041321,847.7343978881836,865.032972574234,873.2381045818329,890.94837474823,899.1386878490448,908.6497089862823,932.8847513198853,945.9063501358032,963.9465928077698,972.0297629833221,984.9782934188843,993.2494173049927,1011.9375870227814,1030.4198031425476,1039.19034075737,1057.6006333827972,1070.93563914299,1079.618748664856,1092.6734037399292,1114.730937242508
total minutes,0.0,1.0598886092503865,2.0152761061986286,2.9766340096791586,4.008255310853323,4.960767694314321,5.443216733137766,5.762361832459768,6.343783926963806,6.864916698137919,7.1797333319981895,7.475826251506805,7.696683410803477,8.02460861603419,8.238084781169892,8.38738176425298,8.550979646046956,8.779879240194957,9.088601990540822,9.303098026911417,9.518888020515442,9.820289846261343,10.063279664516449,10.202336196104685,10.42136967976888,10.642721259593964,10.93823489745458,11.108777300516765,11.328922486305236,11.48115937312444,11.797789601484935,12.016731810569762,12.387162788709004,12.612480159600576,12.854621414343516,13.00786739985148,13.145556970437367,13.358316679795584,13.58655533393224,13.72226756811142,13.859871876239776,13.9976935784022,14.128906631469727,14.417216209570567,14.553968409697214,14.849139579137166,14.98564479748408,15.14416181643804,15.548079188664754,15.76510583559672,16.06577654679616,16.200496049722037,16.416304890314738,16.55415695508321,16.86562645037969,17.173663385709126,17.319839012622833,17.62667722304662,17.848927319049835,17.99364581108093,18.21122339566549,18.5788489540418
cummulative feedback,0.0,188.0,268.0,353.0,494.0,573.0,593.0,609.0,616.0,626.0,630.0,636.0,636.0,642.0,645.0,647.0,647.0,648.0,651.0,652.0,652.0,653.0,655.0,655.0,657.0,658.0,659.0,659.0,660.0,660.0,660.0,660.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0,661.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,528.0,337.0,673.0,590.0,351.0,322.0,247.0,364.0,231.0,154.0,176.0,252.0,345.0,236.0,238.0,339.0,265.0,147.0,236.0,239.0,333.0,183.0,241.0,159.0,360.0,242.0,421.0,248.0,262.0,159.0,144.0,235.0,254.0,141.0,145.0,144.0,137.0,317.0,137.0,323.0,142.0,166.0,451.0,233.0,335.0,141.0,236.0,147.0,350.0,343.0,153.0,346.0,244.0,153.0,240.0,419.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
