,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Accumulated time steps,0.0,1000.0,1427.0,1689.0,1858.0,2021.0,2752.0,3033.0,3192.0,3833.0,4387.0,4930.0,5266.0,5419.0,5763.0,5919.0,6080.0,6592.0,6849.0,7209.0,7558.0,7809.0,8059.0,8390.0,8595.0,9109.0,9540.0,9873.0,10125.0,10681.0,10838.0,11092.0,11462.0,11831.0,11999.0,12302.0,12649.0,12821.0,13366.0,13620.0,13892.0,14144.0,14509.0,14670.0,14834.0,15089.0,15250.0,15877.0,16210.0,16544.0,16883.0,17186.0,17713.0,17961.0,18205.0,18451.0,18710.0,18954.0,19389.0,19734.0,19979.0
Episode reward,0.0,-61.56443694768806,75.37291502828134,87.22266922958816,90.85488250233952,90.99338554414058,60.89284334695094,83.86058423246499,91.27129353302448,66.47210266857442,69.42417988907563,68.65948952325101,80.86638930672945,92.01692658614417,82.00506831916465,91.79810717093275,91.46341870642958,68.2907471297685,85.49295523468703,81.09272976986733,82.02402157978058,86.3659410152933,86.15788086916015,77.76910737110641,84.27339421430352,69.84811782017582,71.14133349227299,77.73666649073692,84.11922295260523,69.78637028257681,91.49719190640529,86.75037923497109,79.6741899810794,79.453639943252,90.78602179738215,81.51324060766237,82.9879825452082,90.38783904519106,72.7021488666766,87.40202648818939,84.87614777080759,87.53705435068376,80.95779422844197,91.42267344981435,91.15022537846289,87.0639756911972,91.42346835444107,58.94118744502072,78.3857322680491,78.46011212841262,77.1290810332944,77.7728872002712,65.20236537264022,84.37461862296877,84.14457755994252,83.82394005886178,82.20229364515643,84.45313488067849,71.7021865151523,77.91429551741574,84.45119486686019
Episode feedback,0.8,0.2685370738792214,0.3051643185324781,0.17624521005270036,0.09523809467120183,0.0864197525529645,0.06986301360292738,0.057142856938775514,0.044303797187950654,0.04687499992675781,0.03074141043265568,0.02583025825492572,0.017910447707730006,0.0,0.005830903773087744,0.0,0.0,0.005870841475790917,0.023437499908447266,0.016713091875451,0.011494252840533757,0.0,0.01204819272269802,0.0,0.0,0.00584795320497475,0.0023255813899405084,0.0,0.003984063729147156,0.0,0.0,0.0,0.0,0.0,0.011976047832478756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015974440869050415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,73.5386061668396,112.28522825241089,132.35427832603455,142.03387475013733,150.726411819458,195.73942685127258,209.8732979297638,218.18343377113342,253.20979166030884,282.8601338863373,309.66415071487427,326.1227960586548,334.4533293247223,351.6110782623291,360.2515814304352,368.98021721839905,394.0473084449768,407.0625059604645,424.83057475090027,442.3700804710388,454.9057102203369,467.99306559562683,485.09748935699463,495.8411977291107,521.2242839336395,542.8863439559937,559.6984632015228,572.98228764534,600.9766480922699,609.6182477474213,622.9600322246552,641.6510922908783,660.2277386188507,668.9983410835266,684.1760909557343,701.9302275180817,711.0894117355347,738.2731192111969,751.3284556865692,765.2734928131104,778.4575848579407,797.2692296504974,806.0850777626038,814.9292862415314,828.4449059963226,837.2257561683655,868.5794727802277,885.7030732631683,902.4848680496216,920.0052485466003,935.5548965930939,962.0547251701355,974.8585712909698,987.9150578975677,1000.9416480064392,1014.1701323986053,1027.079689025879,1049.2262444496155,1066.6922204494476,1079.5863614082336
total minutes,0.0,1.2256434361139934,1.8714204708735147,2.2059046387672425,2.367231245835622,2.5121068636576336,3.262323780854543,3.4978882988293964,3.6363905628522235,4.220163194338481,4.714335564772288,5.161069178581238,5.435379934310913,5.574222155412039,5.860184637705485,6.004193023840586,6.1496702869733175,6.567455140749614,6.784375099341075,7.080509579181671,7.372834674517313,7.581761837005615,7.79988442659378,8.084958155949911,8.264019962151846,8.687071398893993,9.048105732599895,9.32830772002538,9.549704794089,10.016277468204498,10.160304129123688,10.382667203744253,10.694184871514638,11.003795643647512,11.14997235139211,11.402934849262238,11.698837125301361,11.851490195592245,12.304551986853282,12.522140928109486,12.754558213551839,12.974293080965678,13.287820494174957,13.434751296043396,13.58215477069219,13.80741509993871,13.95376260280609,14.476324546337128,14.761717887719472,15.041414467493693,15.333420809110006,15.592581609884897,16.03424541950226,16.2476428548495,16.465250964959463,16.682360800107322,16.902835539976756,17.117994817097983,17.487104074160257,17.77820367415746,17.99310602347056
cummulative feedback,0.0,268.0,398.0,444.0,460.0,474.0,525.0,541.0,548.0,578.0,595.0,609.0,615.0,615.0,617.0,617.0,617.0,620.0,626.0,632.0,636.0,636.0,639.0,639.0,639.0,642.0,643.0,643.0,644.0,644.0,644.0,644.0,644.0,644.0,646.0,646.0,646.0,646.0,646.0,646.0,646.0,646.0,646.0,646.0,646.0,646.0,646.0,647.0,647.0,647.0,647.0,647.0,647.0,647.0,647.0,647.0,647.0,647.0,647.0,647.0,647.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,426.0,261.0,168.0,162.0,730.0,280.0,158.0,640.0,553.0,542.0,335.0,152.0,343.0,155.0,160.0,511.0,256.0,359.0,348.0,250.0,249.0,330.0,204.0,513.0,430.0,332.0,251.0,555.0,156.0,253.0,369.0,368.0,167.0,302.0,346.0,171.0,544.0,253.0,271.0,251.0,364.0,160.0,163.0,254.0,160.0,626.0,332.0,333.0,338.0,302.0,526.0,247.0,243.0,245.0,258.0,243.0,434.0,344.0,244.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
