,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
Accumulated time steps,0.0,1000.0,1999.0,2587.0,3223.0,3985.0,4277.0,4976.0,5454.0,5731.0,6105.0,6464.0,7099.0,8098.0,8450.0,8708.0,9063.0,9597.0,9959.0,10242.0,10721.0,11106.0,11361.0,11744.0,12191.0,12457.0,12711.0,13065.0,13421.0,13788.0,14434.0,15071.0,15506.0,16122.0,16654.0,17002.0,17445.0,17723.0,17979.0,18239.0,18495.0,18934.0,19404.0,19936.0
Episode reward,0.0,-66.42705156996678,-54.3844246148362,70.14676873824759,66.7820969404692,57.69117958107304,82.11388058959872,62.53739884423682,73.08351735407058,85.27743572211662,81.32489917111525,79.80146690839076,63.863100425364955,-58.765967823037315,79.07488751877179,85.17196499494338,79.17459825322214,72.40685414503628,83.56356006716038,87.41816772276215,71.43198269472582,76.17964082321967,84.69466898663872,77.99276692676642,75.77985738395579,84.13522142619847,85.00512138816828,78.99296116588852,77.8317557987315,77.83638418342227,59.88393869567168,60.73347859459419,73.77543465506453,62.4028997032726,67.80185475361174,79.38498654380436,72.45690207095396,82.99562832232192,84.54156536958175,84.67108428869636,84.92710385307954,72.96393374225212,71.03819437781534,67.80104643558451
Episode feedback,0.8,0.01903807613322838,0.2204408815426444,0.21124361122445723,0.08503936994481989,0.04862023646699049,0.041237113260353564,0.03868194836865051,0.01886792448874649,0.014492753570678429,0.02144772112212407,0.019553072571080802,0.014195583573824,0.007014028049084141,0.005698005681772063,0.007782101137034626,0.01129943499632928,0.005628517813079704,0.0,0.007092198556410643,0.00627615061448504,0.0,0.0,0.0026178010402675366,0.0022421524613404653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,48.95926523208618,119.68460321426392,161.78570890426636,196.59067010879517,235.22704243659973,249.85418367385864,285.73457312583923,308.6734387874603,322.86532258987427,341.44407534599304,359.50043058395386,390.7971315383911,440.4050166606903,458.6484606266022,472.31728315353394,490.53122448921204,517.8339591026306,536.3227205276489,551.3391630649567,576.0196671485901,595.8244378566742,609.4949886798859,629.3145437240601,652.1927630901337,666.1418054103851,679.7317955493927,698.1477365493774,716.7900145053864,735.6408944129944,768.6373159885406,800.9068830013275,823.1278338432312,854.1478140354156,881.4669380187988,899.577831029892,922.3568758964539,936.8773512840271,950.0893380641937,963.4813685417175,977.0418202877045,998.9459910392761,1022.9023187160492,1049.9129164218903
total minutes,0.0,0.8159877538681031,1.9947433869043987,2.696428481737773,3.2765111684799195,3.9204507072766623,4.164236394564311,4.762242885430654,5.144557313124339,5.381088709831237,5.690734589099884,5.991673843065898,6.513285525639852,7.340083611011505,7.644141010443369,7.871954719225566,8.175520408153535,8.630565985043843,8.938712008794148,9.188986051082612,9.600327785809835,9.930407297611236,10.158249811331432,10.488575728734334,10.869879384835562,11.10236342350642,11.328863259156545,11.635795609156292,11.94650024175644,12.260681573549906,12.810621933142345,13.348448050022125,13.71879723072052,14.23579690059026,14.691115633646648,14.9929638504982,15.37261459827423,15.614622521400452,15.834822301069895,16.058022809028625,16.284030338128407,16.6490998506546,17.04837197860082,17.498548607031505
cummulative feedback,0.0,19.0,239.0,363.0,417.0,454.0,466.0,493.0,502.0,506.0,514.0,521.0,530.0,537.0,539.0,541.0,545.0,548.0,548.0,550.0,553.0,553.0,553.0,554.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,587.0,635.0,761.0,291.0,698.0,477.0,276.0,373.0,358.0,634.0,998.0,351.0,257.0,354.0,533.0,361.0,282.0,478.0,384.0,254.0,382.0,446.0,265.0,253.0,353.0,355.0,366.0,645.0,636.0,434.0,615.0,531.0,347.0,442.0,277.0,255.0,259.0,255.0,438.0,469.0,531.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
