,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
Accumulated time steps,0.0,1000.0,1600.0,2082.0,2355.0,2972.0,3234.0,3589.0,3799.0,4063.0,4878.0,5499.0,5656.0,5809.0,5985.0,6242.0,6495.0,6854.0,7237.0,7508.0,7887.0,8320.0,8605.0,8878.0,9036.0,9293.0,9465.0,9743.0,10574.0,10735.0,11009.0,11328.0,12007.0,12249.0,12752.0,13198.0,13620.0,14141.0,14383.0,14717.0,14962.0,15245.0,15487.0,15821.0,16064.0,16223.0,16643.0,16892.0,17404.0,17657.0,17916.0,18461.0,18704.0,18859.0,19189.0,19431.0,19593.0,19758.0
Episode reward,0.0,-65.0872092557409,65.6801000497078,74.17660359610673,85.47222434097507,62.98971394903531,86.23207313158338,81.65845135667355,86.74537825714098,83.59805287849578,56.314565821367914,63.35536420866839,91.57718875858481,91.75785588386341,88.68799967288821,85.09797525000101,85.36181819281123,76.14187696992134,75.47582091406122,85.17433205939393,81.47309581383001,78.07788419473053,83.63766347252727,83.08258653441857,91.08113290672954,87.80434696757244,90.68863078724992,86.79122935388745,55.15807087239321,92.04554604438776,85.82905500766937,90.8133976536732,58.209831458888594,85.44658436597192,68.96597194398845,73.04063935270644,74.7202948387068,67.8829707916685,85.44066265006273,79.92339258870152,84.76326911995676,82.00039095967907,85.5523651722491,79.1164682945327,85.03139865925625,89.65924589196315,73.73580889084474,85.13180892908352,68.57222922341509,84.80633241792717,84.27187295737812,65.68983909878438,85.53543120933739,90.11588369658384,79.95017547993766,85.53620673282101,89.33083675794563,89.01234314758354
Episode feedback,0.8,0.15831663310789917,0.31051752869696575,0.11018710995803095,0.06985294091965831,0.03084415579408416,0.038314176098413116,0.0423728812362348,0.05741626766786475,0.04942965760673134,0.027027026993824293,0.009677419339229968,0.012820512738330047,0.006578947325138505,0.011428571363265307,0.011718749954223633,0.011904761857520787,0.01396648040791486,0.023560209362407828,0.0037037036899862825,0.007936507915511884,0.004629629618912895,0.007042253496330093,0.0073529411494377165,0.0,0.015624999938964844,0.005847953182175712,0.0036101082902162155,0.004819277102627377,0.0,0.0036630036495860674,0.0031446540781614653,0.0014749262515119082,0.0,0.0,0.0022471910061860876,0.002375296906471979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,63.26731872558594,109.35021376609802,137.07778573036194,150.67605423927307,179.45318865776062,192.52747106552124,210.05576181411743,220.97687315940857,234.26264071464539,273.3703739643097,303.6375222206116,312.38714027404785,320.7455451488495,330.15805292129517,343.6707396507263,357.1583752632141,375.98101925849915,395.31999683380127,409.37532806396484,429.06444334983826,451.2087585926056,466.1293954849243,480.4675545692444,489.175377368927,502.65575647354126,512.0629198551178,526.717312335968,568.5291526317596,577.4721417427063,591.9774460792542,608.7584273815155,643.2379298210144,656.138112783432,681.9541728496552,704.9003405570984,726.5060577392578,752.6821765899658,765.610356092453,782.771087884903,795.8051221370697,810.942625284195,823.9482870101929,841.3435773849487,854.2963120937347,863.1900889873505,884.946266412735,898.109955072403,924.2671506404877,937.8009469509125,951.3474309444427,978.5684175491333,991.3769571781158,999.7897818088531,1016.256590127945,1028.2098979949951,1036.6850395202637,1045.3981244564056
total minutes,0.0,1.054455312093099,1.8225035627683004,2.284629762172699,2.5112675706545513,2.990886477629344,3.208791184425354,3.500929363568624,3.682947885990143,3.90437734524409,4.556172899405161,5.060625370343526,5.206452337900798,5.345759085814158,5.502634215354919,5.727845660845438,5.952639587720236,6.266350320974985,6.588666613896688,6.822922134399414,7.151074055830637,7.520145976543427,7.7688232580820715,8.007792576154072,8.152922956148783,8.377595941225687,8.534381997585296,8.778621872266134,9.475485877195995,9.624535695711772,9.86629076798757,10.145973789691926,10.720632163683574,10.9356352130572,11.365902880827585,11.748339009284972,12.108434295654297,12.544702943166097,12.760172601540884,13.046184798081716,13.263418702284495,13.515710421403249,13.73247145016988,14.022392956415812,14.238271868228912,14.386501483122508,14.74910444021225,14.968499251206715,15.404452510674794,15.630015782515208,15.855790515740713,16.30947362581889,16.52294928630193,16.66316303014755,16.93760983546575,17.13683163324992,17.278083992004394,17.423302074273426
cummulative feedback,0.0,158.0,344.0,397.0,416.0,435.0,445.0,460.0,472.0,485.0,507.0,513.0,515.0,516.0,518.0,521.0,524.0,529.0,538.0,539.0,542.0,544.0,546.0,548.0,548.0,552.0,553.0,554.0,558.0,558.0,559.0,560.0,561.0,561.0,561.0,562.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,599.0,481.0,272.0,616.0,261.0,354.0,209.0,263.0,814.0,620.0,156.0,152.0,175.0,256.0,252.0,358.0,382.0,270.0,378.0,432.0,284.0,272.0,157.0,256.0,171.0,277.0,830.0,160.0,273.0,318.0,678.0,241.0,502.0,445.0,421.0,520.0,241.0,333.0,244.0,282.0,241.0,333.0,242.0,158.0,419.0,248.0,511.0,252.0,258.0,544.0,242.0,154.0,329.0,241.0,161.0,164.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
