,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
Accumulated time steps,0.0,928.0,1298.0,1459.0,1733.0,2097.0,2362.0,2893.0,3159.0,3420.0,3680.0,4143.0,4417.0,5034.0,5402.0,5561.0,5712.0,6164.0,6325.0,6591.0,6868.0,7218.0,7478.0,7821.0,8249.0,8512.0,8774.0,9150.0,9412.0,9658.0,9926.0,10171.0,10710.0,11042.0,11372.0,11620.0,12039.0,12280.0,12434.0,12588.0,12745.0,12915.0,13173.0,13331.0,13751.0,13996.0,14242.0,14408.0,14652.0,15091.0,15293.0,15455.0,15890.0,16158.0,16408.0,16694.0,17128.0,17391.0,17640.0,17911.0,18176.0,18537.0,18786.0,18949.0,19395.0,19661.0,19910.0
Episode reward,0.0,49.493295826853696,80.49051348644295,91.32868852590789,86.34296083115176,81.6013035439855,86.74566076005115,70.68689081378477,85.67991040302554,86.29762764235207,86.3769045039758,74.1903903601203,84.98301185829044,67.19312657364594,80.30297495255009,90.56806732177179,91.00433810078765,74.46388142164332,91.10924048692742,86.48166606603763,83.68097221778254,80.91993241882994,85.40105839949297,79.55722557214854,77.92642273209435,86.41568685962656,88.02169117040856,76.96696683054233,85.27880253919497,86.29845664546971,83.86265346373054,86.10961243406439,74.77302765007713,80.90127642340806,80.97848623268405,85.73846036716716,75.69581929982314,86.0814993269862,90.53937645987587,90.52203449242417,90.18982617616285,88.83391887443135,84.8657013787721,90.07379916448724,75.63995497507462,85.31632567048112,85.19956401048273,89.2398830688871,87.24960528723388,81.80547998353357,88.18177598987089,91.93928569891027,82.0973192179419,86.09027076966422,88.78579564344197,84.12943241407334,82.1220081668528,87.13160166626027,89.02464076664799,85.71201072737227,86.91419903290715,82.77126408653558,89.05977299137855,91.85978843701325,80.57162459014539,86.81180962730097,89.0260964669565
Episode feedback,0.8,0.3304535633580415,0.12466124627463077,0.0812499994921875,0.14652014598344268,0.0550964185810016,0.060606060376492195,0.04716981123175507,0.08679245250267,0.03846153831360947,0.04633204615315813,0.041125541036524806,0.03663003649586067,0.016233766207412716,0.016348773797414784,0.0253164555359718,0.013333333244444445,0.0044345897906106655,0.006249999960937501,0.018867924457102173,0.014492753570678429,0.020057306532787086,0.011583011538289532,0.014619882998187476,0.004683840738445338,0.0038167938785618554,0.0076628352196826234,0.005333333319111111,0.0038314176098413117,0.004081632636401499,0.0,0.004098360638941145,0.0018587360560246543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004115226320513472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,71.54059553146362,93.0786383152008,101.88409423828125,118.18981862068176,136.339035987854,149.5577564239502,176.21292424201965,190.41377472877502,203.68421745300293,217.15144181251526,239.57317352294922,253.80434393882751,284.3665883541107,302.8258183002472,311.60737442970276,319.85922169685364,342.56090688705444,351.23121452331543,364.8155438899994,379.3179349899292,397.67297410964966,411.46562242507935,429.30649995803833,451.4380712509155,465.1942961215973,478.93823289871216,498.3238320350647,512.0044796466827,525.1282839775085,539.325318813324,552.1532776355743,578.5780732631683,595.4878098964691,612.394129037857,625.5752074718475,646.5670032501221,658.9137620925903,667.1366751194,675.4830031394958,683.9207198619843,693.1283009052277,706.7025640010834,715.0019381046295,735.7108387947083,748.1451525688171,760.7975075244904,769.6350357532501,782.2422633171082,804.4628887176514,815.3186185359955,824.1955213546753,846.5056025981903,860.6449420452118,873.4669864177704,888.4588432312012,910.5537858009338,924.3823499679565,937.7268719673157,952.028133392334,965.8279049396515,983.7723298072815,996.6070141792297,1005.482129573822,1027.9724342823029,1042.1151616573334,1055.50808095932
total minutes,0.0,1.192343258857727,1.5513106385866802,1.6980682373046876,1.9698303103446961,2.2723172664642335,2.4926292737325033,2.9368820707003276,3.1735629121462505,3.394736957550049,3.6191906968752545,3.992886225382487,4.230072398980458,4.739443139235179,5.047096971670786,5.193456240495046,5.3309870282808935,5.7093484481175745,5.85385357538859,6.0802590648333235,6.321965583165487,6.627882901827494,6.857760373751322,7.155108332633972,7.523967854181925,7.753238268693289,7.982303881645203,8.305397200584412,8.533407994111379,8.75213806629181,8.9887553135554,9.202554627259572,9.642967887719472,9.924796831607818,10.206568817297617,10.426253457864126,10.776116720835368,10.981896034876506,11.118944585323334,11.258050052324931,11.398678664366404,11.552138348420462,11.778376066684723,11.916698968410492,12.261847313245138,12.469085876146952,12.679958458741506,12.827250595887502,13.037371055285137,13.407714811960856,13.588643642266591,13.736592022577922,14.108426709969839,14.344082367420196,14.55778310696284,14.807647387186686,15.175896430015564,15.406372499465942,15.628781199455261,15.8671355565389,16.09713174899419,16.396205496788024,16.610116902987162,16.758035492897033,17.132873904705047,17.36858602762222,17.591801349322
cummulative feedback,0.0,306.0,352.0,365.0,405.0,425.0,441.0,466.0,489.0,499.0,511.0,530.0,540.0,550.0,556.0,560.0,562.0,564.0,565.0,570.0,574.0,581.0,584.0,589.0,591.0,592.0,594.0,596.0,597.0,598.0,598.0,599.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,601.0,601.0,601.0,601.0,601.0,601.0,601.0,601.0,601.0,601.0,601.0,601.0,601.0,601.0,601.0,601.0,601.0,601.0,601.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,926.0,369.0,160.0,273.0,363.0,264.0,530.0,265.0,260.0,259.0,462.0,273.0,616.0,367.0,158.0,150.0,451.0,160.0,265.0,276.0,349.0,259.0,342.0,427.0,262.0,261.0,375.0,261.0,245.0,267.0,244.0,538.0,331.0,329.0,247.0,418.0,240.0,153.0,153.0,156.0,169.0,257.0,157.0,419.0,244.0,245.0,165.0,243.0,438.0,201.0,161.0,434.0,267.0,249.0,285.0,433.0,262.0,248.0,270.0,264.0,360.0,248.0,162.0,445.0,265.0,248.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
