,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Accumulated time steps,0.0,621.0,877.0,1267.0,1835.0,2008.0,2283.0,3282.0,3542.0,3718.0,4074.0,4334.0,4603.0,4958.0,5221.0,5748.0,6307.0,6670.0,6988.0,7142.0,7515.0,7807.0,8243.0,8789.0,8950.0,9107.0,9552.0,9905.0,10239.0,10515.0,10785.0,10945.0,11545.0,11792.0,12039.0,12294.0,12662.0,13038.0,13310.0,13566.0,13825.0,14091.0,14263.0,14521.0,14680.0,14850.0,15139.0,15299.0,15650.0,15929.0,16187.0,16542.0,16896.0,17169.0,17438.0,17896.0,18247.0,18413.0,18765.0,19123.0,19399.0,19660.0,19819.0
Episode reward,0.0,62.721110572167746,86.64277622653508,77.22418424858392,67.00229261587424,88.61983014383065,84.31284058825241,-57.69790469281749,85.60156119381342,89.28345525313702,81.54205307037114,86.3265097098997,85.30182050368248,80.47016230734064,84.94907007608123,71.60346342866657,70.3620556461238,80.82487269955567,79.72059727525333,91.2732107545581,77.52074473379878,83.0287138551596,74.4561326794889,72.51204269418983,91.26710800956442,91.60345197519956,77.54556150176177,78.63457107798384,80.06140451921394,84.11386840218259,84.98561993661629,91.53930743409228,61.70376432690814,84.91860961383672,84.92788594943224,85.80290003308218,80.35376384343587,79.42775380276123,84.57967770074654,87.18155715767115,87.21735832691802,86.58412149024198,90.54882516968539,87.29090371182672,91.56071426580647,90.73914397591435,82.7067274711672,91.5099755478918,82.90372799239685,83.75239399310514,87.30605593599749,82.26794832538035,82.86854018234682,84.46157269689533,86.29429684278016,76.84792194832885,83.09910151113606,91.08859562735928,82.77534073890357,81.90069386929832,84.08313511056767,86.3824266562235,91.54962178524394
Episode feedback,0.8,0.28432956335326404,0.06274509779315648,0.0668380461006734,0.08112874765233025,0.06976744145484046,0.043795620278118175,0.01903807613322838,0.05405405384535114,0.05714285681632653,0.056338028010315414,0.038610038460965106,0.022388059617955,0.02259886999265856,0.019083969392809277,0.009505703403981552,0.012544802844901786,0.008287292794786485,0.01577287061270388,0.013071895339399377,0.01344086017892242,0.01718213052514732,0.013793103416567578,0.007339449527817524,0.0,0.0,0.004504504494359224,0.0028409090828383264,0.003003002993984976,0.0,0.0,0.0,0.0016694490790159448,0.0,0.0,0.003937007858515717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,45.14496660232544,58.412667989730835,78.92587661743164,111.10261821746826,120.18581366539001,133.66891646385193,181.87270522117615,195.0458562374115,204.25441789627075,222.2412121295929,235.89857125282288,249.51634621620178,267.966246843338,281.4674172401428,307.83766627311707,335.82515048980713,354.38409185409546,370.8995430469513,379.41244411468506,398.63580107688904,413.89212346076965,436.09298372268677,463.9730079174042,472.9427444934845,481.72045946121216,503.99471616744995,522.1518666744232,539.1127560138702,553.2042508125305,567.0082011222839,575.8291628360748,605.2312412261963,617.7067639827728,630.3710021972656,643.4310793876648,661.9083077907562,680.5717186927795,694.5672163963318,707.5649387836456,721.1624794006348,734.9886860847473,744.2365441322327,757.7305355072021,766.3772261142731,775.421364068985,790.4779839515686,799.2963182926178,817.6035988330841,832.0135183334351,845.3400092124939,863.0663738250732,881.1807322502136,895.1832435131073,909.0250771045685,932.2681031227112,950.3504602909088,959.3444395065308,977.6197447776794,996.1091575622559,1010.4353070259094,1024.1310827732086,1033.0251047611237
total minutes,0.0,0.7524161100387573,0.973544466495514,1.315431276957194,1.851710303624471,2.003096894423167,2.2278152743975324,3.0312117536862693,3.250764270623525,3.404240298271179,3.7040202021598816,3.9316428542137145,4.15860577027003,4.466104114055634,4.691123620669047,5.1306277712186175,5.597085841496786,5.906401530901591,6.181659050782522,6.323540735244751,6.643930017948151,6.8982020576794945,7.268216395378113,7.73288346529007,7.882379074891408,8.028674324353537,8.399911936124166,8.702531111240386,8.98521260023117,9.220070846875508,9.4501366853714,9.59715271393458,10.087187353769938,10.295112733046214,10.506183369954426,10.723851323127747,11.031805129845937,11.342861978212992,11.576120273272197,11.792748979727428,12.019374656677247,12.249811434745789,12.403942402203878,12.62884225845337,12.772953768571218,12.92368940114975,13.174633065859476,13.321605304876963,13.626726647218069,13.866891972223918,14.089000153541566,14.38443956375122,14.686345537503561,14.919720725218456,15.150417951742808,15.537801718711853,15.839174338181813,15.989073991775513,16.293662412961325,16.601819292704263,16.840588450431824,17.068851379553475,17.21708507935206
cummulative feedback,0.0,176.0,192.0,218.0,264.0,276.0,288.0,307.0,321.0,331.0,351.0,361.0,367.0,375.0,380.0,385.0,392.0,395.0,400.0,402.0,407.0,412.0,418.0,422.0,422.0,422.0,424.0,425.0,426.0,426.0,426.0,426.0,427.0,427.0,427.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,619.0,255.0,389.0,567.0,172.0,274.0,998.0,259.0,175.0,355.0,259.0,268.0,354.0,262.0,526.0,558.0,362.0,317.0,153.0,372.0,291.0,435.0,545.0,160.0,156.0,444.0,352.0,333.0,275.0,269.0,159.0,599.0,246.0,246.0,254.0,367.0,375.0,271.0,255.0,258.0,265.0,171.0,257.0,158.0,169.0,288.0,159.0,350.0,278.0,257.0,354.0,353.0,272.0,268.0,457.0,350.0,165.0,351.0,357.0,275.0,260.0,158.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
