,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Accumulated time steps,0.0,1000.0,1973.0,2972.0,3132.0,3609.0,3998.0,4288.0,4555.0,5449.0,6448.0,6818.0,7086.0,7531.0,8152.0,8421.0,8765.0,9017.0,9285.0,9631.0,10077.0,10428.0,10779.0,11173.0,11509.0,11787.0,12070.0,12439.0,12714.0,13076.0,13351.0,13881.0,14135.0,14382.0,14654.0,14994.0,15259.0,15803.0,16159.0,16437.0,16997.0,17284.0,17672.0,17943.0,18202.0,18556.0,19097.0,19450.0,19731.0
Episode reward,0.0,-72.19761957619858,45.6056487688372,-60.612542500829534,89.86153358238374,72.47150808712513,79.61237149871963,83.5251280533392,85.62742226466058,48.67754641958763,-58.80266199550269,80.41421074380298,83.5102120037475,75.92345646462651,61.14194310676116,84.99904970105564,81.30210866213922,85.91515429209092,86.04758582213796,81.35251146351278,77.20694377250595,82.51017652721607,81.29689659749482,77.84143722375642,79.257492109553,85.61102149522928,88.08682722655278,85.60544486393962,85.96357419433264,83.58513181204793,87.3075988526892,86.78668603032766,85.20368285692278,85.57491933526917,83.62571425295089,80.2260902119878,84.93837534663876,77.38476939560373,84.2241197231074,85.6395869765997,75.8875311420974,84.37735594583542,80.2446527420689,87.33494842911402,88.11832255901152,84.73540498679311,77.53985865524301,84.79223591777807,85.31467780840399
Episode feedback,0.8,0.01803607212621636,0.18930041132788022,0.01102204407713222,0.02515723254618093,0.05042016796130217,0.061855669943670956,0.04152249120580453,0.030075187856860197,0.015677491583787805,0.01903807613322838,0.027100270929267558,0.018726591690162577,0.015765765730257283,0.006451612892819979,0.0074626865393183335,0.0,0.0,0.007490636676065031,0.0,0.00898876402474435,0.005714285697959184,0.005714285697959184,0.0025445292556118848,0.0,0.007220216580432431,0.0,0.008152173890890832,0.0,0.0,0.0036496350231765146,0.0037807183293370166,0.0,0.0,0.0,0.0,0.003787878773530762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,49.401062965393066,113.87701487541199,161.03752946853638,169.39812469482422,193.59224843978882,213.64891839027405,228.30837392807007,242.28041100502014,285.44305968284607,334.4787209033966,353.50824451446533,367.4524712562561,389.49751496315,420.062771320343,433.6795518398285,450.72551131248474,463.7577965259552,477.61872386932373,495.02534675598145,516.9791712760925,534.5632603168488,552.5677201747894,572.4234507083893,589.1377601623535,602.9659907817841,617.3672225475311,635.9562458992004,650.4596457481384,668.6631417274475,682.8831994533539,709.943642616272,723.2785587310791,736.1959555149078,750.0336902141571,767.735714673996,781.8920924663544,809.8415620326996,827.9444596767426,842.0731389522552,870.4491214752197,885.5888292789459,905.8423030376434,919.9543845653534,933.4578649997711,951.4072523117065,979.0372705459595,997.0722281932831,1011.2695925235748
total minutes,0.0,0.8233510494232178,1.897950247923533,2.683958824475606,2.82330207824707,3.2265374739964803,3.5608153065045673,3.8051395654678344,4.038006850083669,4.757384328047435,5.574645348389944,5.8918040752410885,6.124207854270935,6.491625249385834,7.001046188672384,7.227992530663808,7.512091855208079,7.72929660876592,7.960312064488729,8.250422445933024,8.616319521268208,8.90938767194748,9.209462002913158,9.540390845139822,9.818962669372558,10.0494331796964,10.28945370912552,10.599270764986674,10.840994095802307,11.144385695457458,11.381386657555899,11.832394043604532,12.054642645517985,12.269932591915131,12.500561503569285,12.7955952445666,13.03153487443924,13.49735936721166,13.799074327945709,14.03455231587092,14.507485357920329,14.759813821315765,15.097371717294058,15.332573076089224,15.557631083329518,15.856787538528442,16.31728784243266,16.61787046988805,16.854493208726247
cummulative feedback,0.0,18.0,202.0,213.0,217.0,241.0,265.0,277.0,285.0,299.0,318.0,328.0,333.0,340.0,344.0,346.0,346.0,346.0,348.0,348.0,352.0,354.0,356.0,357.0,357.0,359.0,359.0,362.0,362.0,362.0,363.0,365.0,365.0,365.0,365.0,365.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,972.0,998.0,159.0,476.0,388.0,289.0,266.0,893.0,998.0,369.0,267.0,444.0,620.0,268.0,343.0,251.0,267.0,345.0,445.0,350.0,350.0,393.0,335.0,277.0,282.0,368.0,274.0,361.0,274.0,529.0,253.0,246.0,271.0,339.0,264.0,543.0,355.0,277.0,559.0,286.0,387.0,270.0,258.0,353.0,540.0,352.0,280.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
