,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7993.0,8882.0,9409.0,9899.0,10162.0,11161.0,11698.0,12048.0,12542.0,12933.0,13306.0,13765.0,14713.0,15332.0,15597.0,16036.0,16392.0,17169.0,17698.0,18147.0,18842.0,19213.0,19649.0
Episode reward,0.0,-71.2333140345809,-72.82831106702889,-63.762653334914816,-72.638350345891,-65.13036626189596,-65.76689822552814,-74.89823062477733,-51.241119761482786,43.816119829069294,71.67126650467031,74.82478403162636,86.80277705887137,-67.84496417310757,63.73746905701427,75.0196649237325,76.40072195624613,86.66641572702231,82.93083713152065,79.78626215783542,36.77397544550916,59.034648788006095,81.73924252973748,70.49880688576104,76.32821818004592,48.3730148111392,64.39565475730039,70.17989669147943,54.057135427753195,74.24847025108092,71.15603063070691
Episode feedback,0.8,0.01102204407713222,0.00400801602804808,0.00901803606310818,0.07014028049084141,0.01703406811920434,0.048096192336576964,0.0030060120210360602,0.02104208414725242,0.007882882874005763,0.009505703403981552,0.010224948854345708,0.007633587757123711,0.00100200400701202,0.003731343276620628,0.0,0.006085192685425573,0.005128205115055884,0.0,0.0021834061087698557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,48.44088339805603,96.92642259597778,145.37344336509705,202.01601839065552,250.0348973274231,304.9997878074646,354.5739002227783,404.41404914855957,447.2768003940582,473.4397609233856,498.26797676086426,512.0955574512482,559.9584486484528,585.9215664863586,603.4875266551971,628.1494388580322,647.9592885971069,667.0573425292969,690.1125407218933,736.5853826999664,767.1608974933624,781.3526055812836,803.7598159313202,822.0161557197571,859.8579626083374,886.3035595417023,909.1630854606628,944.1017062664032,963.395033121109,985.0949199199677
total minutes,0.0,0.8073480566342671,1.6154403765996297,2.4228907227516174,3.3669336398442584,4.167248288790385,5.083329796791077,5.909565003712972,6.740234152475993,7.454613339900971,7.890662682056427,8.304466279347738,8.534925957520803,9.332640810807545,9.76535944143931,10.058125444253285,10.469157314300537,10.799321476618449,11.117622375488281,11.501875678698221,12.27642304499944,12.786014958222706,13.022543426354726,13.39599693218867,13.70026926199595,14.33096604347229,14.771725992361704,15.152718091011048,15.735028437773387,16.056583885351817,16.418248665332793
cummulative feedback,0.0,11.0,15.0,24.0,94.0,111.0,159.0,162.0,183.0,190.0,195.0,200.0,202.0,203.0,205.0,205.0,208.0,210.0,210.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,888.0,526.0,489.0,262.0,998.0,536.0,349.0,493.0,390.0,372.0,458.0,947.0,618.0,264.0,438.0,355.0,776.0,528.0,448.0,694.0,370.0,435.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
