,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Accumulated time steps,0.0,681.0,1101.0,1434.0,1952.0,2194.0,2436.0,2939.0,3179.0,3503.0,3777.0,4110.0,4269.0,4612.0,5000.0,5514.0,5679.0,5937.0,6285.0,6726.0,6896.0,7237.0,7480.0,7732.0,8013.0,8267.0,8520.0,8945.0,9235.0,9484.0,9738.0,9904.0,10074.0,10327.0,10761.0,10940.0,11218.0,11603.0,12002.0,12293.0,12675.0,12849.0,13334.0,13614.0,13787.0,14059.0,14440.0,14716.0,15098.0,15677.0,16155.0,16331.0,16912.0,17750.0,17922.0,18297.0
Episode reward,0.0,63.04811756705714,76.66554213118354,76.63990013083664,65.2965925273123,84.11672839416778,85.39278514457577,69.60273267808056,86.17264656879667,82.41032370889862,83.2457588624355,82.27699794875218,91.50226543661333,79.08496923069725,75.94119865601793,67.84701244392093,89.25623730465793,83.75069322179513,79.562834820854,73.96947131105082,91.72269159933275,80.90573791598847,83.67958001209182,86.65042699455269,83.80365496612846,86.45347321915219,86.55227582804419,78.0463693488636,82.93564099122682,86.94036474779347,86.18049325554709,90.20339446510155,89.79903959339919,86.07197978938896,76.69348179780656,88.90167287730262,86.7646071871846,83.22366331775598,83.90188487067127,83.96710144837454,82.86390644622514,91.37949492078367,80.04851640255717,86.51521896855931,91.38065278023907,88.16570096825355,83.81792990137015,88.51463833102093,82.89480697710954,78.81108207250398,81.63933984781158,91.26568349111385,78.39381968421236,71.62544922547737,91.44296077136416,85.09822246078379
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,29.046780586242676,47.794291257858276,63.417328119277954,87.57625579833984,98.71300101280212,110.12987565994263,132.71158075332642,144.16130447387695,159.18700885772705,172.00898623466492,187.44090700149536,195.1882996559143,211.07570242881775,228.74082803726196,251.81640481948853,259.7752146720886,271.85572052001953,287.76327085494995,307.66969203948975,315.91636514663696,331.3609764575958,342.8501546382904,354.53280878067017,367.49323058128357,379.27317214012146,391.0270252227783,409.8831605911255,423.170361995697,434.9579875469208,446.78913855552673,454.5833396911621,462.7177233695984,474.51105856895447,493.8966574668884,502.60089111328125,515.4101448059082,532.65136551857,550.5506873130798,564.1627652645111,581.5026445388794,589.869978427887,611.7967457771301,624.8681049346924,633.1595861911774,645.617931842804,663.0545771121979,676.0306375026703,693.9462285041809,719.6852588653564,740.9000282287598,749.4749097824097,775.8245849609375,813.4347035884857,821.7523899078369,839.0079033374786
total minutes,0.0,0.48411300977071126,0.7965715209643046,1.0569554686546325,1.459604263305664,1.6452166835467021,1.8354979276657104,2.211859679222107,2.402688407897949,2.653116814295451,2.8668164372444154,3.1240151166915893,3.2531383275985717,3.5179283738136293,3.812347133954366,4.196940080324809,4.329586911201477,4.530928675333659,4.796054514249166,5.127828200658162,5.265272752443949,5.52268294095993,5.714169243971507,5.908880146344503,6.124887176354727,6.321219535668691,6.517117087046305,6.831386009852092,7.0528393665949505,7.24929979244868,7.446485642592112,7.576388994852702,7.711962056159973,7.908517642815908,8.231610957781474,8.376681518554687,8.59016908009847,8.877522758642833,9.17584478855133,9.402712754408519,9.691710742314656,9.831166307131449,10.196612429618835,10.414468415578206,10.552659769852957,10.760298864046733,11.05090961853663,11.267177291711171,11.565770475069682,11.994754314422607,12.348333803812663,12.491248496373494,12.930409749348959,13.557245059808094,13.695873165130616,13.983465055624643
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,679.0,419.0,332.0,517.0,241.0,241.0,502.0,239.0,323.0,273.0,332.0,158.0,342.0,387.0,513.0,164.0,257.0,347.0,440.0,169.0,340.0,242.0,251.0,280.0,253.0,252.0,424.0,289.0,248.0,253.0,165.0,169.0,252.0,433.0,178.0,277.0,384.0,398.0,290.0,381.0,173.0,484.0,279.0,172.0,271.0,380.0,275.0,381.0,578.0,477.0,175.0,580.0,837.0,171.0,374.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
