,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
Accumulated time steps,0.0,354.0,774.0,1085.0,1296.0,1549.0,1954.0,2207.0,2369.0,2859.0,3019.0,3280.0,3528.0,3865.0,4019.0,4286.0,4437.0,4590.0,4929.0,5084.0,5432.0,5930.0,6098.0,6465.0,6797.0,6952.0,7328.0,7494.0,7831.0,7997.0,8275.0,8605.0,8941.0,9189.0,9536.0,9792.0,10045.0,10202.0,10462.0,10749.0,11146.0,11611.0,11903.0,12178.0,12337.0,12498.0,12942.0,13197.0,13548.0,14041.0,14399.0,14676.0,15047.0,15396.0,15747.0,16117.0,16562.0,16924.0,17184.0,17642.0,17908.0,18078.0,18237.0,18396.0,18652.0,18869.0,19222.0,19485.0,19752.0
Episode reward,0.0,74.87025449377643,88.56337333210134,80.03970566509835,85.61526400658227,90.52079342713995,79.57403565157784,87.74655389096591,91.99209733404577,69.42287449154693,92.54893237846237,85.28729502938084,87.36027963281434,84.79569302877304,92.35858583034685,86.35063622617207,90.82503039471922,90.81239507245328,81.33458580759077,90.9479675160141,78.31333496581226,66.5207096308387,90.85061160336943,80.90766291987241,79.06110098564994,90.29417935231014,82.13939007691484,90.14026440595316,78.77078323346119,90.5147187866016,81.51343813233245,76.71958262069853,76.69701348705806,83.92986834518285,75.30212676839099,85.99450652420563,86.52346454941522,91.18106024025101,85.46919746795481,82.15527197136493,84.23034630678711,72.80319696163741,81.34969408917038,83.15259643703547,90.85698845096155,90.86587003291498,75.18170047882933,86.0304996299582,80.63541553586896,69.81274489500662,79.88168935694759,82.9147562143711,77.93809494673567,80.83959253271553,80.4595236560319,78.05098400802095,75.05355890023034,79.13598478153668,85.20667303164075,73.56318419370572,84.45361663535488,90.0343660325895,90.80095887307257,90.96587499056578,85.8080441420929,85.37365078654416,80.21339563832925,84.82507204338597,84.33976378433356
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,14.366063833236694,32.32235932350159,46.20635366439819,55.7239453792572,67.36492252349854,85.04606699943542,96.30097794532776,103.91967225074768,125.53603005409241,133.16617393493652,145.02765893936157,156.3722002506256,172.281507730484,180.09118700027466,191.8759458065033,199.07968926429749,206.26122093200684,221.37316370010376,228.5771119594574,243.92716884613037,265.4902148246765,273.37194442749023,289.4051775932312,304.21407985687256,311.6286087036133,328.1120162010193,335.8725790977478,351.0058100223541,358.85352325439453,371.2222077846527,385.9139199256897,400.8727173805237,412.141713142395,427.84445118904114,439.66607880592346,451.20481300354004,458.7696108818054,470.7346317768097,483.74025297164917,501.1463887691498,521.4561207294464,534.7509772777557,547.1187052726746,554.7871794700623,562.4457955360413,581.9842410087585,593.5402574539185,608.9815220832825,630.6468305587769,646.7026257514954,659.1500685214996,675.6110754013062,691.3888647556305,706.9274439811707,723.493234872818,742.8708157539368,758.8842208385468,770.7983922958374,790.9262714385986,802.7699961662292,810.6957316398621,818.231481552124,825.7727575302124,837.2879695892334,847.348949432373,862.8911516666412,874.6441950798035,886.5530848503113
total minutes,0.0,0.23943439722061158,0.5387059887250264,0.7701058944066366,0.92873242298762,1.1227487087249757,1.4174344499905904,1.605016299088796,1.7319945375124612,2.092267167568207,2.2194362322489423,2.4171276489893594,2.606203337510427,2.8713584621747335,3.001519783337911,3.1979324301083882,3.3179948210716246,3.4376870155334474,3.689552728335063,3.8096185326576233,4.065452814102173,4.424836913744609,4.556199073791504,4.823419626553854,5.07023466428121,5.193810145060222,5.468533603350322,5.597876318295797,5.850096833705902,5.980892054239908,6.187036796410879,6.431898665428162,6.681211956342062,6.86902855237325,7.1307408531506855,7.3277679800987245,7.520080216725668,7.646160181363424,7.8455771962801615,8.062337549527486,8.352439812819163,8.690935345490773,8.912516287962596,9.11864508787791,9.246452991167704,9.374096592267355,9.699737350145975,9.892337624231974,10.149692034721374,10.510780509312948,10.778377095858255,10.985834475358327,11.260184590021769,11.523147745927174,11.782124066352845,12.058220581213634,12.381180262565612,12.648070347309112,12.84663987159729,13.182104523976644,13.379499936103821,13.511595527331034,13.637191359202067,13.762879292170206,13.95479949315389,14.12248249053955,14.38151919444402,14.577403251330058,14.775884747505188
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,352.0,419.0,310.0,210.0,252.0,404.0,252.0,161.0,489.0,159.0,260.0,247.0,336.0,153.0,266.0,150.0,152.0,338.0,154.0,347.0,497.0,167.0,366.0,331.0,154.0,375.0,165.0,336.0,165.0,277.0,329.0,335.0,247.0,346.0,255.0,252.0,156.0,259.0,286.0,396.0,464.0,291.0,274.0,158.0,160.0,443.0,254.0,350.0,492.0,357.0,276.0,370.0,348.0,350.0,369.0,444.0,361.0,259.0,457.0,265.0,169.0,158.0,158.0,255.0,216.0,352.0,262.0,266.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
