,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
Accumulated time steps,0.0,1000.0,1998.0,2997.0,3996.0,4417.0,5214.0,5557.0,5908.0,6165.0,6436.0,6864.0,7239.0,7666.0,8182.0,8522.0,9040.0,9392.0,9739.0,9994.0,10434.0,10687.0,10984.0,11686.0,11939.0,12248.0,12953.0,13351.0,13703.0,14145.0,14792.0,15157.0,15604.0,15869.0,16479.0,16817.0,17170.0,17430.0,17889.0,18245.0,18513.0,18975.0,19522.0,19996.0
Episode reward,0.0,-69.07239545956183,45.4464961736204,-75.06373466070025,-72.56443841806566,81.17852460498673,80.75703919551201,79.86173327827451,80.40869244661533,85.93191473956338,90.3339336613672,73.88649996140325,83.11976637010501,77.19379934931308,72.0271989637307,81.512826259013,71.5483364739991,80.61813421155215,81.28677536445512,86.0443553255514,77.477791813928,87.18661794555854,82.55524572433531,55.88648935816571,84.54926336431699,88.01408688689926,80.14697094905961,79.2406606133365,84.5369476611322,80.96942726443754,85.93562913189432,78.18398353817756,73.51778819924671,84.26619049974353,63.891031545314775,80.2960089250134,84.78797713765054,88.26333927382495,79.51647644740291,84.62359448922734,87.61298728176945,79.17166156311193,76.61768720451433,77.68340535879327
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,40.52181077003479,82.06724977493286,125.60835313796997,167.25160336494446,3209.088814496994,3243.4337487220764,3259.2438468933105,3275.5418784618378,3287.4786264896393,3300.051734685898,3319.133186340332,3335.8606588840485,3354.9739711284637,3379.746460199356,3395.8060386180878,3419.4530251026154,3435.4032669067383,3451.2640011310577,3463.8722982406616,3484.285339832306,3496.821140527725,3510.848537683487,3542.941419363022,3554.760282754898,3569.361638069153,3600.451429128647,3618.4732563495636,3634.577332496643,3654.475452184677,3683.2860140800476,3699.6588871479034,3719.5997920036316,3731.80739736557,3759.246584892273,3774.6331417560577,3791.4677090644836,3804.2031795978546,3825.7149171829224,3842.1976766586304,3855.3653495311737,3875.435470342636,3899.6923854351044,3921.671674966812
total minutes,0.0,0.6753635128339132,1.367787496248881,2.0934725522994997,2.787526722749074,53.484813574949904,54.05722914536794,54.32073078155518,54.59236464103063,54.79131044149399,55.00086224476497,55.31888643900553,55.597677648067474,55.916232852141064,56.32910766998927,56.596767310301466,56.99088375171026,57.256721115112306,57.52106668551763,57.731204970677695,58.07142233053843,58.28035234212875,58.514142294724785,59.049023656050366,59.24600471258164,59.489360634485884,60.00752381881078,60.30788760582606,60.57628887494405,60.907924203077954,61.38810023466746,61.66098145246506,61.993329866727194,62.196789956092836,62.65410974820455,62.91055236260096,63.19112848440806,63.40338632663091,63.76191528638204,64.03662794431051,64.2560891588529,64.59059117237727,64.99487309058507,65.3611945827802
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,997.0,998.0,998.0,420.0,796.0,342.0,350.0,256.0,270.0,427.0,374.0,426.0,515.0,339.0,517.0,351.0,346.0,254.0,439.0,252.0,296.0,701.0,252.0,308.0,704.0,397.0,351.0,441.0,646.0,364.0,446.0,264.0,609.0,337.0,352.0,259.0,458.0,355.0,267.0,461.0,546.0,473.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
