,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
Accumulated time steps,0.0,881.0,1880.0,2325.0,3138.0,3713.0,4712.0,5182.0,5621.0,6562.0,7561.0,8071.0,8327.0,8588.0,9122.0,9742.0,10096.0,10647.0,10935.0,11208.0,11582.0,11841.0,12284.0,12561.0,12733.0,13023.0,13461.0,13808.0,14067.0,14327.0,14500.0,14884.0,15171.0,15580.0,15857.0,16131.0,16508.0,16890.0,17200.0,17372.0,17554.0,17828.0,18203.0,18487.0,18875.0,19149.0,19635.0
Episode reward,0.0,33.271381286190845,-78.83873681133582,68.1080040658244,88.5933018730298,90.28835707566171,-99.45513058505865,65.0019441593725,70.99171938975942,79.97174820704464,-3.2053805811159113,64.42125132155118,84.58025080570653,84.27485917448664,66.2295853962993,64.429363871054,79.07777289901371,66.13862527955814,83.18366902119223,85.67316642468361,76.15853122195496,84.05120337978829,72.27365172002919,84.93593025485323,90.2986746430353,83.24965488261887,74.115752145828,79.67029003646897,85.18656763443285,84.84799295017135,90.5447652716858,80.178300294415,83.7339522944005,76.90017061746113,86.25668854942212,86.31343563779484,81.16289728408245,81.48768942426327,80.85555096050126,90.53444412499842,89.95372986012177,86.04378502039572,81.50095561929953,84.42353753931012,79.30886083042489,86.17411864506661,76.53419983789138
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,38.575677156448364,83.93206834793091,103.9952323436737,139.38244032859802,163.98821830749512,206.38577890396118,227.0201380252838,246.24607634544373,285.9604742527008,328.68487763404846,350.686888217926,362.141476392746,373.80518221855164,396.77742743492126,423.92199516296387,439.72023725509644,464.087012052536,477.15732192993164,489.37240266799927,505.8704173564911,517.6224250793457,536.9650237560272,549.7414152622223,558.0523056983948,571.1497430801392,590.2072138786316,605.526449918747,617.3000469207764,629.0020830631256,637.2278060913086,654.1202998161316,667.029522895813,684.981059551239,697.6659235954285,710.1580274105072,726.6699650287628,743.6387233734131,757.3299298286438,765.3610639572144,773.8074128627777,786.1408648490906,802.7503883838654,815.4561121463776,832.6206994056702,845.1385996341705,866.440171957016
total minutes,0.0,0.6429279526074727,1.3988678057988484,1.7332538723945619,2.3230406721433003,2.7331369717915854,3.4397629817326862,3.7836689670880634,4.104101272424062,4.76600790421168,5.478081293900808,5.844781470298767,6.035691273212433,6.230086370309194,6.612957123915354,7.0653665860493975,7.328670620918274,7.734783534208933,7.952622032165527,8.15620671113332,8.431173622608185,8.627040417989095,8.949417062600453,9.162356921037038,9.300871761639913,9.519162384668986,9.836786897977193,10.092107498645783,10.288334115346272,10.483368051052093,10.620463434855143,10.902004996935526,11.117158714930216,11.41635099252065,11.62776539325714,11.835967123508453,12.111166083812714,12.393978722890218,12.622165497144064,12.75601773262024,12.896790214379628,13.102347747484844,13.379173139731089,13.590935202439626,13.87701165676117,14.085643327236175,14.440669532616933
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,879.0,998.0,444.0,812.0,574.0,998.0,469.0,438.0,940.0,998.0,509.0,255.0,260.0,533.0,619.0,353.0,550.0,287.0,272.0,373.0,258.0,442.0,276.0,171.0,289.0,437.0,346.0,258.0,259.0,172.0,383.0,286.0,408.0,276.0,273.0,376.0,381.0,309.0,171.0,181.0,273.0,374.0,283.0,387.0,273.0,485.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
