,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Accumulated time steps,0.0,1000.0,1999.0,2547.0,3546.0,4118.0,4867.0,5866.0,6330.0,7257.0,7652.0,8028.0,8398.0,8828.0,9342.0,9942.0,10292.0,11073.0,11432.0,11701.0,12219.0,12480.0,12909.0,13676.0,14018.0,14739.0,15261.0,16036.0,16484.0,16829.0,17117.0,17632.0,18399.0
Episode reward,0.0,-57.78930693650849,-81.73201153147153,63.30836721319502,-71.17963860564936,56.28208687676981,59.33272084232913,-70.56609217028172,66.09964243866443,49.288221015080744,70.93029168194583,72.89364805274802,69.72701292161236,80.55297115902673,67.45963280572317,73.55441477540029,83.64595257623643,65.51827916756869,77.0432176979588,82.00632788898018,67.0550273736282,82.79352040930647,72.77086333932253,51.92397462500444,78.37212858717396,54.10530022385753,67.22540187896396,51.4775930078015,71.53776315002204,78.19195698665948,80.18767553555483,67.39532050181215,51.78504810777794
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,45.821478843688965,92.23348188400269,117.7833092212677,163.8234679698944,190.79814648628235,225.55861449241638,272.13006567955017,294.4793744087219,337.7260158061981,356.743093252182,374.9166646003723,392.4186873435974,413.05010414123535,437.4282112121582,466.1366264820099,482.9924249649048,519.4412832260132,536.9271824359894,550.1692047119141,574.644965171814,587.506299495697,608.1328430175781,643.9426391124725,660.4619963169098,694.2095136642456,718.7809829711914,755.1750490665436,776.4230937957764,793.164315700531,807.4202215671539,831.7277173995972,867.6751871109009
total minutes,0.0,0.7636913140614827,1.5372246980667115,1.963055153687795,2.7303911328315733,3.179969108104706,3.759310241540273,4.535501094659169,4.907989573478699,5.628766930103302,5.9457182208697,6.248611076672872,6.5403114557266235,6.8841684023539225,7.290470186869303,7.768943774700165,8.04987374941508,8.657354720433553,8.948786373933157,9.169486745198567,9.5774160861969,9.791771658261617,10.135547383626301,10.732377318541209,11.007699938615163,11.57015856107076,11.979683049519856,12.586250817775726,12.940384896596273,13.219405261675517,13.457003692785898,13.862128623326619,14.461253118515014
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,547.0,998.0,571.0,748.0,998.0,463.0,926.0,394.0,375.0,369.0,429.0,513.0,599.0,349.0,780.0,358.0,268.0,517.0,260.0,428.0,766.0,341.0,720.0,521.0,774.0,447.0,344.0,287.0,514.0,766.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
