,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Accumulated time steps,0.0,1000.0,1803.0,2655.0,3277.0,3552.0,4141.0,4420.0,5419.0,5899.0,6420.0,6874.0,7662.0,8049.0,8726.0,9427.0,10426.0,10969.0,11968.0,12967.0,13966.0,14965.0
Episode reward,0.0,-99.80995204171376,47.239184601253925,56.21873507280106,67.78407401883268,84.69862097892413,60.93001951934555,83.98986727702835,-71.45368576443039,67.50617907808342,65.12857800996045,69.26210195173866,32.8642450413366,78.38809104528659,47.2258401274949,39.98725676428845,-86.50315816514825,53.70416717836923,-85.97617054627979,-86.06034752100646,-86.52494015322043,-86.57842276677269
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,45.56400156021118,82.84226036071777,122.68494582176208,151.78383588790894,165.17445921897888,192.90839505195618,206.46508622169495,252.69655752182007,275.27610421180725,299.9275224208832,321.34142303466797,358.04587483406067,376.7984309196472,408.58577704429626,441.3522343635559,487.7424235343933,513.4353268146515,559.7884786128998,606.0973653793335,652.7700088024139,699.4431855678558
total minutes,0.0,0.7594000260035197,1.3807043393452962,2.044749097029368,2.5297305981318154,2.752907653649648,3.215139917532603,3.4410847703615826,4.211609292030334,4.587935070196788,4.998792040348053,5.355690383911133,5.9674312472343445,6.279973848660787,6.809762950738271,7.355870572725932,8.129040392239888,8.557255446910858,9.329807976881662,10.101622756322225,10.8795001467069,11.65738642613093
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,802.0,851.0,621.0,274.0,588.0,278.0,998.0,479.0,520.0,453.0,787.0,386.0,676.0,700.0,998.0,542.0,998.0,998.0,998.0,998.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
