,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Accumulated time steps,0.0,1000.0,1999.0,2878.0,3818.0,4650.0,5451.0,5951.0,6483.0,6817.0,7087.0,7511.0,7856.0,8112.0,8384.0,8633.0,8973.0,9228.0,9575.0,9914.0,10161.0,10677.0,11105.0,11357.0,11703.0,12041.0,12317.0,12592.0,13062.0,13438.0,13715.0,13973.0,14135.0,14300.0,14565.0,14994.0,15423.0,15696.0,15967.0,16219.0,16654.0
Episode reward,0.0,-63.3471039419277,-67.56484837065562,50.470824166926626,33.42012453046195,47.47759056358121,37.00456260411632,68.3129135327055,76.97085235861823,80.2201550479613,84.77744907697961,77.13236617269612,80.93694650947498,86.07649232465691,89.89767487241024,86.40198524193339,81.70147166887446,85.644410104295,81.1363830842312,81.66525899401793,86.82741230554008,72.63510901451772,77.15544627377766,86.17535545336892,81.56170480647454,81.99791639634898,84.18950511458262,84.28604073928628,85.51579247425119,85.38009429859353,86.71759218912989,85.88601318878473,90.57921907119339,90.26787096945019,85.19779010122178,76.9750721802079,77.21945997559224,84.4103643388155,84.60680510678225,86.46394393749603,76.21241186023852
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,45.46041512489319,92.00089836120605,132.93946409225464,176.64391779899597,215.49443006515503,252.7739772796631,276.6075026988983,301.4219036102295,317.3725802898407,330.60205030441284,351.0056908130646,367.6868944168091,380.3311622142792,393.81062746047974,406.2222456932068,422.7098972797394,435.1390645503998,451.1475167274475,466.25443387031555,477.77038502693176,500.7245090007782,520.6706776618958,532.5728614330292,548.5315253734589,563.9284706115723,576.6359791755676,589.5126578807831,610.5880837440491,627.5775871276855,640.9023809432983,653.7385048866272,661.5538351535797,669.6457238197327,682.0648591518402,701.1207096576691,720.1290740966797,733.0903632640839,746.3907632827759,758.6766438484192,779.8047931194305
total minutes,0.0,0.7576735854148865,1.533348306020101,2.2156577348709106,2.9440652966499328,3.5915738344192505,4.212899621327718,4.610125044981639,5.023698393503825,5.289543004830678,5.510034171740214,5.850094846884409,6.128114906946818,6.33885270357132,6.563510457674663,6.770370761553447,7.045164954662323,7.252317742506663,7.519125278790792,7.770907231171926,7.962839750448863,8.345408483346302,8.677844627698262,8.876214357217153,9.142192089557648,9.398807843526205,9.610599652926128,9.825210964679718,10.176468062400819,10.459626452128093,10.681706349054972,10.895641748110453,11.025897252559663,11.160762063662212,11.36774765253067,11.685345160961152,12.00215123494466,12.218172721068065,12.439846054712932,12.644610730806987,12.996746551990508
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,878.0,939.0,831.0,800.0,499.0,531.0,333.0,269.0,423.0,344.0,255.0,271.0,248.0,339.0,254.0,346.0,338.0,246.0,515.0,427.0,251.0,345.0,337.0,275.0,274.0,469.0,375.0,276.0,257.0,161.0,164.0,264.0,428.0,428.0,272.0,270.0,251.0,434.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
