,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
Accumulated time steps,0.0,1000.0,1438.0,1678.0,1946.0,2111.0,2380.0,2736.0,2892.0,3139.0,3311.0,3572.0,3943.0,4096.0,4352.0,4512.0,4671.0,4989.0,5152.0,5315.0,5687.0,5949.0,6110.0,6505.0,6763.0,7035.0,7293.0,7452.0,7609.0,7945.0,8206.0,8385.0,8558.0,8719.0,8977.0,9133.0,9412.0,9695.0,9964.0,10121.0,10278.0,10444.0,10698.0,10996.0,11154.0,11415.0,11588.0,11941.0,12201.0,12560.0,12742.0,12901.0,13165.0,13314.0,13598.0,13859.0,14018.0,14172.0,14335.0,14717.0,14985.0,15136.0,15394.0,15546.0,15704.0,15860.0,16032.0,16292.0,16442.0,16607.0,16759.0,17037.0,17206.0,17486.0,17641.0,17919.0,18084.0,18238.0,18389.0,18562.0,18718.0,18879.0,19046.0,19315.0,19595.0,19850.0,20007.0
Episode reward,0.0,-60.96754642737386,73.22249272332981,86.5855679729176,83.62269097351269,89.18336153094548,84.40419853660099,77.68441731273946,91.0239677029456,85.19830817708554,89.10822793569857,84.89398315647097,77.99605478103342,91.28012184284248,84.52345787993639,90.94069426083539,90.91317047595133,79.08620052839467,90.23177720717703,90.43323768008557,79.83696804584011,85.39712549497497,90.19054375897183,75.44649451535696,85.32668098754833,86.01641565561911,84.9123344713591,91.19591599392174,91.07965614804812,81.67625533206996,85.01342400506097,89.06541132775314,89.60525567524523,89.92446755573633,85.56821412485596,90.72694922037797,85.02546808893582,84.80503972039388,84.17557812012984,90.7499492515332,90.98575926685183,90.93491741097301,84.8555995526345,82.62331568332111,90.81287509656863,85.23902574885074,89.86568318438681,77.31106110086213,83.948251709176,80.23730623106832,89.09960953404016,90.95070126473921,84.68570726768161,91.60705410952218,82.88379411610566,84.57014764324546,90.30708057880179,90.36986591552417,91.04139124436377,78.75451268131849,84.17719263472415,90.99562644319445,85.15200282859352,90.94462360338996,90.85259238290325,91.18155367095245,90.79187614714773,85.55707829793043,91.02617241889769,90.54889361163134,91.9008090867117,86.16666029167502,90.70528327870643,85.56978349071899,90.36189468230803,83.8259772030959,90.62230996012006,90.49556610379904,90.8900429507519,88.43238737283112,91.41581492657006,90.09788342152817,90.495688547564,84.05084306401709,82.97200456170245,85.73075249736353,90.2006790418738
Episode feedback,0.8,0.21843687352862037,0.24027459899250664,0.17991631723884385,0.10486891346491044,0.12195121876859014,0.1268656711684117,0.12676056302320968,0.05161290289281998,0.06910569077599313,0.07602339136828426,0.08461538428994084,0.08378378355734113,0.05263157860110804,0.05490196056901192,0.012578616273090464,0.03164556941996475,0.041009463593030086,0.04938271574455114,0.05555555521262003,0.016172506694952814,0.030651340878730494,0.0187499998828125,0.015228426357288258,0.007782101137034626,0.01845018443376316,0.015564202274069253,0.01898734165197885,0.006410256369165024,0.005970149235910003,0.003846153831360947,0.01685393248958465,0.011627906909140076,0.0,0.0,0.0,0.007194244578437969,0.0035460992782053217,0.0,0.012820512738330047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00386100384609651,0.0,0.0055248618479289404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002624671909121596,0.0,0.0,0.0,0.006622516512433666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,83.84485602378845,123.33850383758545,146.51885676383972,165.9057376384735,177.54383826255798,196.31584429740906,221.74118065834045,231.6749563217163,246.9174189567566,258.2223787307739,274.81905913352966,297.7066340446472,307.3215506076813,322.73067474365234,332.15376901626587,341.8933844566345,360.18990445137024,370.2707884311676,380.4471068382263,401.1440842151642,416.2075216770172,425.75047874450684,447.48524618148804,462.08892011642456,477.2716839313507,491.77878165245056,501.35772728919983,510.42731833457947,528.7712106704712,543.2697212696075,553.6951518058777,563.6109788417816,573.0556859970093,587.2830574512482,596.3806502819061,611.9899160861969,627.5751147270203,642.466123342514,652.0347101688385,661.0740783214569,670.5901091098785,684.5097224712372,700.7750287055969,709.8735625743866,724.4313383102417,734.457426071167,753.6687366962433,768.0609955787659,787.2648296356201,797.5812547206879,806.6988418102264,820.9157536029816,829.4840433597565,844.9814612865448,859.2138457298279,868.235515832901,877.0210173130035,886.4623527526855,906.8751015663147,921.674510717392,930.3143057823181,944.7220640182495,953.4940819740295,962.529326915741,971.4683136940002,981.5269918441772,995.9684181213379,1004.5455477237701,1014.0355339050293,1022.8012938499451,1038.2397439479828,1048.051554441452,1063.5717804431915,1072.910743713379,1088.4168167114258,1098.145340681076,1107.2512822151184,1116.45042014122,1127.235838651657,1136.6825988292694,1146.0804905891418,1156.077941417694,1171.5947597026825,1187.3847286701202,1201.6448056697845,1210.9600462913513
total minutes,0.0,1.3974142670631409,2.0556417306264243,2.441980946063995,2.765095627307892,2.959063971042633,3.271930738290151,3.6956863443056744,3.8612492720286054,4.115290315945943,4.303706312179566,4.580317652225494,4.961777234077454,5.122025843461355,5.378844579060872,5.535896150271098,5.698223074277242,6.003165074189504,6.171179807186126,6.340785113970439,6.685734736919403,6.936792027950287,7.095841312408448,7.4580874363581335,7.701482001940409,7.954528065522512,8.196313027540842,8.355962121486664,8.507121972242992,8.81285351117452,9.05449535449346,9.228252530097961,9.393516314029693,9.550928099950154,9.788050957520802,9.939677504698436,10.199831934769948,10.459585245450338,10.707768722375233,10.867245169480642,11.017901305357615,11.176501818497975,11.40849537452062,11.679583811759949,11.831226042906444,12.073855638504028,12.240957101186117,12.561145611604054,12.801016592979432,13.121080493927002,13.293020912011464,13.444980696837108,13.68192922671636,13.824734055995942,14.083024354775747,14.320230762163797,14.47059193054835,14.617016955216725,14.774372545878093,15.114585026105244,15.361241845289866,15.505238429705303,15.745367733637492,15.891568032900492,16.042155448595683,16.19113856156667,16.358783197402953,16.599473635355633,16.74242579539617,16.900592231750487,17.04668823083242,17.30399573246638,17.467525907357533,17.72619634071986,17.881845728556314,18.140280278523765,18.3024223446846,18.45418803691864,18.607507002353668,18.78726397752762,18.944709980487822,19.10134150981903,19.2679656902949,19.52657932837804,19.789745477835336,20.027413427829742,20.18266743818919
cummulative feedback,0.0,218.0,323.0,366.0,394.0,414.0,448.0,493.0,501.0,518.0,531.0,553.0,584.0,592.0,606.0,608.0,613.0,626.0,634.0,643.0,649.0,657.0,660.0,666.0,668.0,673.0,677.0,680.0,681.0,683.0,684.0,687.0,689.0,689.0,689.0,689.0,691.0,692.0,692.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,695.0,695.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,697.0,697.0,697.0,697.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,437.0,239.0,267.0,164.0,268.0,355.0,155.0,246.0,171.0,260.0,370.0,152.0,255.0,159.0,158.0,317.0,162.0,162.0,371.0,261.0,160.0,394.0,257.0,271.0,257.0,158.0,156.0,335.0,260.0,178.0,172.0,160.0,257.0,155.0,278.0,282.0,268.0,156.0,156.0,165.0,253.0,297.0,157.0,260.0,172.0,352.0,259.0,358.0,181.0,158.0,263.0,148.0,283.0,260.0,158.0,153.0,162.0,381.0,267.0,150.0,257.0,151.0,157.0,155.0,171.0,259.0,149.0,164.0,151.0,277.0,168.0,279.0,154.0,277.0,164.0,153.0,150.0,172.0,155.0,160.0,166.0,268.0,279.0,254.0,156.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
