,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
Accumulated time steps,0.0,1000.0,1999.0,2677.0,3209.0,3451.0,3788.0,4131.0,4326.0,4576.0,4919.0,5391.0,5641.0,5890.0,6247.0,6402.0,6647.0,6798.0,6950.0,7149.0,7300.0,7547.0,7698.0,7954.0,8101.0,8446.0,8587.0,8854.0,9183.0,9333.0,9568.0,9992.0,10243.0,10590.0,10833.0,11091.0,11371.0,11632.0,11789.0,12069.0,12223.0,12572.0,12732.0,12887.0,13229.0,13383.0,13544.0,13798.0,13955.0,14229.0,14404.0,14773.0,14939.0,15277.0,15519.0,15781.0,15968.0,16208.0,16362.0,16730.0,17058.0,17219.0,17551.0,17708.0,17961.0,18229.0,18386.0,18740.0,19014.0,19268.0,19422.0,19582.0,19760.0,19919.0,20069.0
Episode reward,0.0,-65.86745652259214,-59.59162735610679,55.922775954212334,67.12753721662767,86.05233855492725,79.98815987367207,79.11872011051574,87.1664482225394,84.5937157447784,80.25012221506296,71.8786671813051,86.92227771663406,84.9155653533183,80.8870240155368,91.30201855947324,85.61575201144126,92.10773476024023,91.70635033211971,87.33491838164403,91.54448206225032,85.06800881471469,91.51540025623736,85.76612998501699,92.43777611459424,79.4539554863176,92.09081175752468,82.7696360421597,82.56716603176706,91.46235226286508,87.68342295210536,79.20448458801246,86.74869964720943,80.13056229943763,86.75080142798049,84.18078429840988,84.84489000806909,83.56688413021175,89.98385839362807,83.41934859308442,90.24717440399499,79.45065375573567,90.57420169385324,90.30423578929,79.46173897092092,90.6365152028632,90.39341398199885,86.5696940332787,90.85315319471886,84.48384516161495,89.42272897660877,80.78757930561812,90.35156760867756,81.8619009821146,86.78648222140879,84.08900709400834,90.46375372878711,85.77336765919432,90.03571279742134,79.21351647421918,81.24319990125937,91.53099033676781,82.48844966574342,91.67605954972717,86.70237667825009,83.6235699119416,90.455181488508,77.8769813400896,84.80252939512818,85.48538607527092,91.25106646374546,91.63868107951133,88.90016693623177,90.68421557323958,91.15165014718656
Episode feedback,0.8,0.013026052091156261,0.3056112221386661,0.15361890671548167,0.11111111090186232,0.07468879637058591,0.06845238074865363,0.09064327458876235,0.03608247404081199,0.1004016060224835,0.03801169579528744,0.03184713369034579,0.03614457816809406,0.02016129024128512,0.04213483134231789,0.012987012902681734,0.012295081916823434,0.013333333244444445,0.006622516512433666,0.015151515074992348,0.019999999866666666,0.012195121901645846,0.019999999866666666,0.0196078430603614,0.0068493150215800346,0.0058139534714710655,0.021428571275510205,0.011278195446322574,0.012195121914039262,0.0,0.021367521276207176,0.007092198564793857,0.003999999984,0.005780346804103044,0.008264462775766682,0.0,0.0035842293778343033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006249999960937501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,45.019729137420654,131.083842754364,176.71202850341797,210.55317664146423,225.7432153224945,246.09502005577087,267.45813488960266,278.9134728908539,294.8363399505615,314.34142804145813,340.6749279499054,355.163605928421,369.2402296066284,389.8827385902405,399.09496092796326,412.7514281272888,421.54483437538147,430.42290115356445,441.95257115364075,450.93038415908813,464.8086564540863,473.9660155773163,488.6803011894226,497.48335671424866,516.3224620819092,524.898509979248,539.8936140537262,558.1208775043488,566.7793033123016,580.315042257309,603.1233432292938,616.8532204627991,635.7599663734436,649.4075479507446,663.5553333759308,678.874924659729,693.213504076004,702.2925391197205,717.5848753452301,726.4849698543549,745.7290530204773,754.8372023105621,763.7147703170776,782.1783547401428,791.1807725429535,800.6847665309906,815.1928949356079,824.3147397041321,839.2908074855804,849.2057995796204,869.2768607139587,878.9978744983673,897.6809368133545,911.2378516197205,925.680771112442,936.0918323993683,949.3951296806335,958.5787227153778,979.1840934753418,997.0768072605133,1006.445684671402,1024.6988916397095,1033.7358894348145,1048.019094467163,1062.832210302353,1072.057921409607,1091.4185090065002,1106.946579694748,1121.1087319850922,1130.1991012096405,1139.4500913619995,1149.5768132209778,1158.8708016872406,1167.7574155330658
total minutes,0.0,0.7503288189570109,2.1847307125727338,2.945200475056966,3.5092196106910705,3.7623869220415753,4.101583667596182,4.457635581493378,4.648557881514232,4.913938999176025,5.239023800690969,5.677915465831757,5.9193934321403505,6.15400382677714,6.498045643170674,6.651582682132721,6.879190468788147,7.025747239589691,7.173715019226075,7.365876185894012,7.515506402651469,7.7468109409014385,7.899433592955272,8.144671686490376,8.291389278570811,8.60537436803182,8.748308499654135,8.998226900895437,9.302014625072479,9.446321721871694,9.67191737095515,10.05205572048823,10.280887007713318,10.595999439557394,10.82345913251241,11.059255556265514,11.31458207766215,11.553558401266734,11.70487565199534,11.959747922420501,12.108082830905914,12.428817550341288,12.58062003850937,12.728579505284626,13.036305912335713,13.186346209049224,13.344746108849844,13.586548248926798,13.738578995068869,13.988180124759674,14.153429992993672,14.487947678565979,14.649964574972788,14.961348946889242,15.18729752699534,15.428012851874033,15.601530539989472,15.823252161343893,15.976312045256297,16.319734891255695,16.617946787675223,16.774094744523367,17.078314860661823,17.22893149058024,17.466984907786053,17.71387017170588,17.86763202349345,18.190308483441672,18.449109661579133,18.68514553308487,18.83665168682734,18.990834856033324,19.159613553682963,19.31451336145401,19.462623592217764
cummulative feedback,0.0,13.0,318.0,422.0,481.0,499.0,522.0,553.0,560.0,585.0,598.0,613.0,622.0,627.0,642.0,644.0,647.0,649.0,650.0,653.0,656.0,659.0,662.0,667.0,668.0,670.0,673.0,676.0,680.0,680.0,685.0,688.0,689.0,691.0,693.0,693.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,694.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0,695.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,677.0,531.0,241.0,336.0,342.0,194.0,249.0,342.0,471.0,249.0,248.0,356.0,154.0,244.0,150.0,151.0,198.0,150.0,246.0,150.0,255.0,146.0,344.0,140.0,266.0,328.0,149.0,234.0,423.0,250.0,346.0,242.0,257.0,279.0,260.0,156.0,279.0,153.0,348.0,159.0,154.0,341.0,153.0,160.0,253.0,156.0,273.0,174.0,368.0,165.0,337.0,241.0,261.0,186.0,239.0,153.0,367.0,327.0,160.0,331.0,156.0,252.0,267.0,156.0,353.0,273.0,253.0,153.0,159.0,177.0,158.0,149.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
