,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
Accumulated time steps,0.0,972.0,1230.0,1579.0,1735.0,1993.0,2353.0,2705.0,2979.0,3130.0,3497.0,4013.0,4287.0,4541.0,4705.0,5059.0,5310.0,5570.0,5854.0,6012.0,6178.0,6647.0,6951.0,7121.0,7272.0,7521.0,7776.0,7934.0,8090.0,8247.0,8520.0,8788.0,9049.0,9330.0,9488.0,9870.0,10036.0,10307.0,10572.0,10854.0,11010.0,11348.0,11662.0,11821.0,12185.0,12342.0,12695.0,12954.0,13110.0,13265.0,13429.0,13618.0,13780.0,13948.0,14107.0,14385.0,14651.0,14927.0,15198.0,15468.0,15742.0,16006.0,16169.0,16436.0,16735.0,17009.0,17183.0,17360.0,17512.0,17800.0,17958.0,18141.0,18409.0,18680.0,18838.0,19119.0,19271.0,19527.0,19794.0,19962.0,20227.0
Episode reward,0.0,44.72672757267788,86.12279030754229,80.27266959713701,90.8094181235272,85.79966132060882,78.82136708137669,81.30451195231157,84.18897870332788,91.37465943524117,80.09870113288599,70.16875661919079,84.63404984491866,86.43190491144874,90.56781715801708,80.29286617112228,86.46671390239877,84.69323397880089,83.72453453804192,91.00979205813464,90.24711276568951,75.24421367265921,82.47846651224583,89.47248670826966,91.60973099435891,88.05127865803024,86.10147631343553,90.89088695075823,91.30596766150762,91.07058008061486,84.86187338842785,84.24798501713867,84.4222262455049,84.213167415724,90.89579051190667,79.00785408123822,90.75328217213234,84.76152056539759,86.98072454721066,84.33906528859235,91.09800254314638,77.932526890307,80.45408427694944,91.03239795785655,80.37821432401611,90.31175231839782,77.77912348316006,86.50199421448592,91.26631309816707,91.17137445311994,90.4632386018948,88.06274394488136,90.5243114500328,89.89391115230467,91.0188504597641,83.6969628622765,84.925764204887,85.6465044566833,85.1778948210825,84.23802992410901,83.80347114095383,85.94613589641514,90.75399095497286,85.25982248733298,81.6397725580045,83.88679404995287,89.29253596235877,89.18183825494836,90.69847320846394,81.40856996925606,90.79160973969871,88.42480818284758,84.6446746605354,84.34208242549525,91.328915510875,84.24881391499812,90.74174664088774,84.3786645217932,82.95213474073037,89.36201235952413,84.1203567880392
Episode feedback,0.8,0.29999999969072166,0.1828793767203137,0.18390804544854011,0.11612903150884496,0.1478599216036579,0.08635097468983015,0.09116809090835301,0.06959706934213528,0.06666666622222223,0.07103825117202664,0.05825242707135451,0.03663003649586067,0.047430829852052055,0.018404907862546577,0.022662889454212777,0.035999999856,0.023166023076579063,0.0035335688921075306,0.01910828013306828,0.01212121204775023,0.0235042734540507,0.009900990066333366,0.0,0.0066666666222222224,0.012096774144771073,0.007874015717031434,0.0,0.012903225723204995,0.006410256369165024,0.0036764705747188583,0.0037453183380325157,0.01153846149408284,0.0035714285586734697,0.0,0.010498687636486384,0.01212121204775023,0.0,0.0,0.0035587188485454845,0.0,0.0,0.0,0.0,0.00275482092905008,0.0,0.0028409090828383264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037735848914204344,0.0,0.0037037036899862825,0.0,0.0,0.0038022813543639494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,78.5888888835907,97.70538425445557,123.24614691734314,134.05916905403137,152.00042486190796,174.37378883361816,196.46996998786926,213.25478053092957,223.0977177619934,245.11876797676086,275.15879940986633,291.00692677497864,306.23737692832947,315.81307435035706,335.5617666244507,350.6484577655792,366.89372181892395,384.23909163475037,394.46385073661804,404.4727249145508,431.8369195461273,449.2178144454956,459.0325400829315,468.0517141819,482.37402749061584,496.9953918457031,506.26409673690796,515.3197093009949,524.8002789020538,539.9871938228607,554.6008236408234,569.5080027580261,585.5453264713287,594.5893933773041,615.363847732544,625.1043946743011,639.893269777298,654.6023516654968,670.3374531269073,679.4034843444824,697.8290824890137,714.7119116783142,723.7651748657227,743.2873363494873,752.37140583992,771.4814558029175,785.6591715812683,794.5824420452118,803.6096510887146,813.1724038124084,823.8525969982147,833.0334281921387,842.5974924564362,851.7339549064636,866.946754693985,881.7257678508759,896.8486633300781,911.7923302650452,926.6042976379395,941.7291340827942,956.0311572551727,965.3287379741669,980.1836533546448,996.3139138221741,1011.2265768051147,1021.3771350383759,1031.2797982692719,1040.1244535446167,1055.867487668991,1064.9344770908356,1075.3565332889557,1090.23242354393,1105.0291006565094,1114.0092375278473,1129.4209291934967,1138.272542476654,1152.360951423645,1167.1304404735565,1176.7281968593597,1191.42147231102
total minutes,0.0,1.3098148147265116,1.6284230709075929,2.054102448622386,2.2343194842338563,2.533340414365133,2.906229813893636,3.274499499797821,3.5542463421821595,3.7182952960332236,4.085312799612681,4.5859799901644385,4.850115446249644,5.1039562821388245,5.263551239172617,5.592696110407512,5.844140962759654,6.114895363648732,6.403984860579173,6.574397512276968,6.74121208190918,7.197281992435455,7.486963574091593,7.650542334715525,7.8008619030316675,8.039567124843597,8.283256530761719,8.437734945615132,8.588661821683248,8.74667131503423,8.999786563714345,9.243347060680389,9.491800045967102,9.759088774522146,9.909823222955067,10.256064128875732,10.418406577905019,10.664887829621632,10.910039194424947,11.172290885448456,11.323391405741374,11.630484708150227,11.91186519463857,12.06275291442871,12.388122272491454,12.539523430665334,12.858024263381958,13.094319526354472,13.24304070075353,13.39349418481191,13.552873396873474,13.730876616636913,13.883890469868978,14.043291540940603,14.195565915107727,14.449112578233082,14.695429464181265,14.947477722167969,15.196538837750753,15.443404960632325,15.69548556804657,15.933852620919545,16.088812299569447,16.336394222577415,16.605231897036234,16.853776280085246,17.022952250639598,17.187996637821197,17.335407559076945,17.59779146114985,17.748907951513925,17.922608888149263,18.170540392398834,18.41715167760849,18.56682062546412,18.823682153224944,18.971209041277568,19.206015857060752,19.45217400789261,19.61213661432266,19.857024538517
cummulative feedback,0.0,291.0,338.0,402.0,420.0,458.0,489.0,521.0,540.0,550.0,576.0,606.0,616.0,628.0,631.0,639.0,648.0,654.0,655.0,658.0,660.0,671.0,674.0,674.0,675.0,678.0,680.0,680.0,682.0,683.0,684.0,685.0,688.0,689.0,689.0,693.0,695.0,695.0,695.0,696.0,696.0,696.0,696.0,696.0,697.0,697.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,698.0,699.0,699.0,700.0,700.0,700.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,970.0,257.0,348.0,155.0,257.0,359.0,351.0,273.0,150.0,366.0,515.0,273.0,253.0,163.0,353.0,250.0,259.0,283.0,157.0,165.0,468.0,303.0,169.0,150.0,248.0,254.0,157.0,155.0,156.0,272.0,267.0,260.0,280.0,157.0,381.0,165.0,270.0,264.0,281.0,155.0,337.0,313.0,158.0,363.0,156.0,352.0,258.0,155.0,154.0,163.0,188.0,161.0,167.0,158.0,277.0,265.0,275.0,270.0,269.0,273.0,263.0,162.0,266.0,298.0,273.0,173.0,176.0,151.0,287.0,157.0,182.0,267.0,270.0,157.0,280.0,151.0,255.0,266.0,167.0,264.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
