,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
Accumulated time steps,0.0,1000.0,1161.0,1430.0,1785.0,2042.0,2204.0,2459.0,2725.0,2992.0,3182.0,3620.0,4000.0,4153.0,4304.0,4460.0,4713.0,4868.0,5019.0,5173.0,5416.0,5585.0,5862.0,6034.0,6306.0,6582.0,6737.0,6996.0,7169.0,7523.0,7674.0,7833.0,7989.0,8239.0,8487.0,8766.0,9056.0,9218.0,9394.0,9598.0,9755.0,9917.0,10076.0,10288.0,10645.0,10799.0,11055.0,11207.0,11368.0,11549.0,11710.0,12059.0,12210.0,12455.0,12614.0,12784.0,12943.0,13096.0,13444.0,13831.0,14092.0,14376.0,14531.0,14692.0,14953.0,15112.0,15372.0,15528.0,15730.0,15885.0,16061.0,16218.0,16381.0,16534.0,16708.0,16960.0,17142.0,17295.0,17454.0,17622.0,17782.0,17929.0,18081.0,18334.0,18511.0,18898.0,19050.0,19203.0,19356.0,19515.0,19784.0,19947.0,20211.0
Episode reward,0.0,-50.151258156149524,90.99936180661145,84.57006616026553,79.7380773160366,85.42466627498547,91.11507560351664,86.2857854490687,84.65043166632015,85.49703542686625,87.56592948371649,74.03824193747724,77.94875636743745,91.67112410189243,91.62094044742948,91.16359045278215,86.09179856922438,91.50034652126197,91.96461075782206,91.20148756989451,84.69871064509213,89.90057459899175,85.50254620806408,89.67443414328038,84.46095078801554,85.4351842508784,90.78668420303399,86.31216561332438,89.098926508488,79.59881816288717,90.64160128020517,90.92397006720785,90.90934552768184,85.9546011164586,84.85846016181394,83.2474825353639,83.12705028759689,90.16412587899302,89.28816546418868,85.53482633518553,90.52020604056975,90.56208903108413,91.02567238151423,86.12884220254693,79.35293770433063,90.58121465356884,85.57086723543115,90.74214081310073,90.82489192359583,88.72640344219766,90.83291303658092,78.24670401216034,90.32858948084841,84.25382307467453,91.20060026280247,89.84301893965707,90.68953017068938,90.67514096224346,80.35569913149419,76.58338722940252,84.03546488800187,83.72172019455616,90.90862867212373,90.34754533972605,83.44728991188292,90.37525236269205,85.42862454159497,90.35940486076022,87.50307510870623,90.58692030403085,88.49138463851435,90.3791375165895,90.68632861539275,90.93853280809877,88.86068774545194,84.62999480943904,88.73060332530602,90.29324277803497,90.08445169179421,89.52922662558291,90.31881963030739,90.93996029682364,90.79374495510154,84.11733678297938,89.07897862620936,74.87177757641773,90.67746395749967,90.70585376537638,90.73889977414832,89.90724376880885,83.56456905947906,90.32092358114005,84.58200355707986
Episode feedback,0.8,0.2645290578511733,0.19999999875000002,0.23880596925818667,0.16666666619585688,0.1367187494659424,0.12422360171289688,0.09448818860437722,0.0981132071769313,0.09774436053479564,0.05291005263010554,0.06636155591221612,0.06068601567101315,0.006578947325138505,0.04666666635555556,0.03225806430801249,0.03571428557256236,0.025974025805363468,0.05333333297777778,0.032679738348498445,0.020661156939416708,0.04166666641865079,0.036231883926696073,0.017543859546527138,0.014760147547010527,0.014545454492561984,0.006493506451340867,0.007751937954449853,0.005813953454570038,0.011331444727106389,0.0,0.01898734165197885,0.0,0.0,0.016194331918241572,0.0035971222892189846,0.006920415200967422,0.0,0.0,0.0,0.0,0.0,0.0126582277679859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004098360638941145,0.0,0.0,0.00632911388399295,0.0,0.0,0.002590673568417944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,84.76947474479675,98.49372577667236,120.34179997444153,145.89248204231262,164.4801561832428,176.44926810264587,193.87754654884338,211.281804561615,229.30354022979736,241.12923097610474,267.63403034210205,290.3600504398346,299.48196840286255,309.0215826034546,318.47915744781494,333.4384138584137,342.7776961326599,352.22787141799927,361.5964992046356,375.61724853515625,385.85762906074524,402.2454876899719,412.34463357925415,427.5816204547882,443.3536231517792,452.3674771785736,466.6345326900482,476.55810284614563,495.9894721508026,504.6925115585327,514.1099948883057,522.9299626350403,536.8957695960999,551.083518743515,566.4491529464722,582.5840439796448,591.9519538879395,601.9585626125336,613.3627424240112,622.5187728404999,631.9193260669708,641.12184882164,652.8409287929535,672.2242612838745,681.2634460926056,695.4880228042603,704.3488636016846,713.435652256012,723.6548595428467,732.8090944290161,751.4376411437988,760.1670954227448,773.7574727535248,783.0951497554779,792.6423916816711,801.9260363578796,810.8225920200348,829.6296558380127,850.3230578899384,864.8240399360657,880.2362978458405,889.1672360897064,898.2847118377686,912.7633533477783,921.9423487186432,936.2711560726166,945.0798759460449,956.3717586994171,965.4450225830078,975.3627228736877,984.3285591602325,993.6762471199036,1002.5492174625397,1012.5853552818298,1027.0395679473877,1037.7735431194305,1046.5794839859009,1055.9806604385376,1065.4884161949158,1074.630342721939,1083.07479429245,1091.9819178581238,1105.8516812324524,1115.9313139915466,1137.2836372852325,1146.2454981803894,1155.5383977890015,1164.529942035675,1174.106282711029,1189.1714203357697,1198.4963099956512,1213.2667436599731
total minutes,0.0,1.4128245790799459,1.6415620962778728,2.0056966662406923,2.431541367371877,2.74133593638738,2.940821135044098,3.231292442480723,3.5213634093602497,3.821725670496623,4.018820516268412,4.460567172368368,4.839334173997243,4.991366140047709,5.150359710057576,5.307985957463583,5.5573068976402284,5.712961602210998,5.870464523633321,6.02660832007726,6.260287475585938,6.430960484345754,6.704091461499532,6.872410559654236,7.126360340913137,7.389227052529653,7.5394579529762265,7.777242211500804,7.94263504743576,8.266491202513377,8.411541859308878,8.568499914805095,8.715499377250671,8.948262826601665,9.184725312391917,9.440819215774535,9.709734066327412,9.865865898132324,10.032642710208894,10.22271237373352,10.375312880674999,10.531988767782847,10.685364147027334,10.880682146549224,11.203737688064574,11.354390768210093,11.591467046737671,11.739147726694743,11.890594204266867,12.060914325714112,12.213484907150269,12.52396068572998,12.66945159037908,12.895957879225413,13.051585829257965,13.210706528027853,13.365433939297994,13.51370986700058,13.827160930633545,14.172050964832305,14.413733998934427,14.670604964097341,14.81945393482844,14.971411863962809,15.212722555796306,15.365705811977387,15.604519267876944,15.751331265767416,15.939529311656951,16.090750376383465,16.25604538122813,16.405475986003875,16.561270785331725,16.709153624375663,16.876422588030497,17.117326132456462,17.296225718657176,17.442991399765013,17.599677673975627,17.758140269915263,17.910505712032318,18.051246571540833,18.19969863096873,18.430861353874207,18.598855233192445,18.95472728808721,19.104091636339824,19.258973296483358,19.40883236726125,19.568438045183818,19.81952367226283,19.97493849992752,20.221112394332884
cummulative feedback,0.0,264.0,296.0,360.0,419.0,454.0,474.0,498.0,524.0,550.0,560.0,589.0,612.0,613.0,620.0,625.0,634.0,638.0,646.0,651.0,656.0,663.0,673.0,676.0,680.0,684.0,685.0,687.0,688.0,692.0,692.0,695.0,695.0,695.0,699.0,700.0,702.0,702.0,702.0,702.0,702.0,702.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,704.0,705.0,705.0,705.0,706.0,706.0,706.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0,707.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,160.0,268.0,354.0,256.0,161.0,254.0,265.0,266.0,189.0,437.0,379.0,152.0,150.0,155.0,252.0,154.0,150.0,153.0,242.0,168.0,276.0,171.0,271.0,275.0,154.0,258.0,172.0,353.0,150.0,158.0,155.0,249.0,247.0,278.0,289.0,161.0,175.0,203.0,156.0,161.0,158.0,211.0,356.0,153.0,255.0,151.0,160.0,180.0,160.0,348.0,150.0,244.0,158.0,169.0,158.0,152.0,347.0,386.0,260.0,283.0,154.0,160.0,260.0,158.0,259.0,155.0,201.0,154.0,175.0,156.0,162.0,152.0,173.0,251.0,181.0,152.0,158.0,167.0,159.0,146.0,151.0,252.0,176.0,386.0,151.0,152.0,152.0,158.0,268.0,162.0,263.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
