,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
Accumulated time steps,0.0,1000.0,1552.0,1711.0,2065.0,2531.0,2789.0,3243.0,3614.0,3769.0,4026.0,4375.0,4659.0,4831.0,5107.0,5383.0,5643.0,5801.0,6061.0,6214.0,6492.0,6744.0,7017.0,7172.0,7451.0,7710.0,7884.0,8037.0,8189.0,8464.0,8726.0,9010.0,9283.0,9549.0,9718.0,9975.0,10241.0,10396.0,10567.0,10824.0,11183.0,11440.0,11596.0,11858.0,12016.0,12170.0,12332.0,12689.0,12842.0,12993.0,13287.0,13446.0,13611.0,13864.0,14112.0,14266.0,14533.0,14786.0,14945.0,15130.0,15296.0,15649.0,15916.0,16191.0,16347.0,16602.0,16752.0,17007.0,17199.0,17456.0,17611.0,17769.0,17916.0,18210.0,18367.0,18531.0,18806.0,19072.0,19345.0,19505.0,19773.0,20158.0
Episode reward,0.0,-54.94143065240402,67.7421846884013,90.7481972931929,81.14090418820373,72.90647681936657,86.51665541989509,75.19376163928939,78.88825748220052,91.25745920230447,86.51534855133798,81.87251688341398,81.98834068570542,89.57393893564254,85.26679897396946,84.48210867004042,85.30572631016216,90.6053110827448,85.22831652725985,91.35155817449204,83.41511132773138,85.54150365182944,84.44332327570652,91.21628918557838,84.62095162935631,85.5004974356712,89.26618618396762,91.0510085266399,90.47759638953697,83.70649508847936,84.33539049425288,83.57732224195843,83.57715357709897,85.47162796226665,89.98731529602314,84.83461945248264,84.00382034604782,90.62907071966323,89.22776548725223,84.83342321173326,78.06182894299593,81.65271435701482,90.9405997552297,84.86124507199804,91.29694980558236,90.76241682838275,90.41022748661725,78.30091703782192,91.02077401268345,90.83300128819691,81.29139381085076,90.90689710114376,90.43318190542638,86.08697821377551,84.69415294010646,90.62872939086843,83.66026594476178,85.28254984767881,90.56982224950848,88.40814490464837,89.30351206649758,75.1152982072947,83.99177265167503,86.07737101516331,90.7913784161382,85.20978941452351,91.16546656846397,84.66349951364265,87.46645336966947,85.50144412948222,90.77090211960062,90.54955392756503,91.81736776283222,82.61865638805587,90.0764070478021,90.28177147634258,84.11816843070345,84.93821503065791,83.29990661987395,90.5945241384206,83.80736267622342,72.70745413585576
Episode feedback,0.8,0.29759519008256996,0.19237749511365246,0.126582277679859,0.15297450381593625,0.1268817201572436,0.08171206193886357,0.07284768195839364,0.054054053907962016,0.09090909031877215,0.0351562498626709,0.07183908025333598,0.028268551136860245,0.017543859546527138,0.025454545361983473,0.021818181738842975,0.01544401538438604,0.0318471335551138,0.00386100384609651,0.01315789465027701,0.025270758031513508,0.01195219118744147,0.02205882344831315,0.012987012902681734,0.010791366867656953,0.007751937954449853,0.005780346787396839,0.006578947325138505,0.006622516512433666,0.0,0.0038314176098413117,0.007067137784215061,0.011029411724156574,0.0,0.005952380916950114,0.011718749954223633,0.0037735848914204344,0.0,0.0,0.0,0.002793296081582972,0.003906249984741211,0.0064516128616024975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006825938543256182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,79.57460522651672,118.92865753173828,129.9970724582672,154.43711161613464,184.78704643249512,200.8801772594452,228.37121987342834,250.27036333084106,260.3781340122223,275.4213111400604,296.54966473579407,312.8509883880615,322.97258734703064,338.60212564468384,354.1044774055481,368.91669845581055,378.2555422782898,392.6741416454315,401.4556415081024,417.49394702911377,431.86240911483765,447.2685568332672,456.28351163864136,471.9488298892975,486.2203998565674,496.1729528903961,505.02120757102966,513.7176415920258,529.1308221817017,543.4012615680695,558.9655864238739,574.2393941879272,589.0833675861359,598.792017698288,613.563102722168,628.519775390625,637.5073566436768,647.7045991420746,662.0475168228149,681.9478952884674,696.3014800548553,705.5367035865784,719.9902412891388,729.3172791004181,738.3190913200378,747.6563060283661,767.136492729187,775.8401393890381,784.5578720569611,801.3464047908783,810.4944541454315,820.0671269893646,834.1193490028381,847.9139506816864,856.6826288700104,871.3681225776672,885.6257746219635,894.7338688373566,905.1391589641571,914.55877161026,933.5151238441467,948.117874622345,963.4372510910034,972.6999754905701,986.8010087013245,995.4856226444244,1009.6721124649048,1020.6787278652191,1034.7211508750916,1043.585458278656,1052.4858555793762,1061.042982339859,1077.0719990730286,1086.2016596794128,1095.697107076645,1110.8404657840729,1125.6447055339813,1140.9686861038208,1150.2249925136566,1165.1634149551392,1186.288899898529
total minutes,0.0,1.3262434204419453,1.982144292195638,2.1666178743044537,2.573951860268911,3.079784107208252,3.3480029543240866,3.8061869978904723,4.1711727221806845,4.339635566870371,4.590355185667674,4.942494412263234,5.214183139801025,5.382876455783844,5.643368760744731,5.901741290092469,6.148611640930175,6.304259037971496,6.544569027423859,6.6909273584683735,6.958232450485229,7.197706818580627,7.454475947221121,7.604725193977356,7.865813831488292,8.10367333094279,8.269549214839936,8.417020126183827,8.56196069320043,8.818847036361694,9.056687692801157,9.316093107064566,9.570656569798787,9.818056126435598,9.979866961638132,10.226051712036133,10.47532958984375,10.625122610727946,10.795076652367909,11.034125280380248,11.36579825480779,11.605024667580922,11.758945059776305,11.99983735481898,12.155287985006968,12.305318188667297,12.460938433806101,12.785608212153116,12.9306689898173,13.075964534282685,13.355773413181305,13.508240902423859,13.667785449822743,13.901989150047303,14.131899178028107,14.278043814500172,14.522802042961121,14.760429577032726,14.912231147289276,15.085652649402618,15.242646193504333,15.558585397402446,15.801964577039083,16.05728751818339,16.21166625817617,16.446683478355407,16.59142704407374,16.827868541081745,17.011312131086985,17.24535251458486,17.393090971310933,17.54143092632294,17.684049705664318,17.951199984550477,18.10336099465688,18.261618451277414,18.51400776306788,18.760745092233023,19.016144768397012,19.170416541894276,19.41939024925232,19.771481664975486
cummulative feedback,0.0,297.0,403.0,423.0,477.0,536.0,557.0,590.0,610.0,624.0,633.0,658.0,666.0,669.0,676.0,682.0,686.0,691.0,692.0,694.0,701.0,704.0,710.0,712.0,715.0,717.0,718.0,719.0,720.0,720.0,721.0,723.0,726.0,726.0,727.0,730.0,731.0,731.0,731.0,731.0,732.0,733.0,734.0,734.0,734.0,734.0,734.0,734.0,734.0,734.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0,736.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,551.0,158.0,353.0,465.0,257.0,453.0,370.0,154.0,256.0,348.0,283.0,171.0,275.0,275.0,259.0,157.0,259.0,152.0,277.0,251.0,272.0,154.0,278.0,258.0,173.0,152.0,151.0,274.0,261.0,283.0,272.0,265.0,168.0,256.0,265.0,154.0,170.0,256.0,358.0,256.0,155.0,261.0,157.0,153.0,161.0,356.0,152.0,150.0,293.0,158.0,164.0,252.0,247.0,153.0,266.0,252.0,158.0,184.0,165.0,352.0,266.0,274.0,155.0,254.0,149.0,254.0,191.0,256.0,154.0,157.0,146.0,293.0,156.0,163.0,274.0,265.0,272.0,159.0,267.0,384.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
