,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
Accumulated time steps,0.0,1000.0,1451.0,1995.0,2284.0,2443.0,2728.0,2891.0,3042.0,3309.0,3491.0,3645.0,3804.0,4061.0,4317.0,4587.0,4748.0,5000.0,5256.0,5533.0,5694.0,5859.0,6026.0,6202.0,6360.0,6515.0,6775.0,7030.0,7181.0,7733.0,7978.0,8133.0,8401.0,8564.0,8721.0,8886.0,9049.0,9197.0,9349.0,9499.0,9647.0,9904.0,10053.0,10312.0,10609.0,10789.0,11093.0,11261.0,11422.0,11707.0,12062.0,12333.0,12604.0,12985.0,13237.0,13391.0,13667.0,13851.0,14106.0,14261.0,14416.0,14578.0,14857.0,15130.0,15286.0,15433.0,15590.0,15873.0,16122.0,16283.0,16569.0,16726.0,16879.0,17040.0,17414.0,17581.0,17839.0,18025.0,18296.0,18449.0,18820.0,18972.0,19135.0,19418.0,19565.0,19839.0,19996.0,20255.0
Episode reward,0.0,-55.807819036312104,71.39609394764767,71.0375925423694,82.25088395235514,91.05567567847855,85.13311355219692,90.77906515953805,91.93604039102333,85.01618021515114,89.18007509404289,90.68362627770762,90.9778053908428,86.09149154986764,85.50717862496022,83.7243021616438,90.45926564245278,86.62967400424523,86.84168840145689,85.35939758186205,91.42052209189758,90.76732197248728,91.08648231866577,90.1172487610308,91.26734722731945,91.5762371904924,85.18098149961112,85.86528156488555,91.76519956558447,68.63815804124036,86.30371722346386,90.6637423261257,84.7802813246646,91.10627494616764,91.46851759353993,90.98344184006648,91.34555550990407,91.58055323886231,91.06037525649764,91.19549402490725,91.79972426416117,86.06081858208415,92.4433721647349,85.62662890775749,82.34279655711256,89.09616456770415,83.92065422987427,90.42524470911039,91.56852215563711,82.20381264873862,78.1451981464425,86.05243656649101,85.93862420561048,80.55770036998837,84.83192266930209,91.80666259638306,85.16326856282643,87.05204731819771,84.68181287229459,90.98431486695588,90.80683126342095,89.58690738009078,86.04003607845274,84.8474720340623,90.19981428670259,91.34821029929469,91.54214087007911,86.02499070079497,85.51220704358579,90.68857737978229,82.53721988233353,90.66733416170982,91.21251361174181,90.14689740894298,78.70082963012905,90.1288739637319,84.30718494776774,88.75595172836654,84.4580592154128,91.0267028746103,76.4290650684589,91.49114842543115,89.6213543987786,85.7987734861706,91.66055723855958,84.1958543777282,90.76647253934925,84.56124509115321
Episode feedback,0.8,0.28256512997738964,0.22666666616296297,0.14548802919799628,0.11805555514564044,0.08227848049190835,0.08450704195596112,0.0802469130848956,0.09333333271111112,0.05639097723161287,0.0552486184792894,0.06535947669699689,0.0506329110719436,0.03906249984741211,0.04313725473279508,0.04832713736681361,0.0312499998046875,0.027888446104030094,0.02745098028450596,0.021739130356017645,0.0812499994921875,0.01829268281528852,0.018072289047757296,0.0057142856816326535,0.01273885342204552,0.03246753225670434,0.019305019230482553,0.015748031434062868,0.0066666666222222224,0.007259528117496319,0.004098360638941145,0.006493506451340867,0.0037453183380325157,0.012345678936137784,0.012820512738330047,0.006097560938429507,0.0,0.0,0.0,0.0,0.0,0.003906249984741211,0.006756756711102995,0.01162790693167478,0.003378378366964938,0.005586592147560938,0.0,0.0,0.0,0.0,0.0,0.0,0.0037037036899862825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035971222892189846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006622516512433666,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,85.86044931411743,122.61668181419373,159.76306056976318,179.19657278060913,189.61515927314758,208.05107808113098,219.1790452003479,229.4087073802948,245.90639114379883,257.4188930988312,267.3105490207672,277.50692319869995,293.0302164554596,308.0822956562042,324.4526641368866,335.26443338394165,351.610976934433,367.7891001701355,383.57151913642883,394.38868021965027,404.1074104309082,413.8489775657654,424.0517053604126,433.2818510532379,442.6148328781128,457.4181022644043,471.7695050239563,480.605464220047,510.19495701789856,523.8355183601379,532.8550307750702,547.4823505878448,557.0332841873169,566.426754951477,575.9296634197235,585.1473808288574,593.8114113807678,602.5236361026764,611.147439956665,619.7447254657745,634.2682206630707,643.2227694988251,657.6041266918182,673.8018109798431,684.3260762691498,700.6738650798798,710.3196277618408,719.5189063549042,734.9262416362762,754.2382805347443,768.9806201457977,784.0143113136292,804.6519978046417,818.5710628032684,827.4639480113983,842.7448971271515,853.2544450759888,867.2735254764557,876.187334060669,885.0576145648956,894.351160287857,909.4994814395905,924.6034164428711,933.4747579097748,941.9178853034973,950.7600858211517,966.3281745910645,980.171306848526,989.5084474086761,1005.1968994140625,1014.1601474285126,1023.0078365802765,1032.2573075294495,1052.4722859859467,1062.0302741527557,1076.1263871192932,1086.5656807422638,1101.623554468155,1110.6892511844635,1131.7119045257568,1141.6057696342468,1151.647468805313,1168.3785622119904,1177.2258875370026,1192.7581677436829,1202.1222445964813,1216.9005138874054
total minutes,0.0,1.431007488568624,2.0436113635698954,2.66271767616272,2.9866095463434856,3.1602526545524596,3.4675179680188495,3.652984086672465,3.8234784563382465,4.098439852396647,4.2903148849805195,4.455175817012787,4.625115386644999,4.8838369409243265,5.134704927603404,5.407544402281443,5.5877405563990274,5.860182948907217,6.129818336168925,6.392858652273814,6.573144670327505,6.735123507181803,6.897482959429423,7.0675284226735435,7.221364184220632,7.3769138813018795,7.623635037740072,7.862825083732605,8.010091070334116,8.503249283631643,8.730591972668966,8.880917179584504,9.124705843130748,9.283888069788615,9.440445915857952,9.598827723662058,9.752456347147623,9.89685685634613,10.042060601711274,10.185790665944417,10.32907875776291,10.571137011051178,10.720379491647085,10.960068778196971,11.230030182997385,11.40543460448583,11.67789775133133,11.838660462697346,11.991981772581736,12.248770693937937,12.570638008912404,12.816343669096629,13.066905188560487,13.410866630077361,13.642851046721141,13.791065800189973,14.045748285452525,14.220907417933146,14.454558757940928,14.603122234344482,14.75096024274826,14.905852671464284,15.15832469065984,15.410056940714519,15.557912631829579,15.698631421724956,15.846001430352528,16.10546957651774,16.336188447475433,16.49180745681127,16.75328165690104,16.902669123808543,17.050130609671275,17.20428845882416,17.541204766432443,17.700504569212594,17.935439785321552,18.109428012371062,18.360392574469248,18.51148751974106,18.861865075429282,19.026762827237448,19.19412448008855,19.472976036866505,19.620431458950044,19.879302795728048,20.03537074327469,20.281675231456756
cummulative feedback,0.0,282.0,384.0,463.0,497.0,510.0,534.0,547.0,561.0,576.0,586.0,596.0,604.0,614.0,625.0,638.0,643.0,650.0,657.0,663.0,676.0,679.0,682.0,683.0,685.0,690.0,695.0,699.0,700.0,704.0,705.0,706.0,707.0,709.0,711.0,712.0,712.0,712.0,712.0,712.0,712.0,713.0,714.0,717.0,718.0,719.0,719.0,719.0,719.0,719.0,719.0,719.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,450.0,543.0,288.0,158.0,284.0,162.0,150.0,266.0,181.0,153.0,158.0,256.0,255.0,269.0,160.0,251.0,255.0,276.0,160.0,164.0,166.0,175.0,157.0,154.0,259.0,254.0,150.0,551.0,244.0,154.0,267.0,162.0,156.0,164.0,162.0,147.0,151.0,149.0,147.0,256.0,148.0,258.0,296.0,179.0,303.0,167.0,160.0,284.0,354.0,270.0,270.0,380.0,251.0,153.0,275.0,183.0,254.0,154.0,154.0,161.0,278.0,272.0,155.0,146.0,156.0,282.0,248.0,160.0,285.0,156.0,152.0,160.0,373.0,166.0,257.0,185.0,270.0,152.0,370.0,151.0,162.0,282.0,146.0,273.0,156.0,258.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
