,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
Accumulated time steps,0.0,1000.0,1510.0,1760.0,2080.0,2349.0,2512.0,2791.0,3061.0,3342.0,3510.0,3663.0,3961.0,4112.0,4459.0,4811.0,5077.0,5234.0,5494.0,5824.0,6280.0,6432.0,6583.0,6834.0,7113.0,7291.0,7559.0,7818.0,8077.0,8451.0,8713.0,8979.0,9134.0,9503.0,9756.0,10143.0,10520.0,10672.0,11108.0,11362.0,11542.0,11693.0,12072.0,12219.0,12491.0,12766.0,13038.0,13196.0,13352.0,13632.0,13784.0,14142.0,14304.0,14694.0,14844.0,15159.0,15318.0,15618.0,16020.0,16195.0,16461.0,16629.0,16774.0,17026.0,17291.0,17552.0,17813.0,17969.0,18127.0,18394.0,18652.0,18815.0,19075.0,19243.0,19509.0,19663.0,19943.0,20213.0
Episode reward,0.0,-57.710796427319174,68.49028279099903,85.29886866131712,78.62330485303647,85.33638911512905,89.38636938304953,84.09614241050329,85.31594943003711,83.73760060141275,90.08468878188157,91.08156394077449,83.60020504629172,91.7511195603289,81.10520745095863,80.3158327565688,84.8182403345524,92.04387073148115,85.592365774631,78.57318594939639,74.24531349062926,90.7189786669306,90.92757804904248,84.50074143632568,83.19533464895193,88.94393677974179,84.98613282092558,85.12289580191121,85.14696900586,77.2476034090709,84.62530334978923,84.28190830420068,90.7217642408109,80.13441903413838,84.82316677701998,77.8526959251179,77.38347580114595,89.92688869918796,73.4400483853462,84.82832273413275,88.7902607651336,90.53369591391987,75.78483895707556,90.94564695747846,84.51989635369097,83.77583821247458,82.84548461369249,90.65480943058267,91.20266390506833,82.32386196353059,90.54920974033205,77.13202912356866,89.6589468350865,76.71042383684308,90.73139256242325,80.0087000342626,90.46616648780072,85.5893341202745,76.02739659303612,88.8144958954325,85.53189515069897,89.77607923041144,91.12933613549939,84.94126067266127,82.51589003065405,85.80841468669638,84.00377918677749,91.16471307924944,90.42101396578308,83.5672472685341,85.28167754343544,90.29305589916413,83.45493329275502,89.07576984566214,84.75841784244889,90.73159856640859,84.42443175544228,84.88522102365032
Episode feedback,0.8,0.35170340646121906,0.18074656153094978,0.1405622484314769,0.10031347930936213,0.18656716348295835,0.10493827095717116,0.08992805723047462,0.09665427473362723,0.06785714261479592,0.05988023916239378,0.02631578930055402,0.04713804697933317,0.06666666622222223,0.026011560618463696,0.028490028408860318,0.02641509423994304,0.03846153821499014,0.04247104230706161,0.01823708201143744,0.017582417543774907,0.03311258256216833,0.02666666648888889,0.027999999888,0.010791366867656953,0.011299434964409973,0.011235955014097547,0.0038759689772249264,0.0,0.013404825701327545,0.0076628352196826234,0.007547169782840869,0.012987012902681734,0.0,0.003968253952506929,0.0,0.0,0.0,0.0022988505694279296,0.0,0.0,0.0,0.0,0.0,0.007380073773505263,0.0,0.0,0.0,0.0,0.0,0.0,0.002801120440332996,0.0,0.0,0.0,0.003184713365653779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003984063729147156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,73.16050028800964,106.00851106643677,121.74109125137329,140.74768257141113,158.45274138450623,168.6769824028015,185.04228138923645,201.25441908836365,217.35410714149475,227.30378699302673,236.02261114120483,252.799870967865,261.83614325523376,280.4252052307129,299.5538160800934,314.17748975753784,323.3343884944916,337.9294321537018,355.66424012184143,379.51086616516113,388.39405941963196,397.12501406669617,410.91623735427856,425.75145173072815,435.6063849925995,449.8429651260376,463.9692122936249,477.706684589386,497.41439747810364,511.49104833602905,525.7374379634857,534.4665138721466,553.574679851532,567.0641856193542,587.1848289966583,606.6618568897247,615.1435103416443,637.4655129909515,651.0711050033569,660.8812575340271,669.3425295352936,689.3613593578339,697.899334192276,712.5923705101013,727.0289735794067,741.328046798706,750.1740605831146,758.8842113018036,773.5810394287109,782.0504240989685,800.9196503162384,809.9216094017029,830.3395414352417,838.8629548549652,855.5164029598236,864.3759865760803,880.3117232322693,901.1666495800018,910.8274669647217,924.9178290367126,934.144344329834,942.4200315475464,955.9724645614624,969.9786252975464,983.7921686172485,997.6566963195801,1006.2465510368347,1015.0098836421967,1029.108766078949,1042.815109014511,1051.8248529434204,1065.6618411540985,1074.9491822719574,1089.0744638442993,1097.6854255199432,1112.526077747345,1126.9136497974396
total minutes,0.0,1.2193416714668275,1.766808517773946,2.029018187522888,2.3457947095235188,2.6408790230751036,2.8112830400466917,3.084038023153941,3.3542403181393943,3.6225684523582458,3.7883964498837788,3.9337101856867474,4.2133311827977495,4.363935720920563,4.673753420511882,4.99256360133489,5.236291495958964,5.388906474908193,5.632157202561697,5.927737335364024,6.325181102752685,6.473234323660533,6.618750234444936,6.848603955904642,7.095857528845469,7.260106416543325,7.497382752100626,7.7328202048937476,7.961778076489766,8.290239957968394,8.524850805600485,8.762290632724762,8.907775231202443,9.2262446641922,9.451069760322572,9.786413816610972,10.111030948162078,10.252391839027405,10.624425216515858,10.851185083389282,11.014687625567118,11.155708825588226,11.48935598929723,11.631655569871267,11.876539508501688,12.117149559656779,12.3554674466451,12.502901009718578,12.648070188363393,12.893017323811849,13.034173734982808,13.348660838603973,13.498693490028382,13.838992357254028,13.981049247582753,14.25860671599706,14.406266442934673,14.671862053871155,15.019444159666698,15.18045778274536,15.415297150611877,15.569072405497232,15.70700052579244,15.932874409357707,16.166310421625774,16.39653614362081,16.627611605326333,16.770775850613912,16.91683139403661,17.151812767982484,17.38025181690852,17.530414215723674,17.76103068590164,17.915819704532623,18.151241064071655,18.294757091999053,18.542101295789085,18.78189416329066
cummulative feedback,0.0,351.0,443.0,478.0,510.0,560.0,577.0,602.0,628.0,647.0,657.0,661.0,675.0,685.0,694.0,704.0,711.0,717.0,728.0,734.0,742.0,747.0,751.0,758.0,761.0,763.0,766.0,767.0,767.0,772.0,774.0,776.0,778.0,778.0,779.0,779.0,779.0,779.0,780.0,780.0,780.0,780.0,780.0,780.0,782.0,782.0,782.0,782.0,782.0,782.0,782.0,783.0,783.0,783.0,783.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,509.0,249.0,319.0,268.0,162.0,278.0,269.0,280.0,167.0,152.0,297.0,150.0,346.0,351.0,265.0,156.0,259.0,329.0,455.0,151.0,150.0,250.0,278.0,177.0,267.0,258.0,258.0,373.0,261.0,265.0,154.0,368.0,252.0,386.0,376.0,151.0,435.0,253.0,179.0,150.0,378.0,146.0,271.0,274.0,271.0,157.0,155.0,279.0,151.0,357.0,161.0,389.0,149.0,314.0,158.0,299.0,401.0,174.0,265.0,167.0,144.0,251.0,264.0,260.0,260.0,155.0,157.0,266.0,257.0,162.0,259.0,167.0,265.0,153.0,279.0,269.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
