,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
Accumulated time steps,0.0,1000.0,1999.0,2234.0,2391.0,2652.0,2946.0,3211.0,3463.0,3812.0,3980.0,4273.0,4627.0,4791.0,5122.0,5279.0,5426.0,5688.0,5842.0,6105.0,6249.0,6494.0,6919.0,7194.0,7335.0,7496.0,7659.0,8097.0,8344.0,8495.0,8748.0,8899.0,9227.0,9379.0,9531.0,9774.0,9924.0,10162.0,10313.0,10459.0,10795.0,11051.0,11388.0,11540.0,11690.0,11943.0,12090.0,12249.0,12558.0,12973.0,13127.0,13279.0,13669.0,13822.0,13966.0,14446.0,14598.0,14760.0,14924.0,15085.0,15238.0,15387.0,15651.0,16001.0,16150.0,16420.0,16689.0,16845.0,17005.0,17261.0,17534.0,17694.0,17854.0,18022.0,18291.0,18554.0,18706.0,18969.0,19140.0,19410.0,19666.0,19815.0,20142.0
Episode reward,0.0,-65.6275573302426,-60.78148274690969,86.26182782561366,90.43916200311084,85.56374011387432,82.25332688018267,85.5618488128925,85.9492944521546,80.1019999759662,90.04331263991087,81.53436369830513,78.2348702674183,90.2477749207691,81.00796785042328,89.2638514171697,91.60790037766348,83.3115747967903,90.606845258303,84.45821849183037,91.88388507271426,87.15036168129632,75.41471898301072,83.70011825600226,92.21504416742893,89.98872469112794,90.97104902743953,74.392017067447,87.8047490514823,92.0320654102804,85.11593461509781,91.97876098159703,81.03858718903288,91.94509395028521,92.11782941821282,85.07777140133008,91.0761151618855,86.18456309843323,91.27957886501638,90.9982482905517,80.06541931506027,85.54311688103138,81.61600000463491,91.78282743948841,91.3644463120941,86.06092083539303,91.22929548752978,90.36093463998523,85.28919170362751,74.95860659389788,91.02408150090577,91.50024630556995,77.7597656746974,90.90824083060664,92.32579516462928,72.21701955980686,91.33438780587245,90.53367594627866,88.5636708612396,89.84805091583428,90.61556947678187,90.98415867379266,85.52276506278555,81.47086067487615,91.017830585981,83.82814768347309,83.17180308615002,90.38405543648467,89.42732131622131,85.96418616477706,85.22449593231815,91.05133932295713,90.59295868979181,90.07293391317324,85.96095511719882,85.11632668662585,91.26721647116797,84.54190175750847,89.60399018552152,83.86253823867412,84.49311728080909,91.3279902153809,81.99382683137277
Episode feedback,0.8,0.01803607212621636,0.19338677335331986,0.2606837595697275,0.09615384553747536,0.16153846091715976,0.10580204742047083,0.1098484844323921,0.0916334657703846,0.054597700992535345,0.03592814349743627,0.04109589027021955,0.025495750635989377,0.012269938575031052,0.03939393927456382,0.025641025476660095,0.013698630043160069,0.011494252829523936,0.032679738348498445,0.0038167938785618554,0.02097902083231454,0.012295081916823434,0.021226415044277323,0.014598540092706058,0.02857142836734694,0.012499999921875001,0.0,0.006864988542643047,0.0,0.019999999866666666,0.015873015810027716,0.0066666666222222224,0.009174311898549505,0.0,0.0,0.012396694163650024,0.0,0.0,0.0066666666222222224,0.0,0.005970149235910003,0.011764705836216839,0.0029761904673327663,0.0,0.0,0.0,0.0,0.0,0.0,0.0024154589313636256,0.013071895339399377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038022813543639494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,47.50701141357422,126.58301115036011,147.62789797782898,158.50048398971558,178.1622498035431,197.59894180297852,215.60277819633484,232.10291147232056,253.25474739074707,263.72547698020935,281.1391246318817,301.4809675216675,311.7157623767853,332.58145809173584,342.28950357437134,351.36954641342163,366.4770634174347,376.02015709877014,390.79829621315,399.6340842247009,413.68944215774536,437.9005753993988,453.542094707489,462.3085684776306,471.77282428741455,481.1394929885864,505.5702455043793,519.6646506786346,528.8796479701996,543.7530694007874,552.8781781196594,571.7367467880249,581.1446413993835,590.988043308258,607.3176717758179,616.987508058548,631.3678195476532,641.1405370235443,650.0881428718567,670.4317359924316,685.6796131134033,705.0426080226898,714.1478133201599,723.3827347755432,737.9819121360779,746.7741889953613,756.3248195648193,773.8270747661591,797.0521056652069,806.2092008590698,815.3850574493408,837.6146628856659,846.6945359706879,855.1961364746094,881.5861766338348,890.5063633918762,899.8837776184082,909.7291657924652,919.1928842067719,928.2050166130066,937.2525858879089,952.5885541439056,972.1298751831055,980.9726741313934,995.9091401100159,1011.1171867847443,1020.1627371311188,1029.5062222480774,1043.9237005710602,1059.394781589508,1068.8370728492737,1078.3087351322174,1088.170111656189,1103.638334274292,1118.238618850708,1127.2908086776733,1142.1433417797089,1152.4843120574951,1168.5108525753021,1183.895836353302,1193.1612594127655,1211.8246014118195
total minutes,0.0,0.7917835235595703,2.109716852506002,2.46046496629715,2.6416747331619264,2.9693708300590513,3.2933156967163084,3.593379636605581,3.8683818578720093,4.220912456512451,4.395424616336823,4.685652077198029,5.024682792027791,5.195262706279754,5.543024301528931,5.704825059572856,5.8561591068903605,6.107951056957245,6.267002618312835,6.513304936885834,6.660568070411682,6.894824035962423,7.298342923323314,7.559034911791484,7.70514280796051,7.862880404790243,8.018991549809774,8.426170758406322,8.661077511310577,8.814660799503326,9.06255115667979,9.214636301994323,9.528945779800415,9.685744023323059,9.849800721804302,10.121961196263632,10.283125134309133,10.522796992460886,10.685675617059072,10.834802381197612,11.173862266540528,11.427993551890056,11.750710133711497,11.902463555335999,12.05637891292572,12.299698535601298,12.446236483256023,12.605413659413655,12.897117912769318,13.284201761086782,13.43682001431783,13.589750957489013,13.960244381427765,14.111575599511465,14.253268941243489,14.693102943897248,14.841772723197938,14.998062960306804,15.162152763207754,15.319881403446198,15.470083610216777,15.620876431465149,15.876475902398427,16.20216458638509,16.349544568856558,16.598485668500263,16.85195311307907,17.002712285518648,17.158437037467955,17.398728342851005,17.656579693158466,17.81395121415456,17.971812252203623,18.13616852760315,18.393972237904865,18.637310314178468,18.78818014462789,19.03572236299515,19.20807186762492,19.475180876255035,19.73159727255503,19.88602099021276,20.19707669019699
cummulative feedback,0.0,18.0,211.0,272.0,287.0,329.0,360.0,389.0,412.0,431.0,437.0,449.0,458.0,460.0,473.0,477.0,479.0,482.0,487.0,488.0,491.0,494.0,503.0,507.0,511.0,513.0,513.0,516.0,516.0,519.0,523.0,524.0,527.0,527.0,527.0,530.0,530.0,530.0,531.0,531.0,533.0,536.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,538.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,234.0,156.0,260.0,293.0,264.0,251.0,348.0,167.0,292.0,353.0,163.0,330.0,156.0,146.0,261.0,153.0,262.0,143.0,244.0,424.0,274.0,140.0,160.0,162.0,437.0,246.0,150.0,252.0,150.0,327.0,151.0,151.0,242.0,149.0,237.0,150.0,145.0,335.0,255.0,336.0,151.0,149.0,252.0,146.0,158.0,308.0,414.0,153.0,151.0,389.0,152.0,143.0,479.0,151.0,161.0,163.0,160.0,152.0,148.0,263.0,349.0,148.0,269.0,268.0,155.0,159.0,255.0,272.0,159.0,159.0,167.0,268.0,262.0,151.0,262.0,170.0,269.0,255.0,148.0,326.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
