,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Accumulated time steps,0.0,280.0,570.0,835.0,1095.0,1350.0,1806.0,2255.0,2410.0,2657.0,2909.0,3263.0,3608.0,3776.0,3937.0,4186.0,4338.0,4488.0,4858.0,5119.0,5387.0,5548.0,5709.0,5879.0,6235.0,6507.0,6986.0,7244.0,7496.0,7840.0,8000.0,8158.0,8323.0,8769.0,9021.0,9275.0,9785.0,10127.0,10374.0,10626.0,11003.0,11270.0,11520.0,11771.0,12110.0,12448.0,12696.0,12943.0,13199.0,13464.0,13719.0,13872.0,14132.0,14390.0,14640.0,14887.0,15158.0,15399.0,15743.0,15991.0,16145.0,16293.0,16616.0,16860.0,17295.0,17538.0,17693.0,17975.0,18358.0,18521.0,18779.0,19033.0,19185.0,19333.0,19487.0,20060.0
Episode reward,0.0,85.65263927127054,83.06109571432695,86.16093118337508,86.39429184678802,87.03870252009605,73.71766288935376,75.39463984957494,91.15708370933665,86.70353543176925,86.52035108849655,79.52106016593304,82.12342271758692,91.04716718556097,91.15153654277502,87.9106291727412,91.50716587847387,91.77170256564773,80.81435557307418,86.11236323216573,85.58001133317151,91.71197457717446,91.02739876802994,90.37352170175235,80.53291153596139,87.05264858270252,74.37103708720034,86.26304562011973,86.5975304605144,80.95145478620556,91.2909679263337,91.52614863214059,91.06198632979176,77.9534460307034,85.43930503472949,87.73791115927716,73.67811733644726,82.3375889967543,86.47968943424223,88.26922098663417,78.99834928510268,83.69864243782169,86.13183848183385,86.49217259291797,80.97561463012136,80.68798293402983,88.94863440773794,87.69095346378279,85.66620940658339,85.82836662906097,86.3450976547329,91.45857167350268,87.22611872367195,85.7564150510559,87.14400765254689,85.84097067404447,84.48744019726024,88.52069212265441,80.30202614975374,87.04839258558452,92.12370308637837,92.08430958721821,85.48795225434114,87.71861355781752,77.33662728912205,88.16707597159892,92.65775198701326,84.48142472703364,78.19576399257606,91.89205926097068,86.52112740897215,87.29846217727085,92.32692761449898,92.27705310058145,91.51603695166747,68.41001819783676
Episode feedback,0.8,0.3992805741033073,0.2664359852372457,0.20833333254419192,0.18146718076653598,0.16929133791617584,0.08571428552590267,0.08705357123425542,0.09090909031877215,0.08130081267763897,0.035856573562324405,0.06515580718086174,0.04941860450750406,0.05988023916239378,0.0187499998828125,0.04838709657908429,0.05960264861190299,0.05369127480744111,0.043360433486828096,0.057692307470414206,0.029962546704260126,0.024999999843750002,0.024999999843750002,0.0,0.019718309803610393,0.011070110660257895,0.016736401638626774,0.01167315170555194,0.0,0.002915451886543872,0.0,0.0,0.006097560938429507,0.004494382012372175,0.0,0.007905138308675343,0.005893909615139667,0.005865102622096473,0.0040650406338819485,0.0,0.00531914892202354,0.0,0.0,0.003999999984,0.0,0.0,0.004048582979560393,0.0,0.0,0.0,0.003937007858515717,0.0,0.00386100384609651,0.0,0.0,0.0,0.0,0.0,0.0,0.004048582979560393,0.0,0.0,0.0031055900524671115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,31.46749472618103,59.08398413658142,82.14967727661133,103.53146481513977,123.77218770980835,153.71387600898743,183.5608775615692,194.30407977104187,210.44443583488464,225.8731288909912,247.86395263671875,268.98273229599,279.9487073421478,289.7570250034332,305.03742003440857,315.270144701004,324.87911772727966,346.94487476348877,363.2974226474762,379.15262484550476,389.05616641044617,399.0552043914795,409.0689330101013,429.3998646736145,444.96714639663696,472.11122250556946,486.82325410842896,501.11080598831177,520.0129508972168,529.3916866779327,538.6953196525574,548.6688239574432,573.5168426036835,587.5115447044373,602.1622729301453,630.3099966049194,649.5326189994812,663.5060262680054,677.3870131969452,697.9851226806641,712.9785141944885,727.1960656642914,741.2198946475983,760.149557352066,778.741762638092,792.7616040706635,806.6287441253662,820.9961581230164,835.8802592754364,850.4049229621887,859.5113170146942,874.1085214614868,888.6946322917938,902.6651012897491,916.9737131595612,933.0926275253296,947.3812279701233,967.7973644733429,982.4222657680511,991.8033385276794,1000.9386484622955,1020.6947968006134,1036.1132311820984,1061.9597642421722,1076.8712406158447,1086.3373262882233,1102.8898463249207,1125.5553331375122,1135.2184290885925,1150.1064050197601,1164.6673517227173,1173.721138715744,1182.7715084552765,1192.524825811386,1226.6504745483398
total minutes,0.0,0.5244582454363506,0.9847330689430237,1.3691612879435222,1.7255244135856629,2.0628697951634725,2.561897933483124,3.059347959359487,3.2384013295173646,3.507407263914744,3.7645521481831867,4.131065877278646,4.4830455382664995,4.665811789035797,4.82928375005722,5.083957000573476,5.254502411683401,5.414651962121328,5.78241457939148,6.0549570441246034,6.319210414091746,6.484269440174103,6.650920073191325,6.817815550168356,7.156664411226909,7.4161191066106165,7.8685203750928245,8.113720901807149,8.351846766471862,8.666882514953613,8.823194777965545,8.978255327542623,9.144480399290721,9.558614043394725,9.791859078407288,10.036037882169088,10.505166610081991,10.825543649991353,11.058433771133423,11.28978355328242,11.633085378011067,11.88297523657481,12.11993442773819,12.353664910793304,12.669159289201101,12.979029377301535,13.212693401177724,13.443812402089437,13.683269302050272,13.931337654590607,14.173415382703146,14.32518861691157,14.568475357691447,14.81157720486323,15.044418354829153,15.282895219326019,15.551543792088827,15.789687132835388,16.129956074555714,16.37370442946752,16.53005564212799,16.682310807704926,17.01157994667689,17.268553853034973,17.699329404036202,17.947854010264077,18.10562210480372,18.381497438748678,18.75925555229187,18.920307151476543,19.16844008366267,19.411122528711953,19.562018978595734,19.71285847425461,19.875413763523103,20.444174575805665
cummulative feedback,0.0,111.0,188.0,243.0,290.0,333.0,372.0,411.0,425.0,445.0,454.0,477.0,494.0,504.0,507.0,519.0,528.0,536.0,552.0,567.0,575.0,579.0,583.0,583.0,590.0,593.0,601.0,604.0,604.0,605.0,605.0,605.0,606.0,608.0,608.0,610.0,613.0,615.0,616.0,616.0,618.0,618.0,618.0,619.0,619.0,619.0,620.0,620.0,620.0,620.0,621.0,621.0,622.0,622.0,622.0,622.0,622.0,622.0,622.0,623.0,623.0,623.0,624.0,624.0,624.0,624.0,624.0,624.0,624.0,624.0,624.0,624.0,624.0,624.0,624.0,624.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,278.0,289.0,264.0,259.0,254.0,455.0,448.0,154.0,246.0,251.0,353.0,344.0,167.0,160.0,248.0,151.0,149.0,369.0,260.0,267.0,160.0,160.0,169.0,355.0,271.0,478.0,257.0,251.0,343.0,159.0,157.0,164.0,445.0,251.0,253.0,509.0,341.0,246.0,251.0,376.0,266.0,249.0,250.0,338.0,337.0,247.0,246.0,255.0,264.0,254.0,152.0,259.0,257.0,249.0,246.0,270.0,240.0,343.0,247.0,153.0,147.0,322.0,243.0,434.0,242.0,154.0,281.0,382.0,162.0,257.0,253.0,151.0,147.0,153.0,572.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
